,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
0,Combined_Network,0.8982,0.8902,0.1017,0.1038,0.0322965,0.0349491,5,0.0,1,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
1,Combined_Network,0.9105,0.9058,0.095,0.0961,0.0281847,0.0299916,10,0.0,2,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
2,Combined_Network,0.931,0.9284,0.0837,0.0843,0.0218655,0.0230609,15,0.0,3,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
3,Combined_Network,0.9376,0.9345,0.0797,0.0807,0.01983,0.0211313,20,0.0,4,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
4,Combined_Network,0.939,0.9366,0.0788,0.0794,0.0193733,0.0204651,25,0.0,5,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
5,Combined_Network,0.9392,0.9367,0.0787,0.0793,0.0193256,0.0204048,30,0.0,6,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
6,Combined_Network,0.9415,0.9389,0.0773,0.078,0.0186215,0.0197286,35,0.0,7,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
7,Combined_Network,0.9428,0.9399,0.0764,0.0774,0.0182023,0.019416,40,0.0,8,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
8,Combined_Network,0.9439,0.9413,0.0757,0.0765,0.0178656,0.018983,45,0.0,9,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
9,Combined_Network,0.9442,0.9416,0.0754,0.0763,0.0177599,0.0188729,50,0.01,10,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
10,Combined_Network,0.9447,0.9421,0.0752,0.076,0.0176262,0.0187266,55,0.0,11,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
11,Combined_Network,0.9456,0.9431,0.0746,0.0753,0.0173469,0.0184219,60,0.0,12,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
12,Combined_Network,0.9457,0.9432,0.0745,0.0752,0.0173171,0.0183652,65,0.01,13,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
13,Combined_Network,0.947,0.9448,0.0736,0.0742,0.0169109,0.0178661,70,0.0,14,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
14,Combined_Network,0.9472,0.945,0.0735,0.0741,0.0168371,0.0178142,75,0.01,15,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
15,Combined_Network,0.9472,0.9439,0.0734,0.0748,0.016833,0.0181485,80,0.02,16,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
16,Combined_Network,0.9473,0.944,0.0734,0.0747,0.0167903,0.0181154,85,0.01,17,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
17,Combined_Network,0.9475,0.9441,0.0733,0.0746,0.0167493,0.0180714,90,0.01,18,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
18,Combined_Network,0.9476,0.9443,0.0732,0.0745,0.0167068,0.0180177,95,0.01,19,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
19,Combined_Network,0.9503,0.9475,0.0713,0.0725,0.0158716,0.0170425,100,0.01,20,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
20,Combined_Network,0.9508,0.9477,0.071,0.0723,0.0157295,0.0169711,105,0.01,21,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
21,Combined_Network,0.9512,0.9481,0.0707,0.0721,0.0156143,0.0168539,110,0.02,22,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
22,Combined_Network,0.9512,0.9481,0.0707,0.0721,0.0156019,0.0168567,115,0.01,23,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
23,Combined_Network,0.9513,0.9482,0.0706,0.072,0.0155593,0.0168266,120,0.06,24,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
24,Combined_Network,0.9522,0.949,0.07,0.0715,0.0152938,0.0165822,125,0.01,25,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
25,Combined_Network,0.9524,0.9491,0.0699,0.0714,0.0152428,0.0165241,130,0.03,26,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
26,Combined_Network,0.9526,0.9494,0.0697,0.0712,0.0151567,0.0164371,135,0.02,27,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
27,Combined_Network,0.9533,0.95,0.0692,0.0707,0.0149513,0.016242,140,0.01,28,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
28,Combined_Network,0.9537,0.9503,0.0689,0.0706,0.0148255,0.0161742,145,0.03,29,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
29,Combined_Network,0.9541,0.9505,0.0686,0.0704,0.0146923,0.0160847,150,0.02,30,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
30,Combined_Network,0.9552,0.9515,0.0679,0.0697,0.014377,0.0157733,155,0.03,31,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
31,Combined_Network,0.9552,0.9516,0.0679,0.0697,0.014368,0.0157471,160,0.04,32,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
32,Combined_Network,0.9557,0.9524,0.0675,0.0691,0.014207,0.0154945,165,0.02,33,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
33,Combined_Network,0.9559,0.9526,0.0673,0.069,0.01415,0.0154286,170,0.04,34,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
34,Combined_Network,0.9563,0.9529,0.067,0.0687,0.014017,0.015328,175,0.05,35,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
35,Combined_Network,0.9565,0.9532,0.0669,0.0686,0.0139447,0.015252,180,0.04,36,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
36,Combined_Network,0.9572,0.9538,0.0664,0.0681,0.0137375,0.015056,185,0.03,37,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
37,Combined_Network,0.9583,0.9551,0.0655,0.0672,0.0134034,0.0146603,190,0.01,38,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
38,Combined_Network,0.9592,0.9557,0.0648,0.0667,0.0131146,0.0144478,195,0.02,39,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
39,Combined_Network,0.9597,0.9564,0.0645,0.0662,0.012974,0.0142382,200,0.04,40,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
40,Combined_Network,0.9604,0.9574,0.0639,0.0655,0.0127591,0.0139181,205,0.02,41,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
41,Combined_Network,0.9606,0.958,0.0637,0.065,0.0126753,0.0137252,210,0.02,42,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
42,Combined_Network,0.9607,0.9582,0.0637,0.0649,0.0126522,0.0136703,215,0.02,43,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
