,network,rho_train,rho_test,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Random Network,0.7446,0.7265,0.1987,0.1989,0.1191847,0.1284228,1,2.0,0.0,0.99,0.8,0,900,0.2,36,0.02,0.0,0.0
1,Random Network,0.8518,0.8404,0.1198,0.1231,0.0433034,0.0491593,2,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
2,Random Network,0.8793,0.8748,0.1092,0.1102,0.0360096,0.0393836,3,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
3,Random Network,0.9312,0.9292,0.0833,0.0838,0.0209328,0.0227716,4,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
4,Random Network,0.9188,0.9137,0.0913,0.0935,0.0251596,0.0283705,5,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
5,Random Network,0.9317,0.9283,0.0838,0.0853,0.0212071,0.0236307,6,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
6,Random Network,0.9244,0.9197,0.0873,0.0889,0.0229956,0.025659,7,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
7,Random Network,0.9382,0.9361,0.0794,0.08,0.0190116,0.020781,8,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
8,Random Network,0.9453,0.9426,0.0746,0.0756,0.0168043,0.0185675,9,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
9,Random Network,0.9385,0.9337,0.0789,0.0811,0.018797,0.0213536,10,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
10,Random Network,0.947,0.9434,0.0734,0.0751,0.0162546,0.0183146,15,2.0,0.0,0.99,0.8,0,900,0.2,36,0.01,0.0,0.0
