,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,x,logis_ts,x,lorenz,0.9417,0.9395,0.0769,0.0776,0.0178,0.0196,100,0.8,0,101,0,720,0.2,36,0.9,0.0,0.21
1,x,logis_ts,x,lorenz,0.9421,0.9393,0.0766,0.0778,0.0177,0.0196,100,0.9,0,101,0,720,0.2,36,0.91,0.0,0.21
2,x,logis_ts,x,lorenz,0.9417,0.9404,0.0769,0.077,0.0178,0.0192,100,1.0,0,101,0,720,0.2,36,0.92,0.0,0.21
3,x,logis_ts,x,lorenz,0.9421,0.9415,0.0766,0.0764,0.0177,0.0189,100,1.1,0,101,0,720,0.2,36,0.91,0.0,0.22
4,x,logis_ts,x,lorenz,0.9404,0.936,0.0777,0.0797,0.0182,0.0206,100,1.2,0,101,0,720,0.2,36,0.91,0.0,0.22
5,x,logis_ts,x,lorenz,0.9364,0.9329,0.0802,0.0816,0.0194,0.0216,100,1.3,0,101,0,720,0.2,36,0.91,0.0,0.21
6,x,logis_ts,x,lorenz,0.9312,0.9281,0.0833,0.0844,0.0209,0.0231,100,1.4,0,101,0,720,0.2,36,0.91,0.0,0.22
7,x,logis_ts,x,lorenz,0.9227,0.9199,0.0881,0.0889,0.0234,0.0257,100,1.5,0,101,0,720,0.2,36,0.92,0.0,0.25
8,x,logis_ts,x,lorenz,0.9129,0.9087,0.0933,0.0947,0.0263,0.0291,100,1.6,0,101,0,720,0.2,36,0.89,0.0,0.22
9,x,logis_ts,x,lorenz,0.9018,0.8964,0.0987,0.1006,0.0294,0.0328,100,1.7,0,101,0,720,0.2,36,0.9,0.0,0.22
10,x,logis_ts,x,lorenz,0.8905,0.8842,0.104,0.106,0.0326,0.0364,100,1.8,0,101,0,720,0.2,36,0.89,0.0,0.22
11,x,logis_ts,x,lorenz,0.8826,0.876,0.1074,0.1094,0.0348,0.0388,100,1.9,0,101,0,720,0.2,36,0.89,0.0,0.21
12,x,logis_ts,x,lorenz,0.8802,0.8723,0.1084,0.1108,0.0355,0.0399,100,2.0,0,101,0,720,0.2,36,0.88,0.0,0.22
13,x,logis_ts,x,lorenz,0.8819,0.8732,0.1077,0.1104,0.035,0.0396,100,2.1,0,101,0,720,0.2,36,0.89,0.0,0.21
14,x,logis_ts,x,lorenz,0.8861,0.877,0.1059,0.1088,0.0339,0.0384,100,2.2,0,101,0,720,0.2,36,0.88,0.0,0.21
15,x,logis_ts,x,lorenz,0.89,0.8814,0.1042,0.107,0.0328,0.0371,100,2.3,0,101,0,720,0.2,36,0.88,0.0,0.21
16,x,logis_ts,x,lorenz,0.8929,0.8845,0.1029,0.1056,0.032,0.0362,100,2.4,0,101,0,720,0.2,36,0.9,0.0,0.21
17,x,logis_ts,x,lorenz,0.8946,0.8864,0.1021,0.1048,0.0315,0.0356,100,2.5,0,101,0,720,0.2,36,0.89,0.0,0.21
18,x,logis_ts,x,lorenz,0.9384,0.9363,0.0792,0.0797,0.0189,0.0206,100,0.8,0.1,101,0,720,0.2,36,0.91,0.0,0.21
19,x,logis_ts,x,lorenz,0.9392,0.9378,0.0786,0.0787,0.0187,0.0201,100,0.9,0.1,101,0,720,0.2,36,0.91,0.0,0.23
20,x,logis_ts,x,lorenz,0.9406,0.9398,0.0777,0.0775,0.0182,0.0195,100,1.0,0.1,101,0,720,0.2,36,0.91,0.0,0.23
21,x,logis_ts,x,lorenz,0.9409,0.9395,0.0775,0.0776,0.0181,0.0196,100,1.1,0.1,101,0,720,0.2,36,0.91,0.0,0.23
22,x,logis_ts,x,lorenz,0.9411,0.939,0.0773,0.0779,0.018,0.0197,100,1.2,0.1,101,0,720,0.2,36,0.91,0.0,0.21
23,x,logis_ts,x,lorenz,0.9413,0.9387,0.0772,0.0781,0.018,0.0198,100,1.3,0.1,101,0,720,0.2,36,0.92,0.0,0.21
24,x,logis_ts,x,lorenz,0.9421,0.9396,0.0766,0.0775,0.0177,0.0195,100,1.4,0.1,101,0,720,0.2,36,0.91,0.0,0.21
25,x,logis_ts,x,lorenz,0.9413,0.9399,0.0772,0.0774,0.018,0.0194,100,1.5,0.1,101,0,720,0.2,36,0.91,0.0,0.21
26,x,logis_ts,x,lorenz,0.9416,0.9405,0.077,0.077,0.0179,0.0192,100,1.6,0.1,101,0,720,0.2,36,0.91,0.0,0.21
27,x,logis_ts,x,lorenz,0.9418,0.9415,0.0768,0.0763,0.0178,0.0189,100,1.7,0.1,101,0,720,0.2,36,0.91,0.0,0.24
28,x,logis_ts,x,lorenz,0.9427,0.942,0.0762,0.076,0.0175,0.0188,100,1.8,0.1,101,0,720,0.2,36,0.91,0.0,0.21
29,x,logis_ts,x,lorenz,0.9436,0.9433,0.0757,0.0752,0.0173,0.0183,100,1.9,0.1,101,0,720,0.2,36,0.91,0.0,0.23
30,x,logis_ts,x,lorenz,0.9442,0.9445,0.0753,0.0744,0.0171,0.018,100,2.0,0.1,101,0,720,0.2,36,0.91,0.0,0.23
31,x,logis_ts,x,lorenz,0.9438,0.9432,0.0755,0.0753,0.0172,0.0184,100,2.1,0.1,101,0,720,0.2,36,0.92,0.0,0.22
32,x,logis_ts,x,lorenz,0.9433,0.94,0.0759,0.0773,0.0174,0.0194,100,2.2,0.1,101,0,720,0.2,36,0.87,0.0,0.21
33,x,logis_ts,x,lorenz,0.9404,0.9351,0.0777,0.0803,0.0182,0.0209,100,2.3,0.1,101,0,720,0.2,36,0.88,0.0,0.21
34,x,logis_ts,x,lorenz,0.9377,0.932,0.0794,0.0821,0.019,0.0219,100,2.4,0.1,101,0,720,0.2,36,0.87,0.0,0.21
35,x,logis_ts,x,lorenz,0.9329,0.9283,0.0823,0.0843,0.0204,0.023,100,2.5,0.1,101,0,720,0.2,36,0.89,0.0,0.21
36,x,logis_ts,x,lorenz,0.9401,0.9376,0.078,0.0788,0.0184,0.0202,100,0.8,0.2,101,0,720,0.2,36,0.88,0.0,0.21
