,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors
0,Combined_Network,0.8855,0.8701,0.1065,0.1117,0.0353838,0.0404673,4,0.0,1,4,0.0404673,4,1.3,0.3,5
1,Combined_Network,0.9075,0.8946,0.0966,0.1021,0.0290919,0.0338306,7,0.0,2,7,0.0404673,4,1.3,0.3,5
2,Combined_Network,0.9247,0.924,0.0872,0.0867,0.023751,0.024393,11,0.0,3,11,0.0404673,4,1.3,0.3,5
3,Combined_Network,0.9336,0.9313,0.0821,0.0824,0.0210329,0.0220502,16,0.0,4,16,0.0404673,4,1.3,0.3,5
4,Combined_Network,0.9419,0.938,0.0771,0.0786,0.0185509,0.0200245,24,0.0,5,24,0.0404673,4,1.3,0.3,5
5,Combined_Network,0.9432,0.9394,0.0763,0.0778,0.0181641,0.0196383,30,0.0,6,30,0.0404673,4,1.3,0.3,5
6,Combined_Network,0.9438,0.94,0.0759,0.0775,0.0179523,0.0194855,39,0.0,7,39,0.0404673,4,1.3,0.3,5
7,Combined_Network,0.945,0.9413,0.0751,0.0766,0.0175957,0.0190638,43,0.0,8,43,0.0404673,4,1.3,0.3,5
8,Combined_Network,0.9454,0.9417,0.0748,0.0764,0.0174647,0.0189429,47,0.0,9,47,0.0404673,4,1.3,0.3,5
9,Combined_Network,0.9471,0.9431,0.0737,0.0755,0.0169464,0.018517,51,0.0,10,51,0.0404673,4,1.3,0.3,5
10,Combined_Network,0.9478,0.9442,0.0732,0.0748,0.0167253,0.0181667,54,0.0,11,54,0.0404673,4,1.3,0.3,5
11,Combined_Network,0.948,0.9444,0.0731,0.0747,0.0166712,0.0181103,56,0.0,12,56,0.0404673,4,1.3,0.3,5
12,Combined_Network,0.9509,0.9495,0.0711,0.0713,0.0157854,0.0165151,60,0.0,13,60,0.0404673,4,1.3,0.3,5
13,Combined_Network,0.9511,0.9499,0.071,0.0711,0.0157231,0.0163895,62,0.0,14,62,0.0404673,4,1.3,0.3,5
14,Combined_Network,0.9522,0.9511,0.0702,0.0702,0.0153561,0.0159899,66,0.0,15,66,0.0404673,4,1.3,0.3,5
15,Combined_Network,0.9559,0.9541,0.0675,0.0681,0.0142006,0.0150501,69,0.0,16,69,0.0404673,4,1.3,0.3,5
16,Combined_Network,0.9561,0.9543,0.0673,0.068,0.0141524,0.0150238,72,0.0,17,72,0.0404673,4,1.3,0.3,5
17,Combined_Network,0.9561,0.9542,0.0673,0.0681,0.0141436,0.0150447,75,0.0,18,75,0.0404673,4,1.3,0.3,5
18,Combined_Network,0.9578,0.9557,0.0661,0.067,0.0136263,0.0145854,90,0.0,19,90,0.0404673,4,1.3,0.3,5
19,Combined_Network,0.958,0.9558,0.0659,0.067,0.0135535,0.0145457,100,0.0,20,100,0.0404673,4,1.3,0.3,5
20,Combined_Network,0.958,0.9558,0.0659,0.067,0.0135536,0.0145456,102,0.0,21,102,0.0404673,4,1.3,0.3,5
21,Combined_Network,0.9584,0.9567,0.0656,0.0664,0.0134219,0.0142862,104,0.0,22,104,0.0404673,4,1.3,0.3,5
22,Combined_Network,0.9597,0.9582,0.0646,0.0653,0.0130206,0.0138338,108,0.01,23,108,0.0404673,4,1.3,0.3,5
23,Combined_Network,0.9602,0.9588,0.0642,0.0649,0.0128632,0.0136622,111,0.01,24,111,0.0404673,4,1.3,0.3,5
24,Combined_Network,0.9612,0.9597,0.0635,0.0642,0.0125664,0.013361,114,0.0,25,114,0.0404673,4,1.3,0.3,5
25,Combined_Network,0.9622,0.9607,0.0626,0.0634,0.0122409,0.013028,118,0.0,26,118,0.0404673,4,1.3,0.3,5
26,Combined_Network,0.9622,0.9607,0.0626,0.0634,0.0122398,0.013028,120,0.0,27,120,0.0404673,4,1.3,0.3,5
27,Combined_Network,0.9626,0.9611,0.0623,0.0631,0.0121215,0.0129058,122,0.01,28,122,0.0404673,4,1.3,0.3,5
28,Combined_Network,0.964,0.9633,0.0611,0.0613,0.0116592,0.0121865,124,0.0,29,124,0.0404673,4,1.3,0.3,5
29,Combined_Network,0.964,0.9633,0.0611,0.0613,0.0116562,0.0121833,126,0.0,30,126,0.0404673,4,1.3,0.3,5
30,Combined_Network,0.9655,0.9647,0.0599,0.0601,0.0111783,0.0117312,133,0.0,31,133,0.0404673,4,1.3,0.3,5
31,Combined_Network,0.9667,0.966,0.0589,0.059,0.0108125,0.011292,137,0.01,32,137,0.0404673,4,1.3,0.3,5
32,Combined_Network,0.9703,0.9692,0.0557,0.0562,0.0096702,0.0102635,144,0.01,33,144,0.0404673,4,1.3,0.3,5
33,Combined_Network,0.9703,0.9692,0.0557,0.0562,0.0096667,0.0102585,146,0.0,34,146,0.0404673,4,1.3,0.3,5
34,Combined_Network,0.9704,0.9693,0.0555,0.0562,0.0096207,0.0102315,150,0.0,35,150,0.0404673,4,1.3,0.3,5
35,Combined_Network,0.9705,0.9693,0.0555,0.0561,0.0096197,0.010231,153,0.0,36,153,0.0404673,4,1.3,0.3,5
36,Combined_Network,0.9707,0.9694,0.0553,0.0561,0.0095502,0.0102048,157,0.01,37,157,0.0404673,4,1.3,0.3,5
37,Combined_Network,0.9709,0.9697,0.0551,0.0558,0.009484,0.0101066,163,0.0,38,163,0.0404673,4,1.3,0.3,5
38,Combined_Network,0.9709,0.9697,0.0551,0.0558,0.0094794,0.0101006,166,0.0,39,166,0.0404673,4,1.3,0.3,5
39,Combined_Network,0.9719,0.9697,0.0542,0.0558,0.009153,0.0101062,168,0.0,40,168,0.0404673,4,1.3,0.3,5
40,Combined_Network,0.9728,0.9706,0.0533,0.055,0.0088772,0.0098104,177,0.01,41,177,0.0404673,4,1.3,0.3,5
41,Combined_Network,0.9734,0.9713,0.0527,0.0543,0.0086726,0.0095824,183,0.01,42,183,0.0404673,4,1.3,0.3,5
42,Combined_Network,0.9734,0.9713,0.0527,0.0543,0.008672,0.0095815,186,0.01,43,186,0.0404673,4,1.3,0.3,5
43,Combined_Network,0.9735,0.9711,0.0526,0.0545,0.0086474,0.0096286,191,0.01,44,191,0.0404673,4,1.3,0.3,5
44,Combined_Network,0.9736,0.9712,0.0525,0.0544,0.0086047,0.0096054,195,0.01,45,195,0.0404673,4,1.3,0.3,5
45,Combined_Network,0.9746,0.9724,0.0515,0.0532,0.0082743,0.0091925,207,0.01,46,207,0.0404673,4,1.3,0.3,5
46,Combined_Network,0.9758,0.9741,0.0504,0.0517,0.0079127,0.0086607,211,0.01,47,211,0.0404673,4,1.3,0.3,5
47,Combined_Network,0.9759,0.9744,0.0502,0.0514,0.0078597,0.0085681,215,0.01,48,215,0.0404673,4,1.3,0.3,5
48,Combined_Network,0.9759,0.9744,0.0502,0.0514,0.0078589,0.0085763,218,0.01,49,218,0.0404673,4,1.3,0.3,5
49,Combined_Network,0.977,0.9756,0.0491,0.0502,0.0075127,0.0081773,220,0.01,50,220,0.0404673,4,1.3,0.3,5
50,Combined_Network,0.977,0.9756,0.0491,0.0502,0.007529,0.0081782,222,0.01,51,222,0.0404673,4,1.3,0.3,5
51,Combined_Network,0.9779,0.9769,0.0482,0.0489,0.0072395,0.0077588,239,0.01,52,239,0.0404673,4,1.3,0.3,5
52,Combined_Network,0.9783,0.9774,0.0478,0.0484,0.0071179,0.0075914,244,0.01,53,244,0.0404673,4,1.3,0.3,5
53,Combined_Network,0.9783,0.9774,0.0478,0.0484,0.0071173,0.0075903,246,0.01,54,246,0.0404673,4,1.3,0.3,5
54,Combined_Network,0.98,0.9797,0.0459,0.0458,0.0065689,0.0068112,252,0.01,55,252,0.0404673,4,1.3,0.3,5
55,Combined_Network,0.98,0.9797,0.0459,0.0458,0.0065684,0.0068107,254,0.01,56,254,0.0404673,4,1.3,0.3,5
56,Combined_Network,0.98,0.9797,0.0459,0.0458,0.0065674,0.0068099,256,0.01,57,256,0.0404673,4,1.3,0.3,5
57,Combined_Network,0.9801,0.9799,0.0457,0.0457,0.0065215,0.0067701,264,0.09,58,264,0.0404673,4,1.3,0.3,5
58,Combined_Network,0.9801,0.9799,0.0457,0.0457,0.0065207,0.0067692,266,0.05,59,266,0.0404673,4,1.3,0.3,5
59,Combined_Network,0.9815,0.9814,0.0442,0.0435,0.0060823,0.0061334,269,0.01,60,269,0.0404673,4,1.3,0.3,5
60,Combined_Network,0.9815,0.9815,0.0441,0.0434,0.0060678,0.0061117,272,0.01,61,272,0.0404673,4,1.3,0.3,5
61,Combined_Network,0.9815,0.9815,0.0441,0.0434,0.0060662,0.0061112,275,0.01,62,275,0.0404673,4,1.3,0.3,5
62,Combined_Network,0.9819,0.9818,0.0437,0.043,0.0059463,0.0059978,296,0.01,63,296,0.0404673,4,1.3,0.3,5
63,Combined_Network,0.9828,0.9824,0.0426,0.0423,0.0056691,0.0057999,303,0.01,64,303,0.0404673,4,1.3,0.3,5
64,Combined_Network,0.9828,0.9824,0.0426,0.0423,0.0056666,0.0057967,305,0.02,65,305,0.0404673,4,1.3,0.3,5
65,Combined_Network,0.9829,0.9826,0.0425,0.0421,0.0056357,0.0057425,310,0.02,66,310,0.0404673,4,1.3,0.3,5
66,Combined_Network,0.9829,0.9826,0.0425,0.0421,0.0056359,0.0057404,313,0.01,67,313,0.0404673,4,1.3,0.3,5
67,Combined_Network,0.9831,0.9828,0.0422,0.0418,0.0055477,0.0056646,320,0.01,68,320,0.0404673,4,1.3,0.3,5
68,Combined_Network,0.9832,0.9829,0.0421,0.0418,0.0055417,0.0056622,323,0.01,69,323,0.0404673,4,1.3,0.3,5
69,Combined_Network,0.9832,0.9829,0.0421,0.0418,0.0055416,0.0056622,326,0.01,70,326,0.0404673,4,1.3,0.3,5
70,Combined_Network,0.9832,0.9829,0.0421,0.0418,0.0055415,0.0056621,329,0.01,71,329,0.0404673,4,1.3,0.3,5
71,Combined_Network,0.9832,0.983,0.0421,0.0416,0.0055183,0.0056284,332,0.01,72,332,0.0404673,4,1.3,0.3,5
72,Combined_Network,0.9832,0.983,0.042,0.0416,0.0055162,0.0056257,334,0.01,73,334,0.0404673,4,1.3,0.3,5
73,Combined_Network,0.9832,0.983,0.042,0.0416,0.0055145,0.0056236,339,0.01,74,339,0.0404673,4,1.3,0.3,5
74,Combined_Network,0.9833,0.983,0.042,0.0416,0.0055072,0.0056247,342,0.01,75,342,0.0404673,4,1.3,0.3,5
75,Combined_Network,0.9841,0.9842,0.0409,0.0401,0.0052293,0.005219,355,0.01,76,355,0.0404673,4,1.3,0.3,5
76,Combined_Network,0.9854,0.9853,0.0393,0.0386,0.0048136,0.0048446,357,0.01,77,357,0.0404673,4,1.3,0.3,5
77,Combined_Network,0.9854,0.9853,0.0393,0.0387,0.0048183,0.0048544,359,0.01,78,359,0.0404673,4,1.3,0.3,5
78,Combined_Network,0.9856,0.9854,0.039,0.0385,0.0047404,0.0048209,364,0.02,79,364,0.0404673,4,1.3,0.3,5
79,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0047003,0.0047771,367,0.01,80,367,0.0404673,4,1.3,0.3,5
80,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0046984,0.0047771,370,0.01,81,370,0.0404673,4,1.3,0.3,5
81,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0046984,0.0047771,372,0.01,82,372,0.0404673,4,1.3,0.3,5
82,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0046966,0.0047751,374,0.01,83,374,0.0404673,4,1.3,0.3,5
83,Combined_Network,0.9858,0.9856,0.0387,0.0383,0.0046683,0.0047647,381,0.02,84,381,0.0404673,4,1.3,0.3,5
84,Combined_Network,0.9861,0.9861,0.0384,0.0376,0.0045902,0.0045992,386,0.02,85,386,0.0404673,4,1.3,0.3,5
85,Combined_Network,0.9861,0.9861,0.0384,0.0376,0.0045896,0.0045988,388,0.02,86,388,0.0404673,4,1.3,0.3,5
86,Combined_Network,0.9861,0.9861,0.0383,0.0376,0.0045756,0.0045976,391,0.02,87,391,0.0404673,4,1.3,0.3,5
87,Combined_Network,0.9861,0.9861,0.0383,0.0377,0.0045767,0.0046062,395,0.02,88,395,0.0404673,4,1.3,0.3,5
88,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044555,0.0044443,402,0.02,89,402,0.0404673,4,1.3,0.3,5
89,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044553,0.004444,404,0.02,90,404,0.0404673,4,1.3,0.3,5
90,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044553,0.004444,406,0.02,91,406,0.0404673,4,1.3,0.3,5
