,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00004,ecol_ts,x,lorenz,0.8601,0.8419,0.1204,0.1267,0.0451972,0.052069,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
1,Prok_Taxa00005,ecol_ts,x,lorenz,0.8638,0.8488,0.1189,0.1241,0.0440978,0.0499388,3,2,0,4,0,720,0.2,0,0.12,0.0,0.03
2,Prok_Taxa00006,ecol_ts,x,lorenz,0.8929,0.8895,0.1057,0.1064,0.034881,0.0367553,4,2,0,5,0,720,0.2,0,0.13,0.0,0.03
3,Prok_Taxa00007,ecol_ts,x,lorenz,0.8716,0.8575,0.116,0.1211,0.0420153,0.0475605,5,2,0,6,0,720,0.2,0,0.12,0.0,0.03
4,Prok_Taxa00009,ecol_ts,x,lorenz,0.8847,0.8789,0.1067,0.108,0.0355442,0.0378548,8,2,0,9,0,720,0.2,0,0.13,0.0,0.03
5,Prok_Taxa00010,ecol_ts,x,lorenz,0.8857,0.8758,0.1063,0.1094,0.0352871,0.0388144,6,2,0,7,0,720,0.2,0,0.12,0.0,0.03
6,Prok_Taxa00011,ecol_ts,x,lorenz,0.8715,0.8653,0.1123,0.1136,0.0393363,0.0418822,9,2,0,10,0,720,0.2,0,0.13,0.0,0.03
7,Prok_Taxa00013,ecol_ts,x,lorenz,0.8774,0.8664,0.1132,0.117,0.0399857,0.0444497,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
8,Prok_Taxa00014,ecol_ts,x,lorenz,0.8732,0.8599,0.1117,0.1158,0.038919,0.0434985,4,2,0,5,0,720,0.2,0,0.11,0.0,0.03
9,Prok_Taxa00016,ecol_ts,x,lorenz,0.8663,0.8503,0.1205,0.1265,0.0453418,0.0519268,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
10,Prok_Taxa00017,ecol_ts,x,lorenz,0.8646,0.85,0.1185,0.1235,0.0438023,0.0494556,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
11,Prok_Taxa00018,ecol_ts,x,lorenz,0.8693,0.8565,0.1169,0.1211,0.0426351,0.0475967,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
12,Prok_Taxa00020,ecol_ts,x,lorenz,0.8756,0.8605,0.111,0.1154,0.0384597,0.0432393,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
13,Prok_Taxa00021,ecol_ts,x,lorenz,0.8736,0.8608,0.1168,0.1213,0.0425534,0.0477276,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
14,Prok_Taxa00022,ecol_ts,x,lorenz,0.8634,0.8486,0.1183,0.1231,0.0436614,0.0492035,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
15,Prok_Taxa00023,ecol_ts,x,lorenz,0.8783,0.8656,0.1152,0.1202,0.0413795,0.0468766,3,2,0,4,0,720,0.2,0,0.12,0.0,0.03
16,Prok_Taxa00024,ecol_ts,x,lorenz,0.8653,0.8505,0.1204,0.1257,0.0452069,0.0512343,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
17,Prok_Taxa00025,ecol_ts,x,lorenz,0.8659,0.8558,0.1168,0.1202,0.0425957,0.0469198,3,2,0,4,0,720,0.2,0,0.12,0.0,0.03
18,Prok_Taxa00026,ecol_ts,x,lorenz,0.8855,0.8814,0.1064,0.1069,0.0353285,0.0371164,15,2,0,16,0,720,0.2,0,0.13,0.0,0.03
19,Prok_Taxa00027,ecol_ts,x,lorenz,0.8675,0.8534,0.1139,0.1181,0.0405004,0.045234,10,2,0,11,0,720,0.2,0,0.12,0.0,0.03
20,Prok_Taxa00028,ecol_ts,x,lorenz,0.8656,0.8511,0.1184,0.1234,0.0437612,0.0494309,2,2,0,3,0,720,0.2,0,0.12,0.0,0.03
21,Prok_Taxa00029,ecol_ts,x,lorenz,0.8755,0.8614,0.1193,0.1243,0.0444076,0.0501169,2,2,0,3,0,720,0.2,0,0.12,0.0,0.03
22,Prok_Taxa00031,ecol_ts,x,lorenz,0.8559,0.837,0.1246,0.1316,0.0484446,0.0561961,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
23,Prok_Taxa00032,ecol_ts,x,lorenz,0.8668,0.8557,0.1168,0.1205,0.0425683,0.047132,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
24,Prok_Taxa00034,ecol_ts,x,lorenz,0.8653,0.8529,0.1178,0.122,0.0432842,0.0482959,3,2,0,4,0,720,0.2,0,0.12,0.0,0.03
25,Prok_Taxa00035,ecol_ts,x,lorenz,0.8822,0.8741,0.1108,0.114,0.0383084,0.0421572,4,2,0,5,0,720,0.2,0,0.11,0.0,0.03
26,Prok_Taxa00036,ecol_ts,x,lorenz,0.8668,0.8528,0.1177,0.1226,0.0432352,0.0487661,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
27,Prok_Taxa00037,ecol_ts,x,lorenz,0.8726,0.8599,0.1196,0.124,0.0445971,0.049858,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
28,Prok_Taxa00038,ecol_ts,x,lorenz,0.8637,0.8491,0.1232,0.1284,0.0473533,0.0534667,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
29,Prok_Taxa00039,ecol_ts,x,lorenz,0.8654,0.8509,0.1191,0.1242,0.0442467,0.0500172,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
30,Prok_Taxa00040,ecol_ts,x,lorenz,0.8751,0.8686,0.1121,0.114,0.0392363,0.0421739,7,2,0,8,0,720,0.2,0,0.12,0.0,0.03
31,Prok_Taxa00041,ecol_ts,x,lorenz,0.8679,0.8533,0.1176,0.1228,0.0431609,0.0489653,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
32,Prok_Taxa00042,ecol_ts,x,lorenz,0.8795,0.8645,0.1103,0.1154,0.0379473,0.0432071,7,2,0,8,0,720,0.2,0,0.12,0.0,0.03
33,Prok_Taxa00043,ecol_ts,x,lorenz,0.8653,0.8508,0.1185,0.1235,0.0438153,0.0494637,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
34,Prok_Taxa00044,ecol_ts,x,lorenz,0.8679,0.8563,0.1173,0.1213,0.0429595,0.047712,4,2,0,5,0,720,0.2,0,0.11,0.0,0.03
35,Prok_Taxa00046,ecol_ts,x,lorenz,0.8681,0.8542,0.1177,0.1225,0.0432134,0.0486975,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
36,Prok_Taxa00049,ecol_ts,x,lorenz,0.8665,0.8519,0.1183,0.1234,0.0436748,0.0494462,4,2,0,5,0,720,0.2,0,0.11,0.0,0.03
37,Prok_Taxa00050,ecol_ts,x,lorenz,0.8766,0.8661,0.1125,0.1162,0.0395119,0.0438492,6,2,0,7,0,720,0.2,0,0.12,0.0,0.03
38,Prok_Taxa00051,ecol_ts,x,lorenz,0.8645,0.85,0.1184,0.1234,0.043771,0.0493775,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
39,Prok_Taxa00053,ecol_ts,x,lorenz,0.8853,0.8744,0.1118,0.1152,0.0390015,0.0430777,2,2,0,3,0,720,0.2,0,0.11,0.0,0.03
40,Prok_Taxa00055,ecol_ts,x,lorenz,0.871,0.8585,0.1168,0.1215,0.0425756,0.0479053,9,2,0,10,0,720,0.2,0,0.12,0.0,0.03
41,Prok_Taxa00056,ecol_ts,x,lorenz,0.8678,0.858,0.114,0.1166,0.0405414,0.0441204,6,2,0,7,0,720,0.2,0,0.11,0.0,0.03
42,Prok_Taxa00058,ecol_ts,x,lorenz,0.8646,0.8501,0.1185,0.1235,0.0438237,0.0494815,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
43,Prok_Taxa00059,ecol_ts,x,lorenz,0.8611,0.8476,0.1183,0.1226,0.0436423,0.0487487,5,2,0,6,0,720,0.2,0,0.11,0.0,0.03
44,Prok_Taxa00061,ecol_ts,x,lorenz,0.864,0.8504,0.118,0.1225,0.0434574,0.0486757,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
45,Prok_Taxa00062,ecol_ts,x,lorenz,0.8968,0.8867,0.1014,0.105,0.0321037,0.0357581,12,2,0,13,0,720,0.2,0,0.12,0.0,0.03
46,Prok_Taxa00063,ecol_ts,x,lorenz,0.907,0.902,0.0989,0.1004,0.0305029,0.0327053,4,2,0,5,0,720,0.2,0,0.12,0.0,0.03
47,Prok_Taxa00064,ecol_ts,x,lorenz,0.8732,0.8576,0.1152,0.1207,0.04139,0.0472996,4,2,0,5,0,720,0.2,0,0.11,0.0,0.03
48,Prok_Taxa00065,ecol_ts,x,lorenz,0.883,0.8715,0.1135,0.1177,0.0401742,0.0449427,3,2,0,4,0,720,0.2,0,0.11,0.0,0.03
