,Taxa,w_in_sp_opt,w_in_st_opt
0,Prok_Taxa00004,0.3,1.3
1,Prok_Taxa00005,0,1.3
2,Prok_Taxa00006,0,2.0
3,Prok_Taxa00007,0.8,1.6
4,Prok_Taxa00009,0.5,1.7
5,Prok_Taxa00010,0.9,1.5
6,Prok_Taxa00011,0.5,1.9
7,Prok_Taxa00013,0,1.2
8,Prok_Taxa00014,0,1.8
9,Prok_Taxa00016,0.3,2.0
10,Prok_Taxa00017,0.4,1.5
11,Prok_Taxa00018,0,2.0
12,Prok_Taxa00020,0.5,1.3
13,Prok_Taxa00021,0,0.9
14,Prok_Taxa00022,0.3,2.0
15,Prok_Taxa00023,0,1.6
16,Prok_Taxa00024,0.4,1.6
17,Prok_Taxa00025,0,1.6
18,Prok_Taxa00026,0.3,1.5
19,Prok_Taxa00027,0.3,1.0
20,Prok_Taxa00028,0,0.8
21,Prok_Taxa00029,0,1.0
22,Prok_Taxa00031,0.5,1.0
23,Prok_Taxa00032,0,1.8
24,Prok_Taxa00034,0.4,2.0
25,Prok_Taxa00035,0.3,2.0
26,Prok_Taxa00036,0,1.0
27,Prok_Taxa00037,0,0.9
28,Prok_Taxa00038,0,1.2
29,Prok_Taxa00039,0,1.5
30,Prok_Taxa00040,0.6,1.4
31,Prok_Taxa00041,0.5,1.2
32,Prok_Taxa00042,0.6,1.9
33,Prok_Taxa00043,0.5,0.9
34,Prok_Taxa00044,0,1.4
35,Prok_Taxa00046,0,0.8
36,Prok_Taxa00049,0,1.6
37,Prok_Taxa00050,0.9,1.9
38,Prok_Taxa00051,0,2.0
39,Prok_Taxa00053,0,1.6
40,Prok_Taxa00055,0.2,1.4
41,Prok_Taxa00056,0.9,2.0
42,Prok_Taxa00058,0,0.8
43,Prok_Taxa00059,0.4,0.9
44,Prok_Taxa00061,0.3,1.4
45,Prok_Taxa00062,0,1.8
46,Prok_Taxa00063,0.3,2.0
47,Prok_Taxa00064,0.8,0.9
48,Prok_Taxa00065,0,2.0
49,Prok_Taxa00066,0.5,1.7
50,Prok_Taxa00067,0,1.9
51,Prok_Taxa00068,0.3,1.6
52,Prok_Taxa00069,0.4,1.9
53,Prok_Taxa00070,0,0.9
54,Prok_Taxa00071,0.5,1.7
55,Prok_Taxa00073,0,1.6
56,Prok_Taxa00075,0,2.0
57,Prok_Taxa00076,0.4,1.4
58,Prok_Taxa00077,0,2.0
59,Prok_Taxa00078,0.4,1.7
60,Prok_Taxa00079,0.4,1.4
61,Prok_Taxa00080,0,1.9
62,Prok_Taxa00082,0.3,1.7
63,Prok_Taxa00083,0.6,0.8
64,Prok_Taxa00084,0,2.0
65,Prok_Taxa00085,0.4,1.2
66,Prok_Taxa00086,0,1.4
67,Prok_Taxa00087,0.9,1.5
68,Prok_Taxa00088,0.4,1.3
69,Prok_Taxa00089,0,0.8
70,Prok_Taxa00091,0,0.8
71,Prok_Taxa00092,0,1.4
72,Prok_Taxa00093,0,2.0
73,Prok_Taxa00094,0.6,1.2
74,Prok_Taxa00095,0.4,1.1
75,Prok_Taxa00097,0.1,1.6
76,Prok_Taxa00098,0,1.3
77,Prok_Taxa00099,0,1.2
78,Prok_Taxa00100,0.8,1.3
79,Prok_Taxa00101,0.4,2.0
80,Prok_Taxa00102,0,0.8
81,Prok_Taxa00104,0,0.8
82,Prok_Taxa00107,0,1.0
83,Prok_Taxa00108,0.5,1.6
84,Prok_Taxa00110,0.6,1.4
85,Prok_Taxa00111,0,1.4
86,Prok_Taxa00113,0.4,1.5
87,Prok_Taxa00114,0.3,1.6
88,Prok_Taxa00115,0.6,1.2
89,Prok_Taxa00116,0,2.0
90,Prok_Taxa00117,0,0.8
91,Prok_Taxa00118,0,1.0
92,Prok_Taxa00119,0.7,1.6
93,Prok_Taxa00120,0,1.1
