,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,ESN: narma10,-0.0426,0.0983,0.1775,0.1675,0.125049,0.1177087,1,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
1,ESN: narma10,-0.0709,-0.0806,0.1725,0.1694,0.1181241,0.1205242,20,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
2,ESN: narma10,0.3568,0.206,0.1579,0.1629,0.0989151,0.1113797,40,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
3,ESN: narma10,0.3305,0.1609,0.1594,0.164,0.1007908,0.1128513,60,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
4,ESN: narma10,0.5659,0.3856,0.1443,0.1536,0.0826962,0.0991044,80,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
5,ESN: narma10,0.4271,0.168,0.155,0.1636,0.0953253,0.1124053,100,1,0.1,0.95,0.1,0,999,0.5,24,0.01,0.0,0.01
6,ESN: narma10,0.6146,0.3395,0.1376,0.1562,0.075119,0.102407,120,1,0.1,0.95,0.1,0,999,0.5,24,0.02,0.0,0.02
7,ESN: narma10,0.749,0.5882,0.1167,0.1345,0.0540773,0.0759098,140,1,0.1,0.95,0.1,0,999,0.5,24,0.02,0.0,0.02
8,ESN: narma10,0.7973,0.6409,0.1093,0.1286,0.0473768,0.069428,160,1,0.1,0.95,0.1,0,999,0.5,24,0.02,0.0,0.02
9,ESN: narma10,0.8141,0.606,0.1049,0.133,0.0436614,0.0742473,180,1,0.1,0.95,0.1,0,999,0.5,24,0.03,0.0,0.03
10,ESN: narma10,0.8314,0.7172,0.1017,0.1193,0.0410377,0.0597884,200,1,0.1,0.95,0.1,0,999,0.5,24,0.03,0.01,0.03
11,ESN: narma10,0.8319,0.6444,0.1025,0.1286,0.0416713,0.0694491,220,1,0.1,0.95,0.1,0,999,0.5,24,0.03,0.01,0.04
12,ESN: narma10,0.8265,0.6246,0.105,0.1319,0.0437244,0.073054,240,1,0.1,0.95,0.1,0,999,0.5,24,0.04,0.01,0.04
13,ESN: narma10,0.8823,0.7423,0.087,0.1142,0.0300245,0.0547444,260,1,0.1,0.95,0.1,0,999,0.5,24,0.05,0.01,0.05
14,ESN: narma10,0.8748,0.7265,0.0906,0.1176,0.0326078,0.0580586,280,1,0.1,0.95,0.1,0,999,0.5,24,0.05,0.01,0.05
15,ESN: narma10,0.9095,0.7243,0.0784,0.1167,0.0244071,0.0571868,300,1,0.1,0.95,0.1,0,999,0.5,24,0.06,0.01,0.06
16,ESN: narma10,0.9082,0.7913,0.076,0.1043,0.0229368,0.045645,320,1,0.1,0.95,0.1,0,999,0.5,24,0.06,0.01,0.06
17,ESN: narma10,0.9157,0.7964,0.0748,0.1036,0.0222134,0.0450975,340,1,0.1,0.95,0.1,0,999,0.5,24,0.07,0.02,0.07
18,ESN: narma10,0.924,0.7686,0.0725,0.1082,0.0208768,0.0491822,360,1,0.1,0.95,0.1,0,999,0.5,24,0.08,0.02,0.08
19,ESN: narma10,0.9114,0.763,0.0776,0.1119,0.0239277,0.0525948,380,1,0.1,0.95,0.1,0,999,0.5,24,0.09,0.02,0.1
20,ESN: narma10,0.9394,0.8091,0.0653,0.1007,0.0169011,0.0426091,400,1,0.1,0.95,0.1,0,999,0.5,24,0.11,0.02,0.11
21,ESN: narma10,0.9175,0.7865,0.0745,0.1059,0.0220242,0.0470405,420,1,0.1,0.95,0.1,0,999,0.5,24,0.11,0.03,0.1
22,ESN: narma10,0.9518,0.8511,0.0565,0.0891,0.0126768,0.03334,440,1,0.1,0.95,0.1,0,999,0.5,24,0.13,0.03,0.16
23,ESN: narma10,0.9281,0.791,0.0685,0.104,0.0186153,0.0454162,460,1,0.1,0.95,0.1,0,999,0.5,24,0.15,0.04,0.19
24,ESN: narma10,0.9386,0.76,0.0657,0.1098,0.0171313,0.0506246,480,1,0.1,0.95,0.1,0,999,0.5,24,0.15,0.04,0.16
25,ESN: narma10,0.9268,0.7453,0.0728,0.1129,0.0210082,0.0535365,500,1,0.1,0.95,0.1,0,999,0.5,24,0.23,0.04,0.27
26,ESN: narma10,0.9543,0.8341,0.0562,0.0936,0.0125386,0.0367936,520,1,0.1,0.95,0.1,0,999,0.5,24,0.27,0.05,0.25
27,ESN: narma10,0.9501,0.8611,0.0601,0.0909,0.0143504,0.034698,540,1,0.1,0.95,0.1,0,999,0.5,24,0.3,0.05,0.2
28,ESN: narma10,0.9633,0.8454,0.0495,0.0904,0.009714,0.034331,560,1,0.1,0.95,0.1,0,999,0.5,24,0.23,0.06,0.39
29,ESN: narma10,0.9662,0.861,0.0486,0.088,0.009357,0.0324785,580,1,0.1,0.95,0.1,0,999,0.5,24,0.34,0.06,0.47
30,ESN: narma10,0.9594,0.839,0.0525,0.0917,0.010934,0.0352639,600,1,0.1,0.95,0.1,0,999,0.5,24,0.42,0.06,0.31
31,ESN: narma10,0.9675,0.862,0.0464,0.0856,0.0085627,0.0307298,620,1,0.1,0.95,0.1,0,999,0.5,24,0.5,0.07,0.46
32,ESN: narma10,0.9686,0.8708,0.0458,0.0841,0.0083208,0.0297015,640,1,0.1,0.95,0.1,0,999,0.5,24,0.52,0.08,0.55
33,ESN: narma10,0.9688,0.8598,0.0461,0.0865,0.0084513,0.0314212,660,1,0.1,0.95,0.1,0,999,0.5,24,0.5,0.09,0.53
34,ESN: narma10,0.9601,0.8098,0.0514,0.098,0.010506,0.0403458,680,1,0.1,0.95,0.1,0,999,0.5,24,0.48,0.09,0.54
35,ESN: narma10,0.9592,0.8486,0.0524,0.092,0.0108858,0.0355507,700,1,0.1,0.95,0.1,0,999,0.5,24,0.65,0.1,0.4
36,ESN: narma10,0.9676,0.8604,0.0468,0.088,0.0086962,0.0325178,720,1,0.1,0.95,0.1,0,999,0.5,24,0.61,0.1,0.77
37,ESN: narma10,0.9741,0.8691,0.0405,0.0841,0.0065108,0.0296673,740,1,0.1,0.95,0.1,0,999,0.5,24,0.75,0.11,0.8
38,ESN: narma10,0.9665,0.8422,0.0469,0.091,0.0087489,0.0347335,760,1,0.1,0.95,0.1,0,999,0.5,24,0.83,0.12,0.87
39,ESN: narma10,0.9694,0.8708,0.047,0.0849,0.0087643,0.0302886,780,1,0.1,0.95,0.1,0,999,0.5,24,0.63,0.13,0.73
40,ESN: narma10,0.9653,0.8529,0.0494,0.0915,0.0096692,0.0351503,800,1,0.1,0.95,0.1,0,999,0.5,24,0.9,0.14,1.0
41,ESN: narma10,0.9698,0.8696,0.0474,0.0867,0.0089318,0.0315643,820,1,0.1,0.95,0.1,0,999,0.5,24,0.95,0.15,0.88
42,ESN: narma10,0.9763,0.876,0.0403,0.0836,0.0064387,0.0293605,840,1,0.1,0.95,0.1,0,999,0.5,24,0.78,0.15,0.77
43,ESN: narma10,0.9628,0.8426,0.0521,0.0928,0.0107901,0.0361906,860,1,0.1,0.95,0.1,0,999,0.5,24,1.09,0.16,0.91
44,ESN: narma10,0.979,0.8888,0.0379,0.0781,0.0057137,0.0256222,880,1,0.1,0.95,0.1,0,999,0.5,24,0.94,0.17,0.95
45,ESN: narma10,0.9799,0.8953,0.0374,0.077,0.0055381,0.0248683,900,1,0.1,0.95,0.1,0,999,0.5,24,0.89,0.18,0.93
46,ESN: narma10,0.9747,0.8796,0.0421,0.0828,0.0070474,0.0288032,920,1,0.1,0.95,0.1,0,999,0.5,24,0.99,0.19,1.36
47,ESN: narma10,0.9786,0.8883,0.0391,0.0791,0.0060743,0.0262833,940,1,0.1,0.95,0.1,0,999,0.5,24,1.0,0.2,1.47
48,ESN: narma10,0.9816,0.8972,0.0348,0.0747,0.0048155,0.0234282,960,1,0.1,0.95,0.1,0,999,0.5,24,1.01,0.21,1.09
49,ESN: narma10,0.978,0.8667,0.0381,0.0849,0.005759,0.0302422,980,1,0.1,0.95,0.1,0,999,0.5,24,1.5,0.23,1.12
50,ESN: narma10,0.9832,0.8845,0.0335,0.0787,0.0044607,0.0260035,1000,1,0.1,0.95,0.1,0,999,0.5,24,1.48,0.24,1.23
51,ESN: narma10,0.9832,0.8845,0.0335,0.0787,0.0044607,0.0260035,1000,1,0.1,0.95,0.1,0,999,0.5,24,1.15,0.24,1.23
52,ESN: narma10,0.9824,0.8868,0.0344,0.0794,0.0047002,0.0264665,1100,1,0.1,0.95,0.1,0,999,0.5,24,1.5,0.31,1.52
53,ESN: narma10,0.9846,0.9087,0.0316,0.0714,0.0039737,0.021419,1200,1,0.1,0.95,0.1,0,999,0.5,24,1.77,0.38,1.63
54,ESN: narma10,0.9858,0.9038,0.0311,0.0724,0.0038464,0.022025,1300,1,0.1,0.95,0.1,0,999,0.5,24,1.81,0.46,1.96
55,ESN: narma10,0.9895,0.9194,0.0263,0.0679,0.0027474,0.0193623,1400,1,0.1,0.95,0.1,0,999,0.5,24,2.14,0.57,2.15
56,ESN: narma10,0.9879,0.9051,0.0283,0.0717,0.0031801,0.0215614,1500,1,0.1,0.95,0.1,0,999,0.5,24,2.61,0.69,2.41
57,ESN: narma10,0.9893,0.9119,0.0272,0.0707,0.0029443,0.0210015,1600,1,0.1,0.95,0.1,0,999,0.5,24,2.9,0.83,2.7
58,ESN: narma10,0.9916,0.9142,0.0233,0.0682,0.0021591,0.0195532,1700,1,0.1,0.95,0.1,0,999,0.5,24,3.19,0.96,3.05
59,ESN: narma10,0.991,0.9236,0.0246,0.0663,0.0024008,0.0184319,1800,1,0.1,0.95,0.1,0,999,0.5,24,3.29,1.11,3.23
60,ESN: narma10,0.9927,0.9308,0.0222,0.0627,0.001958,0.0165276,1900,1,0.1,0.95,0.1,0,999,0.5,24,3.55,1.25,2.8
61,ESN: narma10,0.9925,0.9195,0.0223,0.0667,0.0019685,0.0186592,2000,1,0.1,0.95,0.1,0,999,0.5,24,3.21,1.43,2.91
