,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
0,Combined_Network_narma04,-0.0582,0.2329,0.2202,0.1955,0.1746309,0.1367384,4,0.0,1,4,4,0.25,0.3,5,0.9
1,Combined_Network_narma04,0.113,0.3029,0.1586,0.1537,0.0905315,0.0845124,54,0.0,11,54,4,0.25,0.3,5,0.9
2,Combined_Network_narma04,0.2122,0.3083,0.1544,0.1528,0.0858604,0.083516,102,0.01,21,102,4,0.25,0.3,5,0.9
3,Combined_Network_narma04,0.2663,0.3181,0.152,0.1524,0.0831618,0.0830883,133,0.01,31,133,4,0.25,0.3,5,0.9
4,Combined_Network_narma04,0.3605,0.3156,0.1474,0.1518,0.0782589,0.0824196,177,0.01,41,177,4,0.25,0.3,5,0.9
5,Combined_Network_narma04,0.391,0.3193,0.1458,0.1519,0.0765112,0.0825546,222,0.0,51,222,4,0.25,0.3,5,0.9
6,Combined_Network_narma04,0.435,0.3372,0.1435,0.151,0.0741196,0.0815067,272,0.01,61,272,4,0.25,0.3,5,0.9
7,Combined_Network_narma04,0.486,0.3825,0.1402,0.1486,0.0708206,0.0789839,329,0.02,71,329,4,0.25,0.3,5,0.9
8,Combined_Network_narma04,0.5749,0.4644,0.1338,0.144,0.0644698,0.0741317,370,0.02,81,370,4,0.25,0.3,5,0.9
9,Combined_Network_narma04,0.5816,0.4639,0.133,0.1435,0.0636807,0.0736183,406,0.01,91,406,4,0.25,0.3,5,0.9
10,Combined_Network_narma04,0.5966,0.4692,0.1318,0.1426,0.0625624,0.0726698,450,0.03,101,450,4,0.25,0.3,5,0.9
11,Combined_Network_narma04,0.6058,0.4784,0.1309,0.1418,0.0616756,0.071866,518,0.02,111,518,4,0.25,0.3,5,0.9
12,Combined_Network_narma04,0.6208,0.497,0.129,0.1398,0.0599681,0.0698715,579,0.03,121,579,4,0.25,0.3,5,0.9
13,Combined_Network_narma04,0.6238,0.4978,0.1287,0.1396,0.0596785,0.0696944,626,0.03,131,626,4,0.25,0.3,5,0.9
14,Combined_Network_narma04,0.6396,0.5045,0.1272,0.139,0.0582606,0.0691021,675,0.03,141,675,4,0.25,0.3,5,0.9
15,Combined_Network_narma04,0.6474,0.5156,0.1264,0.138,0.0575575,0.0680905,720,0.07,151,720,4,0.25,0.3,5,0.9
16,Combined_Network_narma04,0.6664,0.5406,0.124,0.1361,0.0553644,0.0662018,772,0.05,161,772,4,0.25,0.3,5,0.9
17,Combined_Network_narma04,0.6809,0.5364,0.1225,0.1362,0.0540108,0.0663739,851,0.06,171,851,4,0.25,0.3,5,0.9
18,Combined_Network_narma04,0.6837,0.5312,0.122,0.1365,0.0536138,0.0666267,899,0.05,181,899,4,0.25,0.3,5,0.9
19,Combined_Network_narma04,0.6971,0.5471,0.1202,0.1349,0.0520278,0.0650615,980,0.06,191,980,4,0.25,0.3,5,0.9
20,Combined_Network_narma04,0.7008,0.5363,0.1191,0.1363,0.0511154,0.0664515,1047,0.07,201,1047,4,0.25,0.3,5,0.9
21,Combined_Network_narma04,0.7057,0.5452,0.1182,0.1356,0.0502899,0.0657521,1122,0.08,211,1122,4,0.25,0.3,5,0.9
22,Combined_Network_narma04,0.7119,0.541,0.1172,0.1359,0.0495088,0.0660896,1177,0.09,221,1177,4,0.25,0.3,5,0.9
23,Combined_Network_narma04,0.7329,0.5518,0.1144,0.1345,0.0471317,0.0647217,1251,0.11,231,1251,4,0.25,0.3,5,0.9
24,Combined_Network_narma04,0.7356,0.551,0.1139,0.1348,0.0467445,0.06498,1331,0.11,241,1331,4,0.25,0.3,5,0.9
25,Combined_Network_narma04,0.7367,0.5519,0.1137,0.1347,0.0465902,0.0649072,1401,0.14,251,1401,4,0.25,0.3,5,0.9
26,Combined_Network_narma04,0.7378,0.5512,0.1136,0.1347,0.0464744,0.0649202,1462,0.15,261,1462,4,0.25,0.3,5,0.9
27,Combined_Network_narma04,0.7572,0.5727,0.1103,0.1324,0.0437801,0.0626613,1567,0.17,271,1567,4,0.25,0.3,5,0.9
28,Combined_Network_narma04,0.7828,0.5881,0.1063,0.1305,0.0406626,0.0609184,1637,0.19,281,1637,4,0.25,0.3,5,0.9
29,Combined_Network_narma04,0.7837,0.5885,0.1061,0.1305,0.040521,0.0608582,1712,0.25,291,1712,4,0.25,0.3,5,0.9
30,Combined_Network_narma04,0.7884,0.5938,0.1054,0.1303,0.0399829,0.0607232,1766,0.32,301,1766,4,0.25,0.3,5,0.9
31,Combined_Network_narma04,0.793,0.6149,0.1044,0.129,0.0392304,0.059527,1829,0.29,311,1829,4,0.25,0.3,5,0.9
32,Combined_Network_narma04,0.7957,0.6175,0.1038,0.1286,0.038798,0.0591365,1909,0.27,321,1909,4,0.25,0.3,5,0.9
33,Combined_Network_narma04,0.8109,0.6404,0.101,0.1258,0.0367272,0.0565881,1978,0.28,331,1978,4,0.25,0.3,5,0.9
34,Combined_Network_narma04,0.8131,0.6423,0.1005,0.1257,0.0363876,0.0564989,2043,0.36,341,2043,4,0.25,0.3,5,0.9
35,Combined_Network_narma04,0.8299,0.6736,0.0966,0.1218,0.0336046,0.0530756,2130,0.34,351,2130,4,0.25,0.3,5,0.9
36,Combined_Network_narma04,0.8301,0.6733,0.0964,0.1214,0.0335012,0.0526706,2228,0.35,361,2228,4,0.25,0.3,5,0.9
37,Combined_Network_narma04,0.8309,0.6745,0.0963,0.1213,0.03337,0.0525908,2307,0.41,371,2307,4,0.25,0.3,5,0.9
38,Combined_Network_narma04,0.8429,0.6975,0.0933,0.1187,0.0313784,0.0504213,2359,0.48,381,2359,4,0.25,0.3,5,0.9
39,Combined_Network_narma04,0.844,0.6987,0.0931,0.1186,0.0312281,0.0502688,2448,0.46,391,2448,4,0.25,0.3,5,0.9
40,Combined_Network_narma04,0.8491,0.6966,0.0917,0.122,0.0302645,0.0532561,2508,0.48,401,2508,4,0.25,0.3,5,0.9
41,Combined_Network_narma04,0.8539,0.7002,0.0905,0.1214,0.0294705,0.052689,2565,0.56,411,2565,4,0.25,0.3,5,0.9
42,Combined_Network_narma04,0.8559,0.6987,0.09,0.1231,0.0291598,0.0542307,2666,0.6,421,2666,4,0.25,0.3,5,0.9
43,Combined_Network_narma04,0.8563,0.6975,0.0898,0.1233,0.0290698,0.0543346,2740,0.63,431,2740,4,0.25,0.3,5,0.9
44,Combined_Network_narma04,0.8572,0.6979,0.0896,0.1233,0.0288807,0.0543244,2796,0.63,441,2796,4,0.25,0.3,5,0.9
45,Combined_Network_narma04,0.859,0.6986,0.089,0.1232,0.0285063,0.0542839,2879,0.71,451,2879,4,0.25,0.3,5,0.9
46,Combined_Network_narma04,0.8603,0.6973,0.0886,0.1227,0.0282693,0.0538223,2972,0.75,461,2972,4,0.25,0.3,5,0.9
47,Combined_Network_narma04,0.8611,0.6995,0.0882,0.1223,0.0280341,0.0535016,3040,0.82,471,3040,4,0.25,0.3,5,0.9
48,Combined_Network_narma04,0.8613,0.6997,0.0882,0.1222,0.0280036,0.053398,3126,0.96,481,3126,4,0.25,0.3,5,0.9
49,Combined_Network_narma04,0.8621,0.6995,0.088,0.1225,0.0278882,0.0536697,3196,1.0,491,3196,4,0.25,0.3,5,0.9
50,Combined_Network_narma04,0.8625,0.6999,0.0879,0.1224,0.0278364,0.053568,3271,1.02,500,3271,4,0.25,0.3,5,0.9
