,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00004,ecol_ts,input,narma02,0.8489,0.8908,0.0877,0.0704,0.0231708,0.014552,4,0.5,0.0,5,0.1,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00005,ecol_ts,input,narma02,0.8723,0.8731,0.0825,0.077,0.0204818,0.0174504,3,1.5,0.0,4,0.5,499,0.5,0,0.12,0.0,0.09
0,Prok_Taxa00006,ecol_ts,input,narma02,0.8251,0.8889,0.1045,0.0882,0.0328879,0.0228904,4,2.0,0.3,5,0.5,499,0.5,0,0.11,0.0,0.1
0,Prok_Taxa00007,ecol_ts,input,narma02,0.8858,0.9192,0.0767,0.063,0.0177262,0.011677,5,0.75,0.4,6,0.4,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00009,ecol_ts,input,narma02,0.9295,0.9353,0.0608,0.0556,0.0111282,0.0090972,8,1.5,0.5,9,0.4,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00010,ecol_ts,input,narma02,0.9185,0.93,0.0728,0.0613,0.0159782,0.0110424,6,1.0,0.2,7,0.3,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00011,ecol_ts,input,narma02,0.9411,0.9387,0.0557,0.0532,0.0093408,0.0083228,9,2.0,0.4,10,0.3,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00013,ecol_ts,input,narma02,0.8785,0.8659,0.1123,0.0995,0.0380139,0.0291207,4,1.0,0.0,5,0.4,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00014,ecol_ts,input,narma02,0.7525,0.8469,0.1092,0.0884,0.0359447,0.0229507,4,0.5,0.8,5,0.0,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00016,ecol_ts,input,narma02,0.83,0.8807,0.0916,0.0728,0.0252877,0.0155901,4,1.5,0.5,5,0.2,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00017,ecol_ts,input,narma02,0.7204,0.8614,0.1139,0.0812,0.0390863,0.0193839,3,1.5,0.4,4,0.5,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00018,ecol_ts,input,narma02,-0.163,-0.207,0.2157,0.159,0.140188,0.0743457,2,0.5,0.5,3,0.7,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00020,ecol_ts,input,narma02,0.8733,0.8926,0.0802,0.0692,0.0193661,0.0140895,4,2.0,0.0,5,0.4,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00021,ecol_ts,input,narma02,0.6471,0.8309,0.1256,0.0895,0.0475549,0.023566,2,1.5,0.5,3,0.6,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00022,ecol_ts,input,narma02,0.8365,0.8104,0.1016,0.0981,0.0310756,0.0283188,4,1.5,0.0,5,0.2,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00023,ecol_ts,input,narma02,0.8845,0.8996,0.0792,0.0679,0.0189068,0.0135489,3,1.5,0.0,4,0.5,499,0.5,0,0.13,0.0,0.09
0,Prok_Taxa00024,ecol_ts,input,narma02,0.5568,0.8189,0.1397,0.0951,0.0587903,0.0265737,3,1.5,0.4,4,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00025,ecol_ts,input,narma02,0.6718,0.753,0.1219,0.1014,0.0448008,0.0302364,3,2.0,0.4,4,0.7,499,0.5,0,0.11,0.0,0.08
0,Prok_Taxa00026,ecol_ts,input,narma02,0.9538,0.9605,0.0508,0.0451,0.0077783,0.0059859,15,1.5,0.3,16,0.4,499,0.5,0,0.12,0.0,0.09
0,Prok_Taxa00027,ecol_ts,input,narma02,0.863,0.8981,0.0842,0.0704,0.0213357,0.0145717,10,2.0,0.5,11,0.3,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00028,ecol_ts,input,narma02,0.4035,0.6521,0.1551,0.1184,0.0724674,0.0412271,2,2.0,0.5,3,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00029,ecol_ts,input,narma02,0.7025,0.7843,0.1192,0.0985,0.0428411,0.0285167,2,2.0,0.5,3,0.6,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00031,ecol_ts,input,narma02,0.829,0.8542,0.0918,0.0801,0.0253686,0.0188791,4,2.0,0.8,5,0.2,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00032,ecol_ts,input,narma02,0.7312,0.8295,0.1131,0.0861,0.0385402,0.0217915,3,2.0,0.4,4,0.6,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00034,ecol_ts,input,narma02,0.8902,0.8814,0.0774,0.0729,0.0180541,0.0156179,3,2.0,0.0,4,0.4,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00035,ecol_ts,input,narma02,0.6977,0.8808,0.1179,0.0787,0.0418589,0.0182149,4,1.0,0.3,5,0.3,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00036,ecol_ts,input,narma02,0.0661,0.5597,0.2192,0.1342,0.1447473,0.0529388,2,0.25,0.5,3,0.8,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00037,ecol_ts,input,narma02,0.4356,0.7203,0.1481,0.1204,0.0660907,0.0426062,2,1.0,0.5,3,0.6,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00038,ecol_ts,input,narma02,0.1484,0.3901,0.1741,0.1419,0.0913115,0.0591827,2,1.0,0.5,3,0.9,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00039,ecol_ts,input,narma02,0.6364,0.6295,0.1333,0.1227,0.0535205,0.0442344,2,2.0,0.5,3,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00040,ecol_ts,input,narma02,0.8806,0.9151,0.0788,0.0618,0.0187285,0.011236,7,1.0,0.6,8,0.2,499,0.5,0,0.09,0.0,0.12
0,Prok_Taxa00041,ecol_ts,input,narma02,0.9161,0.916,0.07,0.0672,0.014762,0.0132743,4,0.75,0.0,5,0.4,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00042,ecol_ts,input,narma02,0.8946,0.9271,0.0734,0.0588,0.0162109,0.0101781,7,2.0,0.2,8,0.4,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00043,ecol_ts,input,narma02,0.3971,0.5341,0.1568,0.1294,0.074087,0.04925,2,2.0,0.5,3,0.9,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00044,ecol_ts,input,narma02,0.8307,0.8643,0.0978,0.0788,0.0288262,0.0182603,4,2.0,0.8,5,0.5,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00046,ecol_ts,input,narma02,0.5159,0.6275,0.1406,0.1207,0.0595261,0.0428419,3,2.0,0.4,4,0.4,499,0.5,0,0.09,0.0,0.12
0,Prok_Taxa00049,ecol_ts,input,narma02,0.8454,0.8689,0.088,0.0762,0.0233043,0.0170501,4,2.0,0.3,5,0.4,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00050,ecol_ts,input,narma02,0.9036,0.9326,0.0712,0.0575,0.015281,0.0097245,6,2.0,0.9,7,0.7,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00051,ecol_ts,input,narma02,0.637,0.7341,0.1291,0.1063,0.0502407,0.0332342,3,2.0,0.4,4,0.3,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00053,ecol_ts,input,narma02,0.6649,0.6364,0.1226,0.119,0.0453035,0.0416582,2,2.0,0.0,3,0.7,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00055,ecol_ts,input,narma02,0.9247,0.9337,0.0626,0.0548,0.0118094,0.0088241,9,2.0,0.3,10,0.4,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00056,ecol_ts,input,narma02,0.6049,0.8335,0.1344,0.0877,0.0544207,0.022628,6,0.75,0.9,7,0.6,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00058,ecol_ts,input,narma02,0.7005,0.8286,0.1173,0.088,0.0414789,0.0227454,3,2.0,0.4,4,0.6,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00059,ecol_ts,input,narma02,0.9318,0.9344,0.0597,0.0548,0.0107216,0.0088126,5,1.0,0.8,6,0.2,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00061,ecol_ts,input,narma02,0.91,0.9042,0.0684,0.0658,0.0140948,0.0127096,4,1.5,0.0,5,0.3,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00062,ecol_ts,input,narma02,0.8876,0.909,0.0769,0.0667,0.0177965,0.0130916,12,2.0,0.0,13,0.4,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00063,ecol_ts,input,narma02,0.9142,0.931,0.0666,0.0563,0.013378,0.0093229,4,2.0,0.0,5,0.6,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00064,ecol_ts,input,narma02,0.8476,0.8782,0.0881,0.0733,0.023393,0.0157809,4,1.5,0.0,5,0.3,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00065,ecol_ts,input,narma02,0.8854,0.8555,0.0791,0.0844,0.0188735,0.0209429,3,2.0,0.0,4,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00066,ecol_ts,input,narma02,-0.0501,-0.7565,0.5113,0.1571,0.7875779,0.072542,2,0.1,0.5,3,0.0,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00067,ecol_ts,input,narma02,0.6821,0.7062,0.1213,0.1118,0.0443124,0.0367262,2,2.0,0.0,3,0.6,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00068,ecol_ts,input,narma02,0.8563,0.9061,0.085,0.0693,0.0217781,0.0141278,17,0.75,0.6,18,0.2,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00069,ecol_ts,input,narma02,0.8788,0.9157,0.0796,0.0664,0.0190994,0.0129618,5,1.5,0.6,6,0.3,499,0.5,0,0.08,0.0,0.09
