,Taxa,w_in_sp_opt,w_in_st_opt,leak_opt
0,Prok_Taxa00004,0.5,1.5,0.9
1,Prok_Taxa00005,0.4,0.25,0.4
2,Prok_Taxa00006,0.8,1.5,0.8
3,Prok_Taxa00007,0.4,0.75,0.3
4,Prok_Taxa00009,0.8,0.1,0.0
5,Prok_Taxa00010,0.0,2.0,0.0
6,Prok_Taxa00011,0.5,2.0,0.4
7,Prok_Taxa00013,0.3,0.1,0.0
8,Prok_Taxa00014,0.3,0.25,0.0
9,Prok_Taxa00016,0.5,2.0,0.0
10,Prok_Taxa00017,0.4,0.5,0.7
11,Prok_Taxa00018,0.5,0.25,0.7
12,Prok_Taxa00020,0.5,1.0,0.1
13,Prok_Taxa00021,0.5,0.5,0.8
14,Prok_Taxa00022,0.0,2.0,0.9
15,Prok_Taxa00023,0.4,2.0,0.9
16,Prok_Taxa00024,0.4,0.75,0.0
17,Prok_Taxa00025,0.4,0.5,0.7
18,Prok_Taxa00026,0.0,2.0,0.5
19,Prok_Taxa00027,0.5,0.75,0.2
20,Prok_Taxa00028,0.5,1.0,0.2
21,Prok_Taxa00029,0.0,2.0,0.9
22,Prok_Taxa00031,0.0,1.5,0.7
23,Prok_Taxa00032,0.4,2.0,0.8
24,Prok_Taxa00034,0.4,0.5,0.2
25,Prok_Taxa00035,0.3,1.5,0.0
26,Prok_Taxa00036,0.5,0.25,0.7
27,Prok_Taxa00037,0.5,1.5,0.9
28,Prok_Taxa00038,0.5,1.5,0.9
29,Prok_Taxa00039,0.5,0.25,0.4
30,Prok_Taxa00040,0.6,2.0,0.2
31,Prok_Taxa00041,0.3,1.0,0.9
32,Prok_Taxa00042,0.8,2.0,0.0
33,Prok_Taxa00043,0.5,2.0,0.5
34,Prok_Taxa00044,0.3,2.0,0.9
35,Prok_Taxa00046,0.4,0.75,0.9
36,Prok_Taxa00049,0.3,1.5,0.9
37,Prok_Taxa00050,0.9,0.75,0.0
38,Prok_Taxa00051,0.4,1.5,0.6
39,Prok_Taxa00053,0.0,2.0,0.9
40,Prok_Taxa00055,0.6,1.0,0.9
41,Prok_Taxa00056,0.9,1.0,0.4
42,Prok_Taxa00058,0.4,1.5,0.3
43,Prok_Taxa00059,0.4,0.5,0.5
44,Prok_Taxa00061,0.8,1.5,0.2
45,Prok_Taxa00062,0.7,1.5,0.0
46,Prok_Taxa00063,0.8,0.5,0.7
47,Prok_Taxa00064,0.8,2.0,0.1
48,Prok_Taxa00065,0.4,0.1,0.9
49,Prok_Taxa00066,0.5,0.1,0.0
50,Prok_Taxa00067,0.5,0.5,0.9
51,Prok_Taxa00068,0.6,1.0,0.9
52,Prok_Taxa00069,0.8,2.0,0.4
53,Prok_Taxa00070,0.5,0.75,0.7
54,Prok_Taxa00071,0.9,1.0,0.1
55,Prok_Taxa00073,0.5,0.1,0.2
56,Prok_Taxa00075,0.5,0.75,0.7
57,Prok_Taxa00076,0.9,0.25,0.1
58,Prok_Taxa00077,0.5,1.0,0.8
59,Prok_Taxa00078,0.4,0.5,0.8
60,Prok_Taxa00079,0.4,1.0,0.8
61,Prok_Taxa00080,0.4,0.1,0.2
62,Prok_Taxa00082,0.6,1.5,0.0
63,Prok_Taxa00083,0.0,0.25,0.0
64,Prok_Taxa00084,0.5,2.0,0.9
65,Prok_Taxa00085,0.4,2.0,0.0
66,Prok_Taxa00086,0.4,0.25,0.5
67,Prok_Taxa00087,0.8,2.0,0.2
68,Prok_Taxa00088,0.4,1.5,0.6
69,Prok_Taxa00089,0.4,1.0,0.6
70,Prok_Taxa00091,0.4,2.0,0.1
71,Prok_Taxa00092,0.4,2.0,0.9
72,Prok_Taxa00093,0.5,1.0,0.9
73,Prok_Taxa00094,0.8,1.5,0.2
74,Prok_Taxa00095,0.4,0.5,0.9
75,Prok_Taxa00097,0.3,0.75,0.0
76,Prok_Taxa00098,0.5,0.5,0.9
77,Prok_Taxa00099,0.5,2.0,0.4
78,Prok_Taxa00100,0.2,2.0,0.6
79,Prok_Taxa00101,0.4,1.5,0.6
80,Prok_Taxa00102,0.4,0.5,0.5
81,Prok_Taxa00104,0.5,1.5,0.9
82,Prok_Taxa00107,0.5,1.5,0.9
83,Prok_Taxa00108,0.6,1.5,0.1
84,Prok_Taxa00110,0.4,1.0,0.2
85,Prok_Taxa00111,0.5,0.1,0.2
86,Prok_Taxa00113,0.4,1.5,0.7
87,Prok_Taxa00114,0.3,1.5,0.3
88,Prok_Taxa00115,0.9,2.0,0.2
89,Prok_Taxa00116,0.5,2.0,0.8
90,Prok_Taxa00117,0.5,0.5,0.3
91,Prok_Taxa00118,0.5,1.0,0.8
92,Prok_Taxa00119,0.7,2.0,0.5
93,Prok_Taxa00120,0.4,1.5,0.3
94,Prok_Taxa00121,0.3,0.25,0.4
95,Prok_Taxa00122,0.4,0.1,0.4
96,Prok_Taxa00123,0.5,0.75,0.8
97,Prok_Taxa00125,0.5,1.5,0.9
98,Prok_Taxa00126,0.5,1.0,0.9
99,Prok_Taxa00128,0.5,1.5,0.9
100,Prok_Taxa00129,0.5,2.0,0.8
101,Prok_Taxa00130,0.9,2.0,0.5
102,Prok_Taxa00132,0.4,2.0,0.6
103,Prok_Taxa00133,0.1,1.5,0.9
104,Prok_Taxa00134,0.8,0.5,0.0
105,Prok_Taxa00135,0.4,0.1,0.5
106,Prok_Taxa00136,0.4,1.5,0.5
107,Prok_Taxa00138,0.0,1.5,0.9
108,Prok_Taxa00139,0.4,2.0,0.6
109,Prok_Taxa00140,0.4,2.0,0.0
110,Prok_Taxa00143,0.6,2.0,0.3
111,Prok_Taxa00144,0.4,0.75,0.7
112,Prok_Taxa00145,0.6,1.5,0.1
113,Prok_Taxa00146,0.5,1.5,0.6
114,Prok_Taxa00147,0.0,0.5,0.9
115,Prok_Taxa00148,0.1,1.5,0.2
116,Prok_Taxa00149,0.3,0.25,0.1
117,Prok_Taxa00150,0.0,0.75,0.9
118,Prok_Taxa00151,0.7,1.0,0.0
