,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,memory_capacity
0,Random Network: runif_ts,0.0141,0.0785,0.3777,0.3524,0.4010908,0.3701217,1,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,0.055
1,Random Network: runif_ts,0.0125,0.0569,0.3556,0.337,0.3554605,0.3383977,1,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,0.211
2,Random Network: runif_ts,0.0122,0.0307,0.3352,0.324,0.3158346,0.3128791,1,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,0.489
3,Random Network: runif_ts,0.0114,-0.0003,0.316,0.3117,0.2806514,0.2895491,1,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,0.828
4,Random Network: runif_ts,-0.0004,-0.0338,0.2984,0.2966,0.2503263,0.2622348,1,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,1.111
5,Random Network: runif_ts,0.007,-0.006,0.2916,0.2873,0.2389895,0.2459364,1,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.01,0.0,0.01,136,1.449
6,Random Network: runif_ts,0.0113,0.0467,0.357,0.3406,0.3583236,0.3456419,101,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.07,0.01,0.14,136,0.885
7,Random Network: runif_ts,0.0062,0.0052,0.338,0.3301,0.3211782,0.3246247,101,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.07,0.01,0.07,136,1.901
8,Random Network: runif_ts,0.0247,-0.0149,0.3193,0.3181,0.2865235,0.301548,101,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.06,0.0,0.06,136,2.923
9,Random Network: runif_ts,0.0279,-0.0235,0.3066,0.3074,0.2643245,0.2816463,101,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.06,0.01,0.07,136,3.944
10,Random Network: runif_ts,0.1196,-0.0692,0.2905,0.2984,0.2372518,0.2653514,101,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.06,0.0,0.06,136,5.797
11,Random Network: runif_ts,0.3895,-0.0688,0.2697,0.3008,0.2044482,0.2696624,101,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.06,0.0,0.06,136,7.391
12,Random Network: runif_ts,0.0104,0.0378,0.355,0.3404,0.3542785,0.3452022,201,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.09,0.02,0.09,136,0.967
13,Random Network: runif_ts,0.0043,0.0037,0.3385,0.3305,0.3220102,0.3254183,201,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.09,0.01,0.08,136,1.984
14,Random Network: runif_ts,0.0245,-0.0137,0.3216,0.3202,0.2907603,0.3055084,201,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.09,0.01,0.1,136,3.006
