,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay
0,Random Network: runif_ts,1.0,1.0,0.0012,0.0013,3.9e-06,5e-06,1000,0.1,0.5,0.99,0.5,0.0,999,0.5,24,1.09,0.11,1.06,1
1,Random Network: runif_ts,0.9999,0.9999,0.0031,0.0035,2.68e-05,3.66e-05,1000,0.1,0.5,0.99,0.5,0.0,994,0.5,24,1.02,0.09,1.1,6
2,Random Network: runif_ts,0.9998,0.9998,0.0054,0.0054,8.08e-05,8.67e-05,1000,0.1,0.5,0.99,0.5,0.0,989,0.5,24,1.15,0.16,1.05,11
3,Random Network: runif_ts,0.9995,0.9995,0.0098,0.0093,0.000268,0.000255,1000,0.1,0.5,0.99,0.5,0.0,984,0.5,24,0.99,0.15,0.91,16
4,Random Network: runif_ts,0.9989,0.9989,0.0139,0.0137,0.0005458,0.0005556,1000,0.1,0.5,0.99,0.5,0.0,979,0.5,24,0.84,0.08,0.87,21
5,Random Network: runif_ts,0.9976,0.9977,0.0211,0.0205,0.0012566,0.001248,1000,0.1,0.5,0.99,0.5,0.0,974,0.5,24,1.07,0.12,0.95,26
6,Random Network: runif_ts,0.9678,0.9892,0.0735,0.0438,0.0151982,0.0056813,1000,0.1,0.5,0.99,0.5,0.0,969,0.5,24,0.93,0.17,0.94,31
7,Random Network: runif_ts,0.9565,0.9776,0.0862,0.064,0.0208322,0.0122604,1000,0.1,0.5,0.99,0.5,0.0,964,0.5,24,0.98,0.18,0.91,36
8,Random Network: runif_ts,0.9335,0.9519,0.1072,0.0933,0.0323932,0.0259821,1000,0.1,0.5,0.99,0.5,0.0,959,0.5,23,0.97,0.11,0.94,41
9,Random Network: runif_ts,0.8958,0.91,0.1333,0.1244,0.050189,0.0460757,1000,0.1,0.5,0.99,0.5,0.0,954,0.5,23,0.98,0.17,1.1,46
10,Random Network: runif_ts,0.8603,0.8475,0.1556,0.1569,0.0685889,0.0726518,1000,0.1,0.5,0.99,0.5,0.0,949,0.5,23,1.05,0.14,1.13,51
11,Random Network: runif_ts,0.8197,0.7695,0.1769,0.1861,0.0890036,0.1015584,1000,0.1,0.5,0.99,0.5,0.0,944,0.5,23,1.03,0.36,1.02,56
12,Random Network: runif_ts,0.7314,0.6809,0.2083,0.2132,0.1232372,0.1329968,1000,0.1,0.5,0.99,0.5,0.0,939,0.5,23,1.16,0.17,0.84,61
13,Random Network: runif_ts,0.6333,0.5231,0.2315,0.2433,0.1517533,0.1728821,1000,0.1,0.5,0.99,0.5,0.0,934,0.5,23,0.98,0.14,0.94,66
14,Random Network: runif_ts,0.5526,0.3293,0.246,0.2694,0.1716204,0.2108673,1000,0.1,0.5,0.99,0.5,0.0,929,0.5,23,1.09,0.1,0.93,71
15,Random Network: runif_ts,0.4933,0.2243,0.2554,0.2802,0.1842495,0.2279083,1000,0.1,0.5,0.99,0.5,0.0,924,0.5,23,0.88,0.15,1.07,76
16,Random Network: runif_ts,0.4382,0.177,0.2622,0.2857,0.1939022,0.237156,1000,0.1,0.5,0.99,0.5,0.0,919,0.5,22,1.41,0.15,1.05,81
17,Random Network: runif_ts,0.4228,0.1176,0.2645,0.2926,0.1968107,0.247566,1000,0.1,0.5,0.99,0.5,0.0,914,0.5,22,1.26,0.12,1.09,86
18,Random Network: runif_ts,0.4007,0.1066,0.2676,0.2927,0.2011483,0.2489357,1000,0.1,0.5,0.99,0.5,0.0,909,0.5,22,0.99,0.14,0.98,91
19,Random Network: runif_ts,0.3907,0.0971,0.2693,0.2922,0.2026592,0.2494284,1000,0.1,0.5,0.99,0.5,0.0,904,0.5,22,1.04,0.07,1.01,96
20,Random Network: runif_ts,0.3781,0.1155,0.2708,0.2902,0.2048565,0.246423,1000,0.1,0.5,0.99,0.5,0.0,899,0.5,22,0.91,0.07,0.9,101
21,Random Network: runif_ts,0.3897,0.0807,0.2689,0.2955,0.203217,0.2531718,1000,0.1,0.5,0.99,0.5,0.0,894,0.5,22,1.45,0.1,1.03,106
22,Random Network: runif_ts,0.3996,0.0987,0.2675,0.2943,0.2010853,0.2524788,1000,0.1,0.5,0.99,0.5,0.0,889,0.5,22,0.98,0.07,1.08,111
23,Random Network: runif_ts,0.4201,0.0959,0.2652,0.2945,0.1965878,0.2556047,1000,0.1,0.5,0.99,0.5,0.0,884,0.5,22,1.12,0.1,1.07,116
24,Random Network: runif_ts,0.4097,0.0656,0.2673,0.2971,0.1998868,0.2614635,1000,0.1,0.5,0.99,0.5,0.0,879,0.5,21,1.11,0.06,0.95,121
25,Random Network: runif_ts,0.4138,0.049,0.2667,0.3008,0.1997936,0.2666025,1000,0.1,0.5,0.99,0.5,0.0,874,0.5,21,0.99,0.06,1.11,126
26,Random Network: runif_ts,0.4026,0.0284,0.2671,0.3041,0.2007673,0.2738013,1000,0.1,0.5,0.99,0.5,0.0,869,0.5,21,1.03,0.1,1.06,131
27,Random Network: runif_ts,0.4089,0.0119,0.2659,0.3079,0.1986846,0.2825949,1000,0.1,0.5,0.99,0.5,0.0,864,0.5,21,0.92,0.15,0.83,136
28,Random Network: runif_ts,0.3573,0.0015,0.2716,0.3066,0.2061813,0.2799844,1000,0.1,0.5,0.99,0.5,0.0,859,0.5,21,0.9,0.17,0.86,141
29,Random Network: runif_ts,0.3798,0.0251,0.269,0.3062,0.2029816,0.2774479,1000,0.1,0.5,0.99,0.5,0.0,854,0.5,21,0.79,0.18,0.8,146
