,Unnamed: 0,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,r2
0,0,Prok_Taxa00004,ecol_ts,random_01,runif_ts,0.4199,0.491,0.2651,0.2552,0.1952871,0.189611,4,1.5,0.3,5,0.7,499,0.5,0,0.1,0.0,0.11,1,0.241081
1,1,Prok_Taxa00005,ecol_ts,random_01,runif_ts,0.268,0.4013,0.2812,0.2703,0.2196075,0.2127414,3,1.5,0.0,4,0.9,499,0.5,0,0.11,0.0,0.09,1,0.16104169
2,2,Prok_Taxa00006,ecol_ts,random_01,runif_ts,0.265,0.4318,0.2855,0.2629,0.2264814,0.2011214,4,0.25,0.5,5,0.6,499,0.5,0,0.09,0.0,0.1,1,0.18645124000000002
3,3,Prok_Taxa00007,ecol_ts,random_01,runif_ts,0.2751,0.4091,0.2815,0.2658,0.2201352,0.2057026,5,1.0,0.6,6,0.9,499,0.5,0,0.09,0.0,0.09,1,0.16736281000000003
4,4,Prok_Taxa00009,ecol_ts,random_01,runif_ts,0.5155,0.5509,0.2506,0.246,0.1744919,0.1760894,8,0.5,0.5,9,0.3,499,0.5,0,0.11,0.0,0.11,1,0.30349080999999994
5,5,Prok_Taxa00010,ecol_ts,random_01,runif_ts,0.507,0.552,0.2516,0.2416,0.1758628,0.1699044,6,2.0,0.9,7,0.5,499,0.5,0,0.1,0.0,0.09,1,0.30470400000000003
6,6,Prok_Taxa00011,ecol_ts,random_01,runif_ts,0.3783,0.4235,0.2701,0.2624,0.2026326,0.2004178,9,2.0,0.6,10,0.3,499,0.5,0,0.09,0.0,0.11,1,0.17935225
7,7,Prok_Taxa00013,ecol_ts,random_01,runif_ts,0.2405,0.3705,0.2844,0.2711,0.2247543,0.2139708,4,1.5,0.0,5,0.9,499,0.5,0,0.09,0.0,0.11,1,0.13727025
8,8,Prok_Taxa00014,ecol_ts,random_01,runif_ts,0.3114,0.508,0.2777,0.26,0.2141828,0.1968221,4,0.5,0.3,5,0.6,499,0.5,0,0.1,0.0,0.09,1,0.258064
9,9,Prok_Taxa00016,ecol_ts,random_01,runif_ts,0.3183,0.4274,0.278,0.2621,0.2146462,0.200034,4,1.5,0.5,5,0.8,499,0.5,0,0.09,0.0,0.1,1,0.18267076000000002
10,10,Prok_Taxa00017,ecol_ts,random_01,runif_ts,0.3951,0.4808,0.2681,0.2555,0.1997165,0.190092,3,2.0,0.4,4,0.7,499,0.5,0,0.11,0.0,0.09,1,0.23116864
11,11,Prok_Taxa00018,ecol_ts,random_01,runif_ts,0.0039,0.0,0.3764,0.2975,0.39356,0.2576197,2,0.25,0.5,3,0.9,499,0.5,0,0.09,0.0,0.09,1,0.0
12,12,Prok_Taxa00020,ecol_ts,random_01,runif_ts,0.3794,0.4716,0.2699,0.2561,0.2023519,0.1909574,4,1.5,0.5,5,0.7,499,0.5,0,0.09,0.0,0.09,1,0.22240656000000003
13,13,Prok_Taxa00021,ecol_ts,random_01,runif_ts,0.1201,0.2757,0.2944,0.2814,0.2408389,0.2304728,2,2.0,0.0,3,0.9,499,0.5,0,0.08,0.0,0.08,1,0.07601049
14,14,Prok_Taxa00022,ecol_ts,random_01,runif_ts,0.2691,0.389,0.2814,0.2689,0.2200144,0.2104367,4,2.0,0.8,5,0.9,499,0.5,0,0.09,0.0,0.09,1,0.151321
15,15,Prok_Taxa00023,ecol_ts,random_01,runif_ts,0.4214,0.5018,0.266,0.2508,0.1965208,0.1831661,3,1.5,0.4,4,0.8,499,0.5,0,0.09,0.0,0.1,1,0.25180324000000004
16,16,Prok_Taxa00024,ecol_ts,random_01,runif_ts,0.2134,0.3582,0.2862,0.2753,0.2275313,0.2205424,3,1.0,0.4,4,0.8,499,0.5,0,0.09,0.0,0.09,1,0.12830724000000002
17,17,Prok_Taxa00025,ecol_ts,random_01,runif_ts,0.2672,0.373,0.2818,0.2696,0.2206554,0.2115152,3,2.0,0.0,4,0.9,499,0.5,0,0.09,0.0,0.09,1,0.139129
18,18,Prok_Taxa00026,ecol_ts,random_01,runif_ts,0.5119,0.5484,0.2508,0.2422,0.1747065,0.1708007,15,0.5,0.6,16,0.4,499,0.5,0,0.1,0.0,0.1,1,0.30074256
19,19,Prok_Taxa00027,ecol_ts,random_01,runif_ts,0.3677,0.3959,0.2712,0.2668,0.2043624,0.2071716,10,2.0,0.4,11,0.3,499,0.5,0,0.1,0.0,0.09,1,0.15673680999999998
20,20,Prok_Taxa00028,ecol_ts,random_01,runif_ts,0.0889,0.1927,0.2968,0.2846,0.2447855,0.2357835,2,0.75,0.5,3,0.9,499,0.5,0,0.08,0.0,0.1,1,0.037133290000000006
21,21,Prok_Taxa00029,ecol_ts,random_01,runif_ts,0.2064,0.3669,0.2867,0.2738,0.228323,0.2182975,2,2.0,0.5,3,0.9,499,0.5,0,0.09,0.0,0.09,1,0.13461561
22,22,Prok_Taxa00031,ecol_ts,random_01,runif_ts,0.4568,0.5028,0.2599,0.2506,0.1876441,0.1827994,4,1.0,0.3,5,0.3,499,0.5,0,0.08,0.0,0.09,1,0.25280784
23,23,Prok_Taxa00032,ecol_ts,random_01,runif_ts,0.3649,0.4584,0.2723,0.2643,0.2059413,0.2033028,3,1.0,0.4,4,0.8,499,0.5,0,0.1,0.0,0.12,1,0.21013055999999997
24,24,Prok_Taxa00034,ecol_ts,random_01,runif_ts,0.2064,0.342,0.2878,0.2757,0.2300874,0.2212793,3,1.0,0.0,4,0.9,499,0.5,0,0.1,0.0,0.11,1,0.11696400000000001
25,25,Prok_Taxa00035,ecol_ts,random_01,runif_ts,0.3644,0.4537,0.2721,0.2644,0.2056731,0.2034834,4,2.0,0.3,5,0.6,499,0.5,0,0.08,0.0,0.08,1,0.20584369
26,26,Prok_Taxa00036,ecol_ts,random_01,runif_ts,0.0683,0.3051,0.3096,0.2812,0.2662224,0.2302013,2,0.25,0.5,3,0.8,499,0.5,0,0.1,0.0,0.09,1,0.09308600999999998
27,27,Prok_Taxa00037,ecol_ts,random_01,runif_ts,0.2516,0.3347,0.2839,0.2748,0.2238734,0.2198111,2,1.0,0.0,3,0.9,499,0.5,0,0.08,0.0,0.09,1,0.11202408999999999
28,28,Prok_Taxa00038,ecol_ts,random_01,runif_ts,0.2123,0.3094,0.2865,0.2764,0.2281123,0.2224245,2,0.5,0.0,3,0.9,499,0.5,0,0.1,0.0,0.11,1,0.09572836
29,29,Prok_Taxa00039,ecol_ts,random_01,runif_ts,0.2536,0.3424,0.283,0.274,0.2224568,0.2186139,2,2.0,0.5,3,0.9,499,0.5,0,0.1,0.0,0.08,1,0.11723775999999998
30,30,Prok_Taxa00040,ecol_ts,random_01,runif_ts,0.4957,0.5378,0.2537,0.2456,0.1787474,0.1756018,7,2.0,0.9,8,0.4,499,0.5,0,0.08,0.0,0.12,1,0.28922883999999993
31,31,Prok_Taxa00041,ecol_ts,random_01,runif_ts,0.229,0.3799,0.2846,0.2726,0.2249533,0.2162692,4,1.0,0.0,5,0.9,499,0.5,0,0.1,0.0,0.1,1,0.14432401
32,32,Prok_Taxa00042,ecol_ts,random_01,runif_ts,0.5315,0.5741,0.2471,0.2377,0.1695622,0.1645116,7,1.5,0.9,8,0.6,499,0.5,0,0.1,0.0,0.11,1,0.32959081000000007
33,33,Prok_Taxa00043,ecol_ts,random_01,runif_ts,0.2443,0.3093,0.2847,0.2763,0.2251643,0.2221595,2,2.0,0.5,3,0.9,499,0.5,0,0.12,0.0,0.12,1,0.09566649
34,34,Prok_Taxa00044,ecol_ts,random_01,runif_ts,0.2115,0.3614,0.2863,0.2721,0.2276427,0.2155527,4,2.0,0.0,5,0.9,499,0.5,0,0.09,0.0,0.08,1,0.13060996
35,35,Prok_Taxa00046,ecol_ts,random_01,runif_ts,0.3263,0.4224,0.2759,0.2654,0.2114851,0.2050023,3,2.0,0.4,4,0.7,499,0.5,0,0.09,0.0,0.09,1,0.17842175999999998
36,36,Prok_Taxa00049,ecol_ts,random_01,runif_ts,0.2407,0.3672,0.2838,0.2711,0.2237611,0.2139956,4,1.5,0.8,5,0.9,499,0.5,0,0.08,0.0,0.08,1,0.13483584
37,37,Prok_Taxa00050,ecol_ts,random_01,runif_ts,0.4714,0.4965,0.2573,0.252,0.1838719,0.1848715,6,2.0,0.2,7,0.6,499,0.5,0,0.11,0.0,0.1,1,0.24651225
38,38,Prok_Taxa00051,ecol_ts,random_01,runif_ts,0.3813,0.4591,0.2706,0.2655,0.2034122,0.2051463,3,2.0,0.4,4,0.7,499,0.5,0,0.09,0.0,0.11,1,0.21077281
39,39,Prok_Taxa00053,ecol_ts,random_01,runif_ts,0.2972,0.4086,0.2798,0.2657,0.2175402,0.2054947,2,0.75,0.0,3,0.9,499,0.5,0,0.1,0.0,0.1,1,0.16695396
40,40,Prok_Taxa00055,ecol_ts,random_01,runif_ts,0.5004,0.5409,0.2525,0.2439,0.1771517,0.1731981,9,2.0,0.9,10,0.6,499,0.5,0,0.09,0.0,0.1,1,0.29257281000000007
41,41,Prok_Taxa00056,ecol_ts,random_01,runif_ts,0.0509,0.0411,0.3092,0.2947,0.2655519,0.25286,6,0.25,0.7,7,0.2,499,0.5,0,0.09,0.0,0.11,1,0.0016892099999999998
42,42,Prok_Taxa00058,ecol_ts,random_01,runif_ts,0.2126,0.3518,0.2852,0.2777,0.2259681,0.2245223,3,1.5,0.4,4,0.6,499,0.5,0,0.08,0.0,0.08,1,0.12376324
43,43,Prok_Taxa00059,ecol_ts,random_01,runif_ts,0.4037,0.4872,0.2691,0.2603,0.2012147,0.197184,5,2.0,0.8,6,0.8,499,0.5,0,0.09,0.0,0.09,1,0.23736384000000002
44,44,Prok_Taxa00061,ecol_ts,random_01,runif_ts,0.3546,0.4268,0.2736,0.2654,0.2079105,0.2050189,4,0.75,0.0,5,0.8,499,0.5,0,0.1,0.0,0.11,1,0.18215824
45,45,Prok_Taxa00062,ecol_ts,random_01,runif_ts,0.5392,0.5717,0.2458,0.2389,0.1677888,0.1661994,12,2.0,0.7,13,0.3,499,0.5,0,0.1,0.0,0.11,1,0.32684089
46,46,Prok_Taxa00063,ecol_ts,random_01,runif_ts,0.3811,0.4421,0.2697,0.2608,0.2020697,0.1979489,4,0.5,0.3,5,0.5,499,0.5,0,0.1,0.0,0.09,1,0.19545241
47,47,Prok_Taxa00064,ecol_ts,random_01,runif_ts,0.3404,0.4193,0.2746,0.2632,0.2095388,0.2017258,4,2.0,0.3,5,0.7,499,0.5,0,0.1,0.0,0.11,1,0.17581249000000002
48,48,Prok_Taxa00065,ecol_ts,random_01,runif_ts,0.2081,0.3218,0.2863,0.2758,0.2276529,0.2213747,3,2.0,0.0,4,0.9,499,0.5,0,0.09,0.0,0.09,1,0.10355523999999998
49,49,Prok_Taxa00066,ecol_ts,random_01,runif_ts,-0.0132,0.0,0.3216,0.2901,0.2874176,0.2449398,2,0.1,0.5,3,0.0,499,0.5,0,0.08,0.0,0.08,1,0.0
50,50,Prok_Taxa00067,ecol_ts,random_01,runif_ts,0.2929,0.4311,0.2792,0.2679,0.2165704,0.2088806,2,0.5,0.0,3,0.9,499,0.5,0,0.1,0.0,0.09,1,0.18584720999999998
51,51,Prok_Taxa00068,ecol_ts,random_01,runif_ts,0.4912,0.53,0.2557,0.2482,0.1815962,0.1792775,17,2.0,0.1,18,0.7,499,0.5,0,0.1,0.0,0.12,1,0.28090000000000004
52,52,Prok_Taxa00069,ecol_ts,random_01,runif_ts,0.4607,0.5269,0.2589,0.2476,0.1862737,0.1784685,5,1.5,0.4,6,0.7,499,0.5,0,0.1,0.0,0.08,1,0.27762361
53,53,Prok_Taxa00070,ecol_ts,random_01,runif_ts,0.0612,0.1378,0.3154,0.2889,0.2762952,0.2429614,2,0.75,0.5,3,0.8,499,0.5,0,0.08,0.0,0.08,1,0.01898884
54,54,Prok_Taxa00071,ecol_ts,random_01,runif_ts,0.4636,0.5216,0.2597,0.251,0.1874085,0.1833641,6,2.0,0.9,7,0.7,499,0.5,0,0.09,0.0,0.09,1,0.27206655999999996
55,55,Prok_Taxa00073,ecol_ts,random_01,runif_ts,0.1262,0.3482,0.2915,0.2791,0.236088,0.2267908,2,0.25,0.5,3,0.2,499,0.5,0,0.09,0.0,0.1,1,0.12124324
56,56,Prok_Taxa00075,ecol_ts,random_01,runif_ts,-0.2196,0.0,0.3188,0.302,0.2823274,0.2655601,2,1.0,0.5,3,0.4,499,0.5,0,0.08,0.0,0.08,1,0.0
57,57,Prok_Taxa00076,ecol_ts,random_01,runif_ts,0.5728,0.6062,0.2426,0.2354,0.1634565,0.1612371,8,0.5,0.5,9,0.4,499,0.5,0,0.11,0.0,0.1,1,0.36747843999999996
58,58,Prok_Taxa00077,ecol_ts,random_01,runif_ts,-0.0478,0.0,0.3128,0.2927,0.2718118,0.2494013,2,1.0,0.5,3,0.7,499,0.5,0,0.08,0.0,0.09,1,0.0
59,59,Prok_Taxa00078,ecol_ts,random_01,runif_ts,0.1972,0.3924,0.2861,0.2757,0.2273874,0.2213297,3,1.5,0.4,4,0.9,499,0.5,0,0.09,0.0,0.09,1,0.15397776000000002
60,60,Prok_Taxa00079,ecol_ts,random_01,runif_ts,0.3423,0.4319,0.2741,0.2684,0.2087694,0.2096351,3,1.5,0.4,4,0.6,499,0.5,0,0.09,0.0,0.08,1,0.18653761
61,61,Prok_Taxa00080,ecol_ts,random_01,runif_ts,0.2717,0.3915,0.281,0.268,0.2193947,0.2090528,3,2.0,0.4,4,0.9,499,0.5,0,0.09,0.0,0.09,1,0.15327225
62,62,Prok_Taxa00082,ecol_ts,random_01,runif_ts,0.4982,0.5471,0.2529,0.2437,0.1776951,0.1728737,21,1.5,0.6,22,0.6,499,0.5,0,0.11,0.0,0.11,1,0.29931841000000003
