,Taxa,w_in_sp_opt,w_in_st_opt,leak_opt
0,Prok_Taxa00004,0.3,1.5,0.7
1,Prok_Taxa00005,0.0,1.5,0.9
2,Prok_Taxa00006,0.5,0.25,0.6
3,Prok_Taxa00007,0.6,1.0,0.9
4,Prok_Taxa00009,0.5,0.5,0.3
5,Prok_Taxa00010,0.9,2.0,0.5
6,Prok_Taxa00011,0.6,2.0,0.3
7,Prok_Taxa00013,0.0,1.5,0.9
8,Prok_Taxa00014,0.3,0.5,0.6
9,Prok_Taxa00016,0.5,1.5,0.8
10,Prok_Taxa00017,0.4,2.0,0.7
11,Prok_Taxa00018,0.5,0.25,0.9
12,Prok_Taxa00020,0.5,1.5,0.7
13,Prok_Taxa00021,0.0,2.0,0.9
14,Prok_Taxa00022,0.8,2.0,0.9
15,Prok_Taxa00023,0.4,1.5,0.8
16,Prok_Taxa00024,0.4,1.0,0.8
17,Prok_Taxa00025,0.0,2.0,0.9
18,Prok_Taxa00026,0.6,0.5,0.4
19,Prok_Taxa00027,0.4,2.0,0.3
20,Prok_Taxa00028,0.5,0.75,0.9
21,Prok_Taxa00029,0.5,2.0,0.9
22,Prok_Taxa00031,0.3,1.0,0.3
23,Prok_Taxa00032,0.4,1.0,0.8
24,Prok_Taxa00034,0.0,1.0,0.9
25,Prok_Taxa00035,0.3,2.0,0.6
26,Prok_Taxa00036,0.5,0.25,0.8
27,Prok_Taxa00037,0.0,1.0,0.9
28,Prok_Taxa00038,0.0,0.5,0.9
29,Prok_Taxa00039,0.5,2.0,0.9
30,Prok_Taxa00040,0.9,2.0,0.4
31,Prok_Taxa00041,0.0,1.0,0.9
32,Prok_Taxa00042,0.9,1.5,0.6
33,Prok_Taxa00043,0.5,2.0,0.9
34,Prok_Taxa00044,0.0,2.0,0.9
35,Prok_Taxa00046,0.4,2.0,0.7
36,Prok_Taxa00049,0.8,1.5,0.9
37,Prok_Taxa00050,0.2,2.0,0.6
38,Prok_Taxa00051,0.4,2.0,0.7
39,Prok_Taxa00053,0.0,0.75,0.9
40,Prok_Taxa00055,0.9,2.0,0.6
41,Prok_Taxa00056,0.7,0.25,0.2
42,Prok_Taxa00058,0.4,1.5,0.6
43,Prok_Taxa00059,0.8,2.0,0.8
44,Prok_Taxa00061,0.0,0.75,0.8
45,Prok_Taxa00062,0.7,2.0,0.3
46,Prok_Taxa00063,0.3,0.5,0.5
47,Prok_Taxa00064,0.3,2.0,0.7
48,Prok_Taxa00065,0.0,2.0,0.9
49,Prok_Taxa00066,0.5,0.1,0.0
50,Prok_Taxa00067,0.0,0.5,0.9
51,Prok_Taxa00068,0.1,2.0,0.7
52,Prok_Taxa00069,0.4,1.5,0.7
53,Prok_Taxa00070,0.5,0.75,0.8
54,Prok_Taxa00071,0.9,2.0,0.7
55,Prok_Taxa00073,0.5,0.25,0.2
56,Prok_Taxa00075,0.5,1.0,0.4
57,Prok_Taxa00076,0.5,0.5,0.4
58,Prok_Taxa00077,0.5,1.0,0.7
59,Prok_Taxa00078,0.4,1.5,0.9
