,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
0,Prok_Taxa00004,0.0,2.0,0.4,1.5,0.9763,0.7606,0.054,0.1746,0.0075863,0.0785776
1,Prok_Taxa00005,0.0,0.8,0.8,0.5,0.9296,0.0933,0.1451,0.2498,0.0547658,0.1607547
2,Prok_Taxa00006,0.6,2.0,0.6,0.8,0.9758,0.6438,0.0546,0.2055,0.0077418,0.108817
3,Prok_Taxa00007,0.4,1.5,0.6,2.0,0.9806,0.8508,0.049,0.1352,0.0062371,0.0471397
4,Prok_Taxa00009,0.4,1.5,0.2,1.5,0.988,0.8785,0.0385,0.1203,0.0038491,0.0373209
5,Prok_Taxa00010,0.9,0.5,0.6,2.0,0.9802,0.8775,0.0494,0.1374,0.0063551,0.0486856
6,Prok_Taxa00011,0.8,2.0,0.8,2.0,0.9814,0.9002,0.0479,0.1229,0.0059741,0.0389419
7,Prok_Taxa00013,0.8,0.8,0.8,0.8,0.9746,0.8354,0.0564,0.146,0.0082647,0.0549056
8,Prok_Taxa00014,0.8,2.0,0.4,0.5,0.9855,0.1535,0.0426,0.2496,0.0047309,0.160597
9,Prok_Taxa00016,0.0,0.8,0.6,0.5,0.9647,0.8058,0.0657,0.1551,0.0112234,0.0619975
10,Prok_Taxa00017,0.0,0.5,0.0,0.5,0.921,0.6874,0.0971,0.2121,0.0245467,0.1159419
11,Prok_Taxa00018,0.0,0.5,0.6,1.5,0.9202,0.2782,0.0976,0.2472,0.0247894,0.1575057
12,Prok_Taxa00020,0.4,0.8,0.8,0.8,0.9541,0.4163,0.0747,0.2398,0.0145154,0.1481882
13,Prok_Taxa00021,0.0,1.0,0.6,1.0,0.9026,0.0786,0.1073,0.251,0.0299736,0.1623613
14,Prok_Taxa00022,0.0,1.5,0.4,1.0,0.9605,0.7775,0.0694,0.16,0.0125276,0.0659898
15,Prok_Taxa00023,0.0,0.5,0.8,0.5,0.9366,0.0931,0.1463,0.2498,0.0556919,0.1607885
16,Prok_Taxa00024,0.8,2.0,0.8,0.5,0.9034,0.09,0.1519,0.2499,0.060042,0.1608949
17,Prok_Taxa00025,0.0,1.5,0.4,1.0,0.9196,0.1005,0.098,0.2495,0.0249807,0.1604593
18,Prok_Taxa00026,0.9,1.0,0.9,0.5,0.9874,0.85,0.0396,0.1325,0.0040853,0.0452727
