time,input,value,zeros
1,-0.154518635,0.2,0
2,0.048919762,0.2,0
3,0.043709893,0.2,0
4,0.049351777,0.2,0
5,0.144366153,0.2,0
6,0.056124242,0.2,0
7,-0.196201697,0.2,0
8,-0.106979798,0.2,0
9,0.066433503,0.2,0
10,0.005700457,0.2,0
11,0.077436517,0.2,0
12,0.017989934,0.2,0
13,-0.086906567,0.2,0
14,0.169373394,0.2,0
15,-0.083073664,0.2,0
16,0.134918251,0.2,0
17,-0.085510686,0.2,0
18,-0.093271688,0.2,0
19,-0.125310884,0.2,0
20,-0.107109636,0.2,0
21,-0.073355018,0.2,0
22,-0.078922652,0.178020522,0
23,-0.136381599,0.181300914,0
24,-0.184001633,0.137502491,0
25,-0.112480184,0.177220183,0
26,0.124239421,0.147008532,0
27,0.010279019,0.141552376,0
28,0.165863266,0.153502647,0
29,0.132538019,0.128045439,0
30,-0.181691895,0.127645799,0
31,-0.017563407,0.168317434,0
32,-0.093925331,0.165535878,0
33,-0.078131119,0.181519186,0
34,0.002922748,0.18988684,0
35,-0.127561517,0.17147621,0
36,0.103868254,0.141169991,0
37,-0.119500785,0.155024821,0
38,-0.096476073,0.129039687,0
39,0.196860167,0.129581791,0
40,0.122940936,0.095324873,0
41,0.021333436,0.132636036,0
42,0.058562438,0.146674497,0
43,-0.075270277,0.147936718,0
44,0.048727679,0.15469323,0
45,-0.06809193,0.147940349,0
46,0.000798989,0.143981267,0
47,0.070837811,0.153006265,0
48,-0.006003504,0.146214314,0
49,-0.102428469,0.15231182,0
50,0.106183915,0.137624186,0
51,-0.170488048,0.154752495,0
52,-0.076125359,0.142940873,0
53,0.086908697,0.162064869,0
54,0.001818365,0.16709039,0
55,-0.138800416,0.162539397,0
56,0.001573395,0.160968991,0
57,-0.002415631,0.160848579,0
58,0.100480079,0.160720827,0
59,-0.13014007,0.145329408,0
60,0.139356964,0.134169139,0
61,0.145933533,0.115020364,0
62,-0.18325709,0.126536018,0
63,-0.073127138,0.123531242,0
64,-0.194500024,0.145857649,0
65,-0.104389709,0.194721412,0
66,0.082597847,0.17245972,0
67,-0.076762097,0.164193699,0
68,0.003419026,0.1498597,0
69,-0.179341352,0.155317745,0
70,0.025827936,0.12061308,0
71,-0.151407925,0.150691334,0
72,0.157134553,0.198157607,0
73,-0.194149098,0.157819988,0
74,0.113248441,0.216691081,0
75,-0.164015467,0.165482109,0
76,0.007675992,0.142986561,0
77,-0.046293325,0.153607003,0
78,-0.171979001,0.158219465,0
79,-0.071742231,0.206542761,0
80,0.067398159,0.176438093,0
81,0.170560191,0.152856723,0
82,-0.011236112,0.199271312,0
83,-0.142953863,0.180289737,0
84,0.017707902,0.145599818,0
85,-0.121530139,0.151563193,0
86,0.159432196,0.156705293,0
87,-0.044200086,0.14911243,0
88,-0.075651688,0.168636045,0
89,-0.135988535,0.172956525,0
90,0.15847434,0.15243746,0
91,-0.133442488,0.198694656,0
92,0.160169838,0.178500784,0
93,-0.146368722,0.13397133,0
94,-0.147354346,0.147076059,0
95,-0.157884999,0.182821886,0
96,0.004633432,0.132088373,0
97,-0.079920378,0.149994007,0
98,-0.189313242,0.166195713,0
99,-0.076141027,0.201893476,0
100,0.096847863,0.159060795,0
101,-0.185817309,0.141457687,0
102,0.026030445,0.109061343,0
103,-0.08789689,0.135311744,0
104,-0.118321473,0.170338764,0
105,-0.146504441,0.192309534,0
106,-0.06972723,0.171652771,0
107,-0.137975212,0.173563612,0
108,-0.148015144,0.205315875,0
109,-0.025787576,0.195540665,0
110,-0.184542939,0.171083419,0
111,0.085320625,0.217010064,0
112,-0.159692384,0.187327184,0
113,0.180121975,0.194294507,0
114,-0.151272895,0.1445684,0
115,-0.112137352,0.190005594,0
116,0.165235107,0.186309176,0
117,0.178341248,0.139068732,0
118,-0.088337511,0.114853241,0
119,-0.150611565,0.14786557,0
120,0.118864184,0.198563402,0
121,0.097710886,0.191856491,0
122,0.16638969,0.150408499,0
123,0.197839298,0.202545521,0
124,0.176944286,0.132744565,0
125,-0.005545837,0.121039715,0
126,-0.086616183,0.144531304,0
127,-0.09938172,0.131342571,0
128,0.001302068,0.162656946,0
129,-0.001213531,0.161381731,0
130,-0.072621676,0.161085054,0
131,0.184889131,0.150242975,0
132,0.053639747,0.202621643,0
133,-0.149026641,0.192612312,0
134,-0.030781202,0.133255828,0
135,0.165726764,0.150631895,0
136,-0.012883067,0.135635603,0
137,0.163267658,0.153336351,0
138,0.039097313,0.158613222,0
139,0.052697126,0.160197229,0
140,0.147663327,0.155120356,0
141,0.001099929,0.199837778,0
142,0.193454046,0.176445138,0
143,-0.070245589,0.123942826,0
144,-0.007450021,0.150013291,0
145,-0.057205169,0.154881328,0
146,0.050991074,0.15971274,0
147,0.096640076,0.173115547,0
148,0.026386727,0.171554285,0
149,0.192314603,0.167489289,0
150,0.030725094,0.206511576,0
151,-0.024383179,0.179387317,0
152,-0.108560122,0.161657192,0
153,-0.167136774,0.17325866,0
154,0.140105969,0.168551389,0
155,-0.106135495,0.153005953,0
156,0.195266979,0.150898318,0
157,0.040759018,0.186442741,0
158,0.199496323,0.173568554,0
159,-0.049760249,0.224553237,0
160,0.022050652,0.185033568,0
161,-0.028222415,0.170952822,0
162,0.030351112,0.170822204,0
163,-0.026997041,0.158644958,0
164,-0.110061694,0.155741551,0
165,-0.166006105,0.177713671,0
166,0.054919304,0.120279627,0
167,-0.027593452,0.149808191,0
168,-0.170913563,0.149322477,0
169,0.120960808,0.169969006,0
170,-0.069888679,0.168659555,0
171,0.102915614,0.166981083,0
172,0.033708607,0.168037547,0
173,0.083535763,0.162364515,0
174,-0.029209693,0.147817087,0
175,-0.062570919,0.163303199,0
176,0.103647994,0.156627501,0
177,-0.030387917,0.155251075,0
178,0.024354902,0.166850655,0
179,-0.15354569,0.16803798,0
180,-0.078791281,0.18015215,0
181,-0.008478926,0.156613612,0
182,-0.062067781,0.159280654,0
183,0.040285656,0.15287913,0
184,-0.169566671,0.156381051,0
185,0.182397044,0.175459947,0
186,-0.191117271,0.195273965,0
187,0.136684253,0.183561754,0
188,0.05297698,0.17561411,0
189,-0.075962334,0.155438427,0
190,0.097027746,0.168748919,0
191,0.055564525,0.163559233,0
192,0.197006395,0.157684276,0
193,-0.148692085,0.172491833,0
194,0.153295831,0.204265528,0
195,0.124033355,0.221115379,0
196,0.128740471,0.150652786,0
197,0.133881065,0.184796741,0
198,0.093092888,0.182288011,0
199,0.19321761,0.160129908,0
200,0.055681833,0.190297506,0
201,0.064301854,0.178735912,0
202,0.011343751,0.188730786,0
203,-0.073002471,0.171391083,0
204,0.107142188,0.150333745,0
205,0.010523397,0.178402148,0
206,0.092920754,0.171035978,0
207,-0.076933704,0.184989459,0
208,-0.0383307,0.160999036,0
209,-0.118239022,0.151157495,0
210,0.194253235,0.148517045,0
211,0.026524303,0.175798687,0
212,-0.087849942,0.167969938,0
213,-0.125977711,0.173957374,0
214,0.103224558,0.146406876,0
215,0.026712513,0.157697636,0
216,0.172869428,0.163952123,0
217,0.055477327,0.142610358,0
218,0.080299254,0.150924248,0
219,-0.008311013,0.142950924,0
220,0.140124767,0.151690875,0
221,-0.03106773,0.163020091,0
222,-0.187443151,0.165725164,0
223,-0.096741341,0.198055781,0
224,-0.066062106,0.160114064,0
225,-0.146580133,0.158170228,0
226,-0.000181446,0.122073817,0
227,0.120854253,0.146100333,0
228,-0.065138703,0.169774106,0
229,0.003568246,0.165136706,0
230,-0.002224575,0.163500801,0
231,0.118821162,0.162329385,0
232,0.026783558,0.128365969,0
233,-0.157321273,0.144723145,0
234,0.123059378,0.170007453,0
235,0.026844828,0.136952263,0
236,-0.115103629,0.151411174,0
237,0.099831702,0.136203008,0
238,-0.07711266,0.141515202,0
239,-0.004192623,0.152656492,0
240,0.195883957,0.157166023,0
241,-0.030356329,0.193703284,0
242,-0.102238798,0.171542196,0
243,-0.113146114,0.188934121,0
244,0.075647003,0.150910292,0
245,0.192085083,0.160248598,0
246,-0.009186784,0.127764308,0
247,0.109409449,0.147051085,0
248,0.029725178,0.143161574,0
249,0.18637588,0.154165339,0
250,0.118769536,0.213303633,0
251,0.012762035,0.176188895,0
252,0.038649504,0.165287708,0
253,-0.094445411,0.156473034,0
254,-0.088182916,0.148700381,0
255,-0.173958702,0.131041292,0
256,0.025232539,0.151951345,0
257,-0.095057727,0.161786224,0
258,-0.198687068,0.157257013,0
259,0.035806617,0.104338972,0
260,0.008020466,0.14585225,0
261,0.137853894,0.154839941,0
262,-0.188177275,0.165882978,0
263,0.03990774,0.188683389,0
264,-0.092632092,0.16557499,0
265,-0.151756438,0.186487111,0
266,-0.159717815,0.164959564,0
267,0.099264456,0.185422477,0
268,-0.193615748,0.141055616,0
269,-0.180215542,0.143223891,0
270,0.099049514,0.152557602,0
271,-0.057104934,0.178824814,0
272,0.103583278,0.184721987,0
273,-0.049617463,0.177240226,0
274,0.119785084,0.174955106,0
275,-0.189722894,0.139998176,0
276,0.00254342,0.198953209,0
277,0.128491459,0.176746429,0
278,0.01790263,0.130450075,0
279,-0.093326218,0.145107693,0
280,-0.062145071,0.141707145,0
281,-0.052329619,0.159516992,0
282,-0.028299166,0.152720213,0
283,0.167405749,0.16011999,0
284,0.113737926,0.190766746,0
285,0.095132613,0.140086004,0
286,-0.08769095,0.15356883,0
287,-0.017269349,0.141076993,0
288,-0.084984943,0.152546781,0
289,0.078516427,0.169385898,0
290,0.128302519,0.156721422,0
291,0.062061413,0.149299037,0
292,-0.034598129,0.153847576,0
293,0.180731766,0.149523567,0
294,-0.102756216,0.18733024,0
295,0.043474011,0.156085683,0
296,0.103180588,0.153355223,0
297,0.077466945,0.155365814,0
298,-0.153828881,0.149035246,0
299,0.054364666,0.138366842,0
300,-0.076389853,0.16268877,0
301,-0.058800599,0.15434356,0
302,0.192383326,0.161393008,0
303,0.015553105,0.21322165,0
304,-0.022386455,0.178959436,0
305,0.179746711,0.166748892,0
306,-0.019006651,0.191463261,0
307,-0.123749679,0.171232767,0
308,0.19664366,0.194371608,0
309,0.019382179,0.19118744,0
310,0.107526307,0.172204643,0
311,0.165368669,0.15763393,0
312,0.072844801,0.209186015,0
313,-0.037099432,0.183765311,0
314,-0.03696308,0.173068192,0
315,-0.141566884,0.157624601,0
316,-0.121332914,0.165523359,0
317,-0.123116264,0.186876173,0
318,-0.03663424,0.136486687,0
319,-0.060711478,0.151711297,0
320,0.133817139,0.148571823,0
321,-0.120639997,0.190174361,0
322,0.144722124,0.160063544,0
323,-0.041125876,0.153201578,0
324,-0.138698493,0.1606753,0
325,-0.064286647,0.190596922,0
326,-0.053127824,0.184545139,0
327,-0.029048367,0.180518922,0
328,-0.125465238,0.170703815,0
329,0.06320664,0.177067897,0
330,0.168164552,0.181001048,0
331,0.093557625,0.139693714,0
332,0.152927709,0.174078372,0
333,0.181338612,0.157691411,0
334,-0.122039386,0.123114772,0
335,-0.010953306,0.159038245,0
336,-0.045579738,0.161684766,0
337,-0.050333657,0.163625052,0
338,-0.188857737,0.171713194,0
339,0.171742085,0.147420187,0
340,-0.03578829,0.199186724,0
341,0.182336086,0.17064113,0
342,-0.091138864,0.206910541,0
343,0.006898598,0.154466859,0
344,0.191323937,0.157880976,0
345,-0.052121405,0.15758206,0
346,-0.075827824,0.16416258,0
347,-0.186316147,0.168875011,0
348,0.067026339,0.217787947,0
349,0.168366551,0.201604311,0
350,-0.182004161,0.169578264,0
351,-0.119546947,0.116097939,0
352,0.097405954,0.161127529,0
353,-0.147777268,0.162793615,0
354,0.083553438,0.120082326,0
355,0.199532725,0.139337213,0
356,0.177565218,0.130402359,0
357,0.03716156,0.09984771,0
358,0.092518255,0.14127225,0
359,-0.00530633,0.175933887,0
360,0.107260798,0.166689108,0
361,-0.198741815,0.142554133,0
362,0.023176519,0.12399247,0
363,-0.015897884,0.14075778,0
364,-0.068113942,0.149953254,0
365,0.134190251,0.13517679,0
366,0.191080665,0.185801165,0
367,0.064205979,0.179973499,0
368,-0.106570056,0.176779283,0
369,0.127680168,0.167826479,0
370,0.089873958,0.184060775,0
371,0.190542861,0.14302974,0
372,-0.093954789,0.160885024,0
373,0.151528017,0.163571856,0
374,-0.004844315,0.147060417,0
375,-0.077812686,0.155232615,0
376,-0.0419612,0.137184103,0
377,0.103735886,0.148195749,0
378,-0.159679343,0.13961183,0
379,-0.031456124,0.122098313,0
380,0.063105699,0.141551918,0
381,-0.081894363,0.170824205,0
382,-0.1176054,0.175482896,0
383,-0.199141315,0.139082458,0
384,-0.156862929,0.153438334,0
385,-0.114053191,0.175715558,0
386,-0.15393853,0.173100034,0
387,0.074863773,0.141297509,0
388,-0.122691108,0.13528278,0
389,0.193968757,0.156708666,0
390,0.17881519,0.177616143,0
391,0.076682788,0.14551531,0
392,0.095956777,0.141573651,0
393,0.092976119,0.124705089,0
394,0.061039378,0.125043237,0
395,-0.133181477,0.13642709,0
396,0.169272343,0.18162132,0
