,ts_name,variable,bestE,rho,mae,rmse
1,ecol_ts,Prok_Taxa00004,4,0.825354458,0.22049632,0.578900718
2,ecol_ts,Prok_Taxa00005,3,0.841723186,0.253586953,0.548693325
3,ecol_ts,Prok_Taxa00006,4,0.770740294,0.26204906,0.647376353
4,ecol_ts,Prok_Taxa00007,5,0.902062489,0.154711151,0.453978092
5,ecol_ts,Prok_Taxa00009,8,0.774889298,0.271463082,0.651881525
6,ecol_ts,Prok_Taxa00010,6,0.765547978,0.195879386,0.647693832
7,ecol_ts,Prok_Taxa00011,9,0.941156141,0.09951191,0.385664315
8,ecol_ts,Prok_Taxa00013,4,0.804973,0.223549948,0.633713154
9,ecol_ts,Prok_Taxa00014,4,0.888754122,0.093073613,0.461382692
10,ecol_ts,Prok_Taxa00016,4,0.919555945,0.194542666,0.406742914
11,ecol_ts,Prok_Taxa00017,3,0.856488676,0.091608695,0.523918309
12,ecol_ts,Prok_Taxa00018,2,0.817652463,0.149753397,0.579364097
13,ecol_ts,Prok_Taxa00020,4,0.913472838,0.101991001,0.407744161
14,ecol_ts,Prok_Taxa00021,2,0.841958692,0.109567976,0.543190518
15,ecol_ts,Prok_Taxa00022,4,0.534475924,0.156748417,0.846077045
16,ecol_ts,Prok_Taxa00023,3,0.759091156,0.252148082,0.651334001
17,ecol_ts,Prok_Taxa00024,3,0.907198765,0.10472929,0.420849094
18,ecol_ts,Prok_Taxa00025,3,0.748819342,0.193835627,0.663271243
19,ecol_ts,Prok_Taxa00026,15,0.776665282,0.188173193,0.629683207
20,ecol_ts,Prok_Taxa00027,10,0.927546782,0.083276116,0.377686795
21,ecol_ts,Prok_Taxa00028,2,0.8935394,0.122220197,0.44919739
22,ecol_ts,Prok_Taxa00029,2,0.90679654,0.153434425,0.432725847
23,ecol_ts,Prok_Taxa00031,4,0.826793307,0.185005626,0.57197656
24,ecol_ts,Prok_Taxa00032,3,0.788134273,0.157464321,0.619457597
25,ecol_ts,Prok_Taxa00034,3,0.815827746,0.235268977,0.581005187
26,ecol_ts,Prok_Taxa00035,4,0.917029905,0.103553395,0.40869678
27,ecol_ts,Prok_Taxa00036,2,0.795420699,0.182388952,0.607712543
28,ecol_ts,Prok_Taxa00037,2,0.8859636,0.120742647,0.470017933
29,ecol_ts,Prok_Taxa00038,2,0.794522456,0.239966505,0.60731607
30,ecol_ts,Prok_Taxa00039,2,0.88307326,0.132880906,0.4732894
31,ecol_ts,Prok_Taxa00040,7,0.833431123,0.10246045,0.573551842
32,ecol_ts,Prok_Taxa00041,4,0.748837692,0.238653871,0.662424519
33,ecol_ts,Prok_Taxa00042,7,0.894430904,0.153283731,0.488911386
34,ecol_ts,Prok_Taxa00043,2,0.911052448,0.099821379,0.454476814
35,ecol_ts,Prok_Taxa00044,4,0.733902926,0.113375932,0.711104962
36,ecol_ts,Prok_Taxa00046,3,0.877638117,0.085339243,0.492649507
37,ecol_ts,Prok_Taxa00049,4,0.737436372,0.175744314,0.680305588
38,ecol_ts,Prok_Taxa00050,6,0.730062839,0.138628255,0.698142601
39,ecol_ts,Prok_Taxa00051,3,0.812695215,0.129440454,0.58409201
40,ecol_ts,Prok_Taxa00053,2,0.905818013,0.09928306,0.431911736
41,ecol_ts,Prok_Taxa00055,9,0.62115661,0.176066667,0.787782476
42,ecol_ts,Prok_Taxa00056,6,0.905278031,0.077232602,0.436686372
43,ecol_ts,Prok_Taxa00058,3,0.900044225,0.086653875,0.435511933
44,ecol_ts,Prok_Taxa00059,5,0.863967965,0.107881329,0.517269482
45,ecol_ts,Prok_Taxa00061,4,0.918179956,0.133508619,0.400174522
46,ecol_ts,Prok_Taxa00062,12,0.707981434,0.137547241,0.707527793
47,ecol_ts,Prok_Taxa00063,4,0.77018271,0.322967286,0.643757535
48,ecol_ts,Prok_Taxa00064,4,0.738787196,0.177427556,0.676874593
49,ecol_ts,Prok_Taxa00065,3,0.800507896,0.194992665,0.612483714
50,ecol_ts,Prok_Taxa00066,2,0.913854393,0.092553114,0.418831741
51,ecol_ts,Prok_Taxa00067,2,0.866081563,0.224858773,0.499759978
52,ecol_ts,Prok_Taxa00068,17,0.566580557,0.153350967,0.831698456
53,ecol_ts,Prok_Taxa00069,5,0.85562777,0.180887892,0.526396255
54,ecol_ts,Prok_Taxa00070,2,0.840413623,0.137942584,0.54324156
55,ecol_ts,Prok_Taxa00071,6,0.540593017,0.148811307,0.857698549
56,ecol_ts,Prok_Taxa00073,2,0.832401865,0.120247898,0.569524314
57,ecol_ts,Prok_Taxa00075,2,0.901293868,0.107786377,0.4329684
58,ecol_ts,Prok_Taxa00076,8,0.755551597,0.259503129,0.690199947
59,ecol_ts,Prok_Taxa00077,2,0.84893253,0.137514642,0.530406169
60,ecol_ts,Prok_Taxa00078,3,0.880638162,0.094565161,0.508590035
61,ecol_ts,Prok_Taxa00079,3,0.829484327,0.153946236,0.567546588
62,ecol_ts,Prok_Taxa00080,3,0.798413253,0.135771233,0.602269198
63,ecol_ts,Prok_Taxa00082,21,0.782782392,0.249781414,0.64624082
64,ecol_ts,Prok_Taxa00083,7,0.671661045,0.223752589,0.741965233
65,ecol_ts,Prok_Taxa00084,2,0.720831221,0.20086389,0.692792509
66,ecol_ts,Prok_Taxa00085,5,0.864384333,0.150575724,0.504541572
67,ecol_ts,Prok_Taxa00086,3,0.882829415,0.197529454,0.472760376
68,ecol_ts,Prok_Taxa00087,7,0.878516019,0.114595146,0.509518305
69,ecol_ts,Prok_Taxa00088,3,0.758827384,0.13803841,0.655008546
70,ecol_ts,Prok_Taxa00089,3,0.867917974,0.107522724,0.503267294
71,ecol_ts,Prok_Taxa00091,3,0.920971017,0.063648382,0.39132774
72,ecol_ts,Prok_Taxa00092,3,0.590390735,0.233347636,0.807160286
73,ecol_ts,Prok_Taxa00093,2,0.844627437,0.116152793,0.545149235
74,ecol_ts,Prok_Taxa00094,5,0.897390565,0.082875197,0.497931105
75,ecol_ts,Prok_Taxa00095,3,0.924256634,0.084343497,0.384358833
76,ecol_ts,Prok_Taxa00097,13,0.704756826,0.394649939,0.719176336
77,ecol_ts,Prok_Taxa00098,2,0.660274429,0.242751589,0.751998264
78,ecol_ts,Prok_Taxa00099,2,0.883000916,0.118852087,0.471697168
79,ecol_ts,Prok_Taxa00100,5,0.729521981,0.195630471,0.692713621
80,ecol_ts,Prok_Taxa00101,3,0.566536774,0.224051125,0.828280843
81,ecol_ts,Prok_Taxa00102,3,0.82087755,0.187977899,0.573112817
82,ecol_ts,Prok_Taxa00104,2,0.847052619,0.091506855,0.536834373
83,ecol_ts,Prok_Taxa00107,2,0.859179555,0.120647461,0.523118487
84,ecol_ts,Prok_Taxa00108,7,0.809776912,0.254293991,0.606425037
85,ecol_ts,Prok_Taxa00110,5,0.856171359,0.090765961,0.521811989
86,ecol_ts,Prok_Taxa00111,2,0.836653151,0.143803621,0.56901374
87,ecol_ts,Prok_Taxa00113,3,0.893973295,0.082875016,0.45948553
88,ecol_ts,Prok_Taxa00114,4,0.862628414,0.160086477,0.521100046
89,ecol_ts,Prok_Taxa00115,7,0.896573061,0.134456024,0.452985038
90,ecol_ts,Prok_Taxa00116,2,0.764816181,0.259599367,0.643974598
91,ecol_ts,Prok_Taxa00117,2,0.904686947,0.094668047,0.430154496
92,ecol_ts,Prok_Taxa00118,2,0.819373509,0.191871093,0.573321909
93,ecol_ts,Prok_Taxa00119,13,0.734146032,0.132790778,0.696978826
94,ecol_ts,Prok_Taxa00120,3,0.909951524,0.081310856,0.42848977
95,ecol_ts,Prok_Taxa00121,4,0.80697545,0.243164772,0.604902125
96,ecol_ts,Prok_Taxa00122,5,0.692392864,0.231435709,0.729979469
97,ecol_ts,Prok_Taxa00123,2,0.915425694,0.147103354,0.403143815
98,ecol_ts,Prok_Taxa00125,2,0.864735703,0.097241679,0.502755341
99,ecol_ts,Prok_Taxa00126,2,0.87976686,0.101852744,0.506006838
