time,random_input,value,random_output
1,0.2,0.5,0.35502669
2,0.2,0.5,0.01474369
3,0.2,0.5,0.42072176
4,0.2,0.5,-0.285443883
5,0.2,0.5,-0.025205777
6,0.2,0.5,-0.274951169
7,0.2,0.5,-0.260522344
8,0.2,0.5,0.350516333
9,0.2,0.5,0.113529852
10,0.2,0.5,0.347416529
11,0.2,0.5,0.309640114
12,0.2,0.5,0.160366989
13,0.2,0.5,-0.437033716
14,0.2,0.5,-0.134202103
15,0.2,0.5,0.108907369
16,0.2,0.5,0.037660696
17,0.2,0.5,0.199642016
18,0.2,0.5,-0.139637952
19,0.2,0.5,-0.398004021
20,0.2,0.5,-0.348671559
21,0.2,0.5,-0.43777285
22,0.2,0.5,-0.18234208
23,0.2,0.5,-0.557544408
24,0.2,0.5,0.09392059
25,0.2,0.5,0.367133901
26,0.2,0.5,0.079441691
27,0.2,0.5,-0.553056027
28,0.2,0.5,0.07114736
29,0.2,0.5,0.479308127
30,0.2,0.5,0.549207539
31,0.2,0.5,0.408174667
32,0.2,0.547715677,-0.539172154
33,0.2,0.590868879,-0.306107513
34,0.2,0.629895862,-0.50558656
35,0.2,0.665191166,0.003518735
36,0.2,0.697111606,0.247783189
37,0.2,0.72597988,0.239710452
38,0.2,0.75208783,-0.003745232
39,0.2,0.775699391,0.010762904
40,0.2,0.797053264,0.116347779
41,0.2,0.816365324,-0.284466483
42,0.2,0.833830805,-0.342327471
43,0.2,0.849626273,-0.220001567
44,0.2,0.863911411,-0.52204278
45,0.2,0.876830634,0.368365198
46,0.2,0.888514547,0.070165056
47,0.2,0.899081269,-0.047983703
48,0.2,0.908637623,0.197637463
49,0.2,0.92147508,0.435023317
50,0.2,0.941572023,-0.520762513
51,0.2,0.967191027,0.00657134
52,0.2,0.996744427,0.424462362
53,0.2,1.028773288,-0.111011434
54,0.2,1.061944983,0.463192248
55,0.2,1.095065321,-0.3238468
56,0.2,1.127098254,-0.110093169
57,0.2,1.157185286,-0.464836485
58,0.2,1.184658037,0.407898889
59,0.2,1.209040129,-0.3937551
60,0.2,1.230037677,-0.047963173
61,0.2,1.24752021,0.470267323
62,0.2,1.261495206,0.039907242
63,0.2,1.272079785,0.201732273
64,0.2,1.279472575,0.255193441
65,0.2,1.283927945,-0.090158824
66,0.2,1.285426835,-0.035918897
67,0.2,1.282284088,0.22774121
68,0.2,1.272301455,0.326240536
69,0.2,1.25357789,0.073436124
70,0.2,1.224985447,-0.222551835
71,0.2,1.186561556,0.231827151
72,0.2,1.139533386,-0.453817099
73,0.2,1.085954401,0.012041352
74,0.2,1.028180935,0.062026939
75,0.2,0.96843699,-0.490581301
76,0.2,0.908573756,0.537411288
77,0.2,0.850000676,0.243201113
78,0.2,0.793718172,0.177379142
79,0.2,0.740391707,-0.48346789
80,0.2,0.690431627,0.090961069
81,0.2,0.644063058,0.393380795
82,0.2,0.601381397,-0.546410237
83,0.2,0.562400647,0.007156729
84,0.2,0.527200044,-0.239792456
85,0.2,0.496110105,-0.170099336
86,0.2,0.469800376,0.368477901
87,0.2,0.449420086,0.244180514
88,0.2,0.43681396,-0.162795515
89,0.2,0.434751502,-0.492065341
90,0.2,0.446909491,-0.066423927
91,0.2,0.477014455,0.27119178
92,0.2,0.526617351,-0.041145954
