time,random_01,random_02,random_03,random_04,random_05,random_06,random_07,random_08,random_09,random_10
1,-0.468982674,-0.63023548,-0.663916947,0.17160061,-0.599571095,0.212536595,0.977818596,-0.067409517,-0.556797205,0.014956406
2,-0.255752201,0.404748072,0.615032798,-0.982108409,0.370437191,0.875283946,-0.204509093,-0.584353366,-0.95153218,-0.386462988
3,0.145706727,0.14665267,-0.230115297,-0.412520776,0.833751549,-0.471295865,-0.768604442,0.599315915,-0.585761961,-0.146184667
4,0.81641558,-0.663896159,-0.344531366,-0.445250084,-0.431201085,-0.239812161,-0.860502643,0.303742636,-0.568532901,0.386204162
5,-0.596636138,0.887678678,0.20420135,0.62714843,-0.790699744,0.614966778,-0.512501219,-0.356981642,-0.112552824,-0.829728062
6,0.79677937,0.886949917,0.208788108,-0.479144457,0.402114918,0.956151451,0.584020852,0.437855008,-0.731847699,-0.549126767
7,0.889350537,-0.741682047,-0.750733112,0.448811785,0.055919969,0.915867433,-0.319875294,-0.418253226,-0.21868442,-0.450938954
8,0.321595585,0.666897631,-0.410798152,0.812184303,0.615870402,0.525463713,0.944125001,0.864539627,-0.261368456,-0.455389868
9,0.258228088,-0.063962969,0.155219838,0.898080442,0.91300025,0.01929707,-0.668289031,0.538293909,0.337385913,0.231658616
10,-0.876427459,0.099967483,0.261958549,-0.853711061,-0.779093963,-0.871046409,-0.081792668,0.288982274,0.984219932,-0.140656949
11,-0.58805085,0.105348134,0.024031795,0.509350054,-0.453430101,0.28714553,-0.656503846,-0.085910223,-0.764722092,0.303311334
12,-0.646886495,-0.522210481,0.010047828,-0.427998758,-0.018973596,0.831817769,-0.537045796,-0.821397979,-0.983057672,0.135475505
13,0.374045693,0.521026626,0.068070707,-0.799892957,-0.363191963,-0.809534838,0.545623892,-0.135217253,0.766733629,-0.772982036
14,-0.231792564,-0.638359799,0.114498871,0.90813755,0.118345653,-0.409254394,-0.807396917,0.089924231,-0.397890584,0.191850611
15,0.53968284,-0.189435638,0.735838975,-0.168785763,-0.474813723,0.539863398,-0.09310446,-0.723551308,-0.014512988,-0.28390005
16,-0.004601516,0.707096906,0.659417387,-0.089795165,-0.596249578,-0.488212948,-0.830598574,0.855624504,0.001259877,-0.142381163
17,0.435237017,0.952796979,-0.777101693,0.942111312,-0.224948506,0.035791452,0.121331734,-0.997396557,-0.195931053,-0.896193356
18,0.98381219,-0.548349078,0.407376718,0.167975959,0.775739543,0.355699861,-0.9825908,-0.471082273,0.954165643,-0.471644665
19,-0.239929641,-0.110381542,0.794976529,0.924409249,0.109845108,-0.705544361,0.971474181,-0.446935506,-0.283347978,-0.202418538
20,0.554890443,-0.850041151,-0.440534892,0.523404806,0.68435877,0.40105209,-0.366830392,0.042214083,-0.016678911,0.672268287
21,0.869410462,0.323797517,-0.543596237,0.429017071,0.780414229,0.91598507,0.278897884,-0.552622153,0.798599114,0.729442452
