"time","value_original","value","time_duration"
0,3.166666667,18.9,0.05
1,2.814285714,18.3,0.05
2,1.371428571,15.2,0.05
3,1.214285714,14.7,0.05
4,2.228571429,17.2,0.05
5,2.071428571,16.9,0.05
6,2.114285714,17,0.05
7,2.028571429,16.8,0.05
8,1.742857143,16.2,0.05
9,1.471428571,15.5,0.05
10,0.771428571,13.1,0.05
11,0.642857143,12.5,0.05
12,0.757142857,13,0.05
13,0.214285714,9.9,0.05
14,0,8,0.05
15,0,8,0.05
16,0,8,0.05
17,0,8,0.05
18,0,8,0.05
19,0.071428571,8.7,0.05
20,0.071428571,8.7,0.05
21,0.128571429,9.2,0.05
22,0.585714286,12.2,0.05
23,0.5,11.8,0.05
24,0.214285714,9.9,0.05
25,0.428571429,11.4,0.05
26,0.542857143,12,0.05
27,0.528571429,11.9,0.05
28,0.6,12.3,0.05
29,0.485714286,11.7,0.05
30,0.2,9.8,0.05
31,0.314285714,10.7,0.05
32,0.328571429,10.8,0.05
33,0.057142857,8.6,0.05
34,0.914285714,13.7,0.05
35,0.414285714,11.3,0.05
36,0.457142857,11.5,0.05
37,0.5,11.8,0.05
38,0.2,9.8,0.05
39,0.342857143,10.8,0.05
40,0.385714286,11.1,0.05
41,0.414285714,11.3,0.05
42,0.214285714,9.9,0.05
43,0.142857143,9.4,0.05
44,4.857142857,20.9,0.05
45,4.9,21,0.05
46,2.114285714,17,0.05
47,2.328571429,17.4,0.05
48,4.071428571,20.1,0.05
49,3.442857143,19.3,0.05
50,3.842857143,19.8,0.05
51,2.328571429,17.4,0.05
52,2.742857143,18.2,0.05
53,2.457142857,17.7,0.05
54,3.442857143,19.3,0.05
55,2.142857143,17.1,0.05
56,2.057142857,16.9,0.05
57,2.071428571,16.9,0.05
58,1.342857143,15.1,0.05
59,1.485714286,15.5,0.05
60,1.042857143,14.1,0.05
61,1.114285714,14.4,0.05
62,0.942857143,13.8,0.05
63,0,8,0.05
64,0,8,0.05
65,0,8,0.05
66,0,8,0.05
67,0,8,0.05
