2021-03-27_13-03-09.jpg; date_time: 2021-03-27 13:03:09; grid_n: 1; count: 34; total_area: 5643; mean_area: 165.97; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-04-09.jpg; date_time: 2021-03-27 13:04:09; grid_n: 1; count: 33; total_area: 6166; mean_area: 186.85; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-05-09.jpg; date_time: 2021-03-27 13:05:09; grid_n: 1; count: 31; total_area: 5678; mean_area: 183.16; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-06-09.jpg; date_time: 2021-03-27 13:06:09; grid_n: 1; count: 38; total_area: 6976; mean_area: 183.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-07-09.jpg; date_time: 2021-03-27 13:07:09; grid_n: 1; count: 28; total_area: 4044; mean_area: 144.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-08-09.jpg; date_time: 2021-03-27 13:08:09; grid_n: 1; count: 37; total_area: 6920; mean_area: 187.03; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-09-09.jpg; date_time: 2021-03-27 13:09:09; grid_n: 1; count: 49; total_area: 10764; mean_area: 219.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-10-09.jpg; date_time: 2021-03-27 13:10:09; grid_n: 1; count: 47; total_area: 8277; mean_area: 176.11; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-11-09.jpg; date_time: 2021-03-27 13:11:09; grid_n: 1; count: 41; total_area: 6881; mean_area: 167.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-12-09.jpg; date_time: 2021-03-27 13:12:09; grid_n: 1; count: 51; total_area: 9153; mean_area: 179.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-13-09.jpg; date_time: 2021-03-27 13:13:09; grid_n: 1; count: 38; total_area: 6599; mean_area: 173.66; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-14-09.jpg; date_time: 2021-03-27 13:14:09; grid_n: 1; count: 52; total_area: 8749; mean_area: 168.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-15-09.jpg; date_time: 2021-03-27 13:15:09; grid_n: 1; count: 53; total_area: 8900; mean_area: 167.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-16-09.jpg; date_time: 2021-03-27 13:16:09; grid_n: 1; count: 52; total_area: 9260; mean_area: 178.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-17-09.jpg; date_time: 2021-03-27 13:17:09; grid_n: 1; count: 55; total_area: 8764; mean_area: 159.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-18-09.jpg; date_time: 2021-03-27 13:18:09; grid_n: 1; count: 48; total_area: 7944; mean_area: 165.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-19-09.jpg; date_time: 2021-03-27 13:19:09; grid_n: 1; count: 51; total_area: 8336; mean_area: 163.45; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-20-09.jpg; date_time: 2021-03-27 13:20:09; grid_n: 1; count: 38; total_area: 5182; mean_area: 136.37; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-21-09.jpg; date_time: 2021-03-27 13:21:09; grid_n: 1; count: 49; total_area: 8824; mean_area: 180.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-22-09.jpg; date_time: 2021-03-27 13:22:09; grid_n: 1; count: 55; total_area: 9785; mean_area: 177.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-23-09.jpg; date_time: 2021-03-27 13:23:09; grid_n: 1; count: 46; total_area: 8584; mean_area: 186.61; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-24-09.jpg; date_time: 2021-03-27 13:24:09; grid_n: 1; count: 37; total_area: 6329; mean_area: 171.05; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-25-09.jpg; date_time: 2021-03-27 13:25:09; grid_n: 1; count: 41; total_area: 7146; mean_area: 174.29; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-26-09.jpg; date_time: 2021-03-27 13:26:09; grid_n: 1; count: 47; total_area: 7220; mean_area: 153.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-27-09.jpg; date_time: 2021-03-27 13:27:09; grid_n: 1; count: 42; total_area: 6934; mean_area: 165.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-28-09.jpg; date_time: 2021-03-27 13:28:09; grid_n: 1; count: 42; total_area: 6885; mean_area: 163.93; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-29-09.jpg; date_time: 2021-03-27 13:29:09; grid_n: 1; count: 33; total_area: 5044; mean_area: 152.85; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-30-09.jpg; date_time: 2021-03-27 13:30:09; grid_n: 1; count: 48; total_area: 7601; mean_area: 158.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-31-09.jpg; date_time: 2021-03-27 13:31:09; grid_n: 1; count: 52; total_area: 8095; mean_area: 155.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-32-09.jpg; date_time: 2021-03-27 13:32:09; grid_n: 1; count: 39; total_area: 5731; mean_area: 146.95; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-33-09.jpg; date_time: 2021-03-27 13:33:09; grid_n: 1; count: 43; total_area: 6275; mean_area: 145.93; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-34-09.jpg; date_time: 2021-03-27 13:34:09; grid_n: 1; count: 51; total_area: 8925; mean_area: 175; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-35-09.jpg; date_time: 2021-03-27 13:35:09; grid_n: 1; count: 51; total_area: 7408; mean_area: 145.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-36-09.jpg; date_time: 2021-03-27 13:36:09; grid_n: 1; count: 55; total_area: 7519; mean_area: 136.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-37-09.jpg; date_time: 2021-03-27 13:37:09; grid_n: 1; count: 64; total_area: 9908; mean_area: 154.81; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-38-09.jpg; date_time: 2021-03-27 13:38:09; grid_n: 1; count: 52; total_area: 7479; mean_area: 143.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-39-09.jpg; date_time: 2021-03-27 13:39:09; grid_n: 1; count: 58; total_area: 8843; mean_area: 152.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-40-09.jpg; date_time: 2021-03-27 13:40:09; grid_n: 1; count: 63; total_area: 9085; mean_area: 144.21; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-41-09.jpg; date_time: 2021-03-27 13:41:09; grid_n: 1; count: 62; total_area: 8981; mean_area: 144.85; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-42-09.jpg; date_time: 2021-03-27 13:42:09; grid_n: 1; count: 70; total_area: 10737; mean_area: 153.39; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-43-09.jpg; date_time: 2021-03-27 13:43:09; grid_n: 1; count: 74; total_area: 10588; mean_area: 143.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-44-09.jpg; date_time: 2021-03-27 13:44:09; grid_n: 1; count: 78; total_area: 11478; mean_area: 147.15; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-45-09.jpg; date_time: 2021-03-27 13:45:09; grid_n: 1; count: 78; total_area: 11011; mean_area: 141.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-46-09.jpg; date_time: 2021-03-27 13:46:09; grid_n: 1; count: 74; total_area: 10360; mean_area: 140; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-47-09.jpg; date_time: 2021-03-27 13:47:09; grid_n: 1; count: 76; total_area: 11535; mean_area: 151.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-48-09.jpg; date_time: 2021-03-27 13:48:09; grid_n: 1; count: 69; total_area: 10213; mean_area: 148.01; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-49-09.jpg; date_time: 2021-03-27 13:49:09; grid_n: 1; count: 76; total_area: 10858; mean_area: 142.87; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-50-09.jpg; date_time: 2021-03-27 13:50:09; grid_n: 1; count: 77; total_area: 11002; mean_area: 142.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-51-09.jpg; date_time: 2021-03-27 13:51:09; grid_n: 1; count: 82; total_area: 11786; mean_area: 143.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-52-09.jpg; date_time: 2021-03-27 13:52:09; grid_n: 1; count: 79; total_area: 11548; mean_area: 146.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-53-09.jpg; date_time: 2021-03-27 13:53:09; grid_n: 1; count: 79; total_area: 11613; mean_area: 147; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-54-09.jpg; date_time: 2021-03-27 13:54:09; grid_n: 1; count: 82; total_area: 12104; mean_area: 147.61; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-55-09.jpg; date_time: 2021-03-27 13:55:09; grid_n: 1; count: 84; total_area: 12336; mean_area: 146.86; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-56-09.jpg; date_time: 2021-03-27 13:56:09; grid_n: 1; count: 84; total_area: 12290; mean_area: 146.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-57-09.jpg; date_time: 2021-03-27 13:57:09; grid_n: 1; count: 84; total_area: 12349; mean_area: 147.01; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-58-09.jpg; date_time: 2021-03-27 13:58:09; grid_n: 1; count: 90; total_area: 13452; mean_area: 149.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_13-59-09.jpg; date_time: 2021-03-27 13:59:09; grid_n: 1; count: 84; total_area: 12289; mean_area: 146.3; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-00-09.jpg; date_time: 2021-03-27 14:00:09; grid_n: 1; count: 89; total_area: 13680; mean_area: 153.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-01-09.jpg; date_time: 2021-03-27 14:01:09; grid_n: 1; count: 94; total_area: 14029; mean_area: 149.24; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-02-09.jpg; date_time: 2021-03-27 14:02:09; grid_n: 1; count: 86; total_area: 13722; mean_area: 159.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-03-09.jpg; date_time: 2021-03-27 14:03:09; grid_n: 1; count: 84; total_area: 13086; mean_area: 155.79; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-04-09.jpg; date_time: 2021-03-27 14:04:09; grid_n: 1; count: 88; total_area: 13411; mean_area: 152.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-05-09.jpg; date_time: 2021-03-27 14:05:09; grid_n: 1; count: 94; total_area: 14046; mean_area: 149.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-06-09.jpg; date_time: 2021-03-27 14:06:09; grid_n: 1; count: 87; total_area: 13520; mean_area: 155.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-07-09.jpg; date_time: 2021-03-27 14:07:09; grid_n: 1; count: 88; total_area: 13124; mean_area: 149.14; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-08-09.jpg; date_time: 2021-03-27 14:08:09; grid_n: 1; count: 82; total_area: 13000; mean_area: 158.54; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-09-09.jpg; date_time: 2021-03-27 14:09:09; grid_n: 1; count: 75; total_area: 11579; mean_area: 154.39; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-10-09.jpg; date_time: 2021-03-27 14:10:09; grid_n: 1; count: 77; total_area: 12313; mean_area: 159.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-11-09.jpg; date_time: 2021-03-27 14:11:09; grid_n: 1; count: 82; total_area: 12812; mean_area: 156.24; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-12-09.jpg; date_time: 2021-03-27 14:12:09; grid_n: 1; count: 81; total_area: 12449; mean_area: 153.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-27_14-13-09.jpg; date_time: 2021-03-27 14:13:09; grid_n: 1; count: 76; total_area: 11841; mean_area: 155.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
