"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/03/28 14:23'44","44283.5998148148","  23.8000","","","","","","","",
"2021/03/28 14:24'44","44283.6005092593","  23.9000","","","","","","","",
"2021/03/28 14:25'44","44283.6012037037","  23.8000","","","","","","","",
"2021/03/28 14:26'44","44283.6018981481","  23.3000","","","","","","","",
"2021/03/28 14:27'44","44283.6025925926","  22.7000","","","","","","","",
"2021/03/28 14:28'44","44283.6032870370","  22.3000","","","","","","","",
"2021/03/28 14:29'44","44283.6039814815","  22.0000","","","","","","","",
"2021/03/28 14:30'44","44283.6046759259","  21.8000","","","","","","","",
"2021/03/28 14:31'44","44283.6053703704","  21.6000","","","","","","","",
"2021/03/28 14:32'44","44283.6060648148","  21.4000","","","","","","","",
"2021/03/28 14:33'44","44283.6067592593","  21.3000","","","","","","","",
"2021/03/28 14:34'44","44283.6074537037","  21.2000","","","","","","","",
"2021/03/28 14:35'44","44283.6081481481","  21.0000","","","","","","","",
"2021/03/28 14:36'44","44283.6088425926","  20.9000","","","","","","","",
"2021/03/28 14:37'44","44283.6095370370","  20.6000","","","","","","","",
"2021/03/28 14:38'44","44283.6102314815","  20.3000","","","","","","","",
"2021/03/28 14:39'44","44283.6109259259","  20.0000","","","","","","","",
"2021/03/28 14:40'44","44283.6116203704","  19.7000","","","","","","","",
"2021/03/28 14:41'44","44283.6123148148","  19.4000","","","","","","","",
"2021/03/28 14:42'44","44283.6130092593","  19.2000","","","","","","","",
"2021/03/28 14:43'44","44283.6137037037","  19.0000","","","","","","","",
"2021/03/28 14:44'44","44283.6143981481","  18.8000","","","","","","","",
"2021/03/28 14:45'44","44283.6150925926","  18.7000","","","","","","","",
"2021/03/28 14:46'44","44283.6157870370","  18.8000","","","","","","","",
"2021/03/28 14:47'44","44283.6164814815","  18.8000","","","","","","","",
"2021/03/28 14:48'44","44283.6171759259","  19.0000","","","","","","","",
"2021/03/28 14:49'44","44283.6178703704","  19.2000","","","","","","","",
"2021/03/28 14:50'44","44283.6185648148","  19.5000","","","","","","","",
"2021/03/28 14:51'44","44283.6192592593","  19.6000","","","","","","","",
"2021/03/28 14:52'44","44283.6199537037","  19.7000","","","","","","","",
"2021/03/28 14:53'44","44283.6206481481","  19.8000","","","","","","","",
"2021/03/28 14:54'44","44283.6213425926","  19.8000","","","","","","","",
"2021/03/28 14:55'44","44283.6220370370","  19.8000","","","","","","","",
"2021/03/28 14:56'44","44283.6227314815","  19.8000","","","","","","","",
"2021/03/28 14:57'44","44283.6234259259","  19.9000","","","","","","","",
"2021/03/28 14:58'44","44283.6241203704","  19.9000","","","","","","","",
"2021/03/28 14:59'44","44283.6248148148","  20.0000","","","","","","","",
"2021/03/28 15:00'44","44283.6255092593","  20.0000","","","","","","","",
"2021/03/28 15:01'44","44283.6262037037","  20.0000","","","","","","","",
"2021/03/28 15:02'44","44283.6268981481","  19.9000","","","","","","","",
"2021/03/28 15:03'44","44283.6275925926","  19.9000","","","","","","","",
"2021/03/28 15:04'44","44283.6282870370","  19.9000","","","","","","","",
"2021/03/28 15:05'44","44283.6289814815","  19.8000","","","","","","","",
"2021/03/28 15:06'44","44283.6296759259","  19.9000","","","","","","","",
"2021/03/28 15:07'44","44283.6303703704","  19.8000","","","","","","","",
"2021/03/28 15:08'44","44283.6310648148","  19.8000","","","","","","","",
"2021/03/28 15:09'44","44283.6317592593","  19.7000","","","","","","","",
"2021/03/28 15:10'44","44283.6324537037","  19.7000","","","","","","","",
"2021/03/28 15:11'44","44283.6331481481","  19.6000","","","","","","","",
"2021/03/28 15:12'44","44283.6338425926","  19.5000","","","","","","","",
"2021/03/28 15:13'44","44283.6345370370","  19.4000","","","","","","","",
"2021/03/28 15:14'44","44283.6352314815","  19.3000","","","","","","","",
"2021/03/28 15:15'44","44283.6359259259","  19.2000","","","","","","","",
"2021/03/28 15:16'44","44283.6366203704","  19.0000","","","","","","","",
"2021/03/28 15:17'44","44283.6373148148","  18.8000","","","","","","","",
"2021/03/28 15:18'44","44283.6380092593","  18.6000","","","","","","","",
"2021/03/28 15:19'44","44283.6387037037","  18.3000","","","","","","","",
"2021/03/28 15:20'44","44283.6393981481","  18.0000","","","","","","","",
"2021/03/28 15:21'44","44283.6400925926","  17.9000","","","","","","","",
"2021/03/28 15:22'44","44283.6407870370","  17.7000","","","","","","","",
"2021/03/28 15:23'44","44283.6414814815","  17.5000","","","","","","","",
"2021/03/28 15:24'44","44283.6421759259","  17.4000","","","","","","","",
"2021/03/28 15:25'44","44283.6428703704","  17.2000","","","","","","","",
"2021/03/28 15:26'44","44283.6435648148","  17.2000","","","","","","","",
"2021/03/28 15:27'44","44283.6442592593","  17.1000","","","","","","","",
"2021/03/28 15:28'44","44283.6449537037","  17.1000","","","","","","","",
"2021/03/28 15:29'44","44283.6456481481","  17.1000","","","","","","","",
"2021/03/28 15:30'44","44283.6463425926","  17.1000","","","","","","","",
"2021/03/28 15:31'44","44283.6470370370","  17.1000","","","","","","","",
"2021/03/28 15:32'44","44283.6477314815","  16.9000","","","","","","","",
"2021/03/28 15:33'44","44283.6484259259","  16.6000","","","","","","","",
"2021/03/28 15:34'44","44283.6491203704","  16.3000","","","","","","","",
"2021/03/28 15:35'44","44283.6498148148","  16.1000","","","","","","","",
"2021/03/28 15:36'44","44283.6505092593","  15.7000","","","","","","","",
"2021/03/28 15:37'44","44283.6512037037","  15.4000","","","","","","","",
"2021/03/28 15:38'44","44283.6518981481","  15.0000","","","","","","","",
"2021/03/28 15:39'44","44283.6525925926","  14.6000","","","","","","","",
"2021/03/28 15:40'44","44283.6532870370","  14.3000","","","","","","","",
"2021/03/28 15:41'44","44283.6539814815","  14.1000","","","","","","","",
"2021/03/28 15:42'44","44283.6546759259","  14.0000","","","","","","","",
"2021/03/28 15:43'44","44283.6553703704","  13.9000","","","","","","","",
"2021/03/28 15:44'44","44283.6560648148","  13.8000","","","","","","","",
"2021/03/28 15:45'44","44283.6567592593","  13.8000","","","","","","","",
"2021/03/28 15:46'44","44283.6574537037","  13.8000","","","","","","","",
"2021/03/28 15:47'44","44283.6581481481","  13.8000","","","","","","","",
"2021/03/28 15:48'44","44283.6588425926","  13.8000","","","","","","","",
"2021/03/28 15:49'44","44283.6595370370","  13.7000","","","","","","","",
"2021/03/28 15:50'44","44283.6602314815","  13.7000","","","","","","","",
"2021/03/28 15:51'44","44283.6609259259","  13.7000","","","","","","","",
"2021/03/28 15:52'44","44283.6616203704","  13.7000","","","","","","","",
"2021/03/28 15:53'44","44283.6623148148","  13.7000","","","","","","","",
"2021/03/28 15:54'44","44283.6630092593","  13.7000","","","","","","","",
"2021/03/28 15:55'44","44283.6637037037","  13.7000","","","","","","","",
"2021/03/28 15:56'44","44283.6643981481","  13.7000","","","","","","","",
"2021/03/28 15:57'44","44283.6650925926","  13.6000","","","","","","","",
"2021/03/28 15:58'44","44283.6657870370","  13.7000","","","","","","","",
"2021/03/28 15:59'44","44283.6664814815","  13.7000","","","","","","","",
"2021/03/28 16:00'44","44283.6671759259","  13.8000","","","","","","","",
"2021/03/28 16:01'44","44283.6678703704","  13.7000","","","","","","","",
"2021/03/28 16:02'44","44283.6685648148","  13.8000","","","","","","","",
"2021/03/28 16:03'44","44283.6692592593","  13.8000","","","","","","","",
"2021/03/28 16:04'44","44283.6699537037","  13.9000","","","","","","","",
"2021/03/28 16:05'44","44283.6706481481","  14.0000","","","","","","","",
"2021/03/28 16:06'44","44283.6713425926","  14.1000","","","","","","","",
"2021/03/28 16:07'44","44283.6720370370","  14.2000","","","","","","","",
"2021/03/28 16:08'44","44283.6727314815","  14.3000","","","","","","","",
"2021/03/28 16:09'44","44283.6734259259","  14.2000","","","","","","","",
"2021/03/28 16:10'44","44283.6741203704","  14.2000","","","","","","","",
"2021/03/28 16:11'44","44283.6748148148","  14.3000","","","","","","","",
"2021/03/28 16:12'44","44283.6755092593","  14.2000","","","","","","","",
"2021/03/28 16:13'44","44283.6762037037","  14.2000","","","","","","","",
"2021/03/28 16:14'44","44283.6768981481","  14.3000","","","","","","","",
"2021/03/28 16:15'44","44283.6775925926","  14.4000","","","","","","","",
"2021/03/28 16:16'44","44283.6782870370","  14.5000","","","","","","","",
"2021/03/28 16:17'44","44283.6789814815","  14.7000","","","","","","","",
"2021/03/28 16:18'44","44283.6796759259","  15.0000","","","","","","","",
"2021/03/28 16:19'44","44283.6803703704","  15.4000","","","","","","","",
"2021/03/28 16:20'44","44283.6810648148","  15.7000","","","","","","","",
"2021/03/28 16:21'44","44283.6817592593","  15.9000","","","","","","","",
"2021/03/28 16:22'44","44283.6824537037","  16.1000","","","","","","","",
"2021/03/28 16:23'44","44283.6831481481","  16.2000","","","","","","","",
"2021/03/28 16:24'44","44283.6838425926","  16.3000","","","","","","","",
"2021/03/28 16:25'44","44283.6845370370","  16.3000","","","","","","","",
"2021/03/28 16:26'44","44283.6852314815","  16.2000","","","","","","","",
"2021/03/28 16:27'44","44283.6859259259","  16.1000","","","","","","","",
"2021/03/28 16:28'44","44283.6866203704","  15.9000","","","","","","","",
"2021/03/28 16:29'44","44283.6873148148","  15.7000","","","","","","","",
"2021/03/28 16:30'44","44283.6880092593","  15.6000","","","","","","","",
"2021/03/28 16:31'44","44283.6887037037","  15.5000","","","","","","","",
"2021/03/28 16:32'44","44283.6893981481","  15.5000","","","","","","","",
"2021/03/28 16:33'44","44283.6900925926","  15.5000","","","","","","","",
"2021/03/28 16:34'44","44283.6907870370","  15.5000","","","","","","","",
"2021/03/28 16:35'44","44283.6914814815","  15.7000","","","","","","","",
"2021/03/28 16:36'44","44283.6921759259","  15.7000","","","","","","","",
"2021/03/28 16:37'44","44283.6928703704","  15.8000","","","","","","","",
"2021/03/28 16:38'44","44283.6935648148","  15.9000","","","","","","","",
"2021/03/28 16:39'44","44283.6942592593","  16.1000","","","","","","","",
"2021/03/28 16:40'44","44283.6949537037","  16.1000","","","","","","","",
"2021/03/28 16:41'44","44283.6956481481","  16.2000","","","","","","","",
"2021/03/28 16:42'44","44283.6963425926","  16.3000","","","","","","","",
"2021/03/28 16:43'44","44283.6970370370","  16.3000","","","","","","","",
"2021/03/28 16:44'44","44283.6977314815","  16.3000","","","","","","","",
"2021/03/28 16:45'44","44283.6984259259","  16.3000","","","","","","","",
"2021/03/28 16:46'44","44283.6991203704","  16.3000","","","","","","","",
"2021/03/28 16:47'44","44283.6998148148","  16.3000","","","","","","","",
"2021/03/28 16:48'44","44283.7005092593","  16.4000","","","","","","","",
"2021/03/28 16:49'44","44283.7012037037","  16.4000","","","","","","","",
"2021/03/28 16:50'44","44283.7018981481","  16.5000","","","","","","","",
"2021/03/28 16:51'44","44283.7025925926","  16.5000","","","","","","","",
"2021/03/28 16:52'44","44283.7032870370","  16.5000","","","","","","","",
"2021/03/28 16:53'44","44283.7039814815","  16.5000","","","","","","","",
"2021/03/28 16:54'44","44283.7046759259","  16.4000","","","","","","","",
"2021/03/28 16:55'44","44283.7053703704","  16.4000","","","","","","","",
"2021/03/28 16:56'44","44283.7060648148","  16.2000","","","","","","","",
"2021/03/28 16:57'44","44283.7067592593","  16.0000","","","","","","","",
"2021/03/28 16:58'44","44283.7074537037","  15.8000","","","","","","","",
"2021/03/28 16:59'44","44283.7081481481","  15.6000","","","","","","","",
"2021/03/28 17:00'44","44283.7088425926","  15.4000","","","","","","","",
"2021/03/28 17:01'44","44283.7095370370","  15.4000","","","","","","","",
"2021/03/28 17:02'44","44283.7102314815","  15.3000","","","","","","","",
"2021/03/28 17:03'44","44283.7109259259","  15.4000","","","","","","","",
"2021/03/28 17:04'44","44283.7116203704","  15.3000","","","","","","","",
"2021/03/28 17:05'44","44283.7123148148","  15.4000","","","","","","","",
"2021/03/28 17:06'44","44283.7130092593","  15.4000","","","","","","","",
"2021/03/28 17:07'44","44283.7137037037","  15.4000","","","","","","","",
"2021/03/28 17:08'44","44283.7143981481","  15.5000","","","","","","","",
"2021/03/28 17:09'44","44283.7150925926","  15.5000","","","","","","","",
"2021/03/28 17:10'44","44283.7157870370","  15.5000","","","","","","","",
"2021/03/28 17:11'44","44283.7164814815","  15.5000","","","","","","","",
"2021/03/28 17:12'44","44283.7171759259","  15.3000","","","","","","","",
"2021/03/28 17:13'44","44283.7178703704","  14.9000","","","","","","","",
"2021/03/28 17:14'44","44283.7185648148","  14.6000","","","","","","","",
"2021/03/28 17:15'44","44283.7192592593","  14.5000","","","","","","","",
"2021/03/28 17:16'44","44283.7199537037","  14.6000","","","","","","","",
"2021/03/28 17:17'44","44283.7206481481","  14.8000","","","","","","","",
"2021/03/28 17:18'44","44283.7213425926","  15.2000","","","","","","","",
"2021/03/28 17:19'44","44283.7220370370","  15.7000","","","","","","","",
"2021/03/28 17:20'44","44283.7227314815","  16.2000","","","","","","","",
"2021/03/28 17:21'44","44283.7234259259","  16.5000","","","","","","","",
"2021/03/28 17:22'44","44283.7241203704","  16.6000","","","","","","","",
"2021/03/28 17:23'44","44283.7248148148","  16.6000","","","","","","","",
"2021/03/28 17:24'44","44283.7255092593","  16.5000","","","","","","","",
"2021/03/28 17:25'44","44283.7262037037","  16.4000","","","","","","","",
"2021/03/28 17:26'44","44283.7268981481","  16.2000","","","","","","","",
"2021/03/28 17:27'44","44283.7275925926","  16.2000","","","","","","","",
"2021/03/28 17:28'44","44283.7282870370","  16.2000","","","","","","","",
"2021/03/28 17:29'44","44283.7289814815","  16.2000","","","","","","","",
"2021/03/28 17:30'44","44283.7296759259","  16.2000","","","","","","","",
"2021/03/28 17:31'44","44283.7303703704","  16.2000","","","","","","","",
"2021/03/28 17:32'44","44283.7310648148","  16.2000","","","","","","","",
"2021/03/28 17:33'44","44283.7317592593","  16.2000","","","","","","","",
"2021/03/28 17:34'44","44283.7324537037","  16.2000","","","","","","","",
"2021/03/28 17:35'44","44283.7331481481","  16.2000","","","","","","","",
"2021/03/28 17:36'44","44283.7338425926","  16.1000","","","","","","","",
"2021/03/28 17:37'44","44283.7345370370","  16.0000","","","","","","","",
"2021/03/28 17:38'44","44283.7352314815","  15.8000","","","","","","","",
"2021/03/28 17:39'44","44283.7359259259","  15.6000","","","","","","","",
"2021/03/28 17:40'44","44283.7366203704","  15.5000","","","","","","","",
"2021/03/28 17:41'44","44283.7373148148","  15.4000","","","","","","","",
"2021/03/28 17:42'44","44283.7380092593","  15.3000","","","","","","","",
"2021/03/28 17:43'44","44283.7387037037","  15.3000","","","","","","","",
"2021/03/28 17:44'44","44283.7393981481","  15.3000","","","","","","","",
"2021/03/28 17:45'44","44283.7400925926","  15.4000","","","","","","","",
"2021/03/28 17:46'44","44283.7407870370","  15.5000","","","","","","","",
"2021/03/28 17:47'44","44283.7414814815","  15.5000","","","","","","","",
"2021/03/28 17:48'44","44283.7421759259","  15.6000","","","","","","","",
"2021/03/28 17:49'44","44283.7428703704","  15.7000","","","","","","","",
"2021/03/28 17:50'44","44283.7435648148","  15.8000","","","","","","","",
"2021/03/28 17:51'44","44283.7442592593","  15.8000","","","","","","","",
"2021/03/28 17:52'44","44283.7449537037","  15.8000","","","","","","","",
"2021/03/28 17:53'44","44283.7456481481","  15.8000","","","","","","","",
"2021/03/28 17:54'44","44283.7463425926","  15.8000","","","","","","","",
"2021/03/28 17:55'44","44283.7470370370","  15.8000","","","","","","","",
"2021/03/28 17:56'44","44283.7477314815","  15.7000","","","","","","","",
"2021/03/28 17:57'44","44283.7484259259","  15.6000","","","","","","","",
"2021/03/28 17:58'44","44283.7491203704","  15.5000","","","","","","","",
"2021/03/28 17:59'44","44283.7498148148","  15.3000","","","","","","","",
"2021/03/28 18:00'44","44283.7505092593","  15.2000","","","","","","","",
"2021/03/28 18:01'44","44283.7512037037","  15.1000","","","","","","","",
"2021/03/28 18:02'44","44283.7518981481","  15.0000","","","","","","","",
"2021/03/28 18:03'44","44283.7525925926","  15.0000","","","","","","","",
"2021/03/28 18:04'44","44283.7532870370","  14.9000","","","","","","","",
"2021/03/28 18:05'44","44283.7539814815","  15.0000","","","","","","","",
"2021/03/28 18:06'44","44283.7546759259","  15.3000","","","","","","","",
"2021/03/28 18:07'44","44283.7553703704","  16.0000","","","","","","","",
"2021/03/28 18:08'44","44283.7560648148","  17.0000","","","","","","","",
"2021/03/28 18:09'44","44283.7567592593","  18.2000","","","","","","","",
"2021/03/28 18:10'44","44283.7574537037","  19.3000","","","","","","","",
"2021/03/28 18:11'44","44283.7581481481","  20.2000","","","","","","","",
"2021/03/28 18:12'44","44283.7588425926","  20.8000","","","","","","","",
"2021/03/28 18:13'44","44283.7595370370","  21.3000","","","","","","","",
"2021/03/28 18:14'44","44283.7602314815","  21.7000","","","","","","","",
"2021/03/28 18:15'44","44283.7609259259","  21.9000","","","","","","","",
"2021/03/28 18:16'44","44283.7616203704","  21.9000","","","","","","","",
"2021/03/28 18:17'44","44283.7623148148","  21.8000","","","","","","","",
"2021/03/28 18:18'44","44283.7630092593","  21.5000","","","","","","","",
"2021/03/28 18:19'44","44283.7637037037","  21.2000","","","","","","","",
"2021/03/28 18:20'44","44283.7643981481","  20.8000","","","","","","","",
"2021/03/28 18:21'44","44283.7650925926","  20.5000","","","","","","","",
"2021/03/28 18:22'44","44283.7657870370","  20.3000","","","","","","","",
"2021/03/28 18:23'44","44283.7664814815","  20.2000","","","","","","","",
"2021/03/28 18:24'44","44283.7671759259","  20.1000","","","","","","","",
"2021/03/28 18:25'44","44283.7678703704","  20.1000","","","","","","","",
"2021/03/28 18:26'44","44283.7685648148","  20.1000","","","","","","","",
"2021/03/28 18:27'44","44283.7692592593","  20.3000","","","","","","","",
"2021/03/28 18:28'44","44283.7699537037","  20.6000","","","","","","","",
"2021/03/28 18:29'44","44283.7706481481","  20.8000","","","","","","","",
"2021/03/28 18:30'44","44283.7713425926","  21.1000","","","","","","","",
"2021/03/28 18:31'44","44283.7720370370","  21.3000","","","","","","","",
"2021/03/28 18:32'44","44283.7727314815","  21.4000","","","","","","","",
"2021/03/28 18:33'44","44283.7734259259","  21.4000","","","","","","","",
"2021/03/28 18:34'44","44283.7741203704","  21.4000","","","","","","","",
"2021/03/28 18:35'44","44283.7748148148","  21.3000","","","","","","","",
"2021/03/28 18:36'44","44283.7755092593","  21.4000","","","","","","","",
"2021/03/28 18:37'44","44283.7762037037","  21.4000","","","","","","","",
"2021/03/28 18:38'44","44283.7768981481","  21.5000","","","","","","","",
"2021/03/28 18:39'44","44283.7775925926","  21.5000","","","","","","","",
"2021/03/28 18:40'44","44283.7782870370","  21.5000","","","","","","","",
"2021/03/28 18:41'44","44283.7789814815","  21.4000","","","","","","","",
"2021/03/28 18:42'44","44283.7796759259","  21.3000","","","","","","","",
"2021/03/28 18:43'44","44283.7803703704","  21.1000","","","","","","","",
"2021/03/28 18:44'44","44283.7810648148","  20.9000","","","","","","","",
"2021/03/28 18:45'44","44283.7817592593","  20.7000","","","","","","","",
"2021/03/28 18:46'44","44283.7824537037","  20.5000","","","","","","","",
"2021/03/28 18:47'44","44283.7831481481","  20.5000","","","","","","","",
"2021/03/28 18:48'44","44283.7838425926","  20.5000","","","","","","","",
"2021/03/28 18:49'44","44283.7845370370","  20.5000","","","","","","","",
"2021/03/28 18:50'44","44283.7852314815","  20.6000","","","","","","","",
"2021/03/28 18:51'44","44283.7859259259","  20.5000","","","","","","","",
"2021/03/28 18:52'44","44283.7866203704","  20.5000","","","","","","","",
"2021/03/28 18:53'44","44283.7873148148","  20.4000","","","","","","","",
"2021/03/28 18:54'44","44283.7880092593","  20.3000","","","","","","","",
"2021/03/28 18:55'44","44283.7887037037","  20.4000","","","","","","","",
"2021/03/28 18:56'44","44283.7893981481","  20.4000","","","","","","","",
"2021/03/28 18:57'44","44283.7900925926","  20.4000","","","","","","","",
"2021/03/28 18:58'44","44283.7907870370","  20.6000","","","","","","","",
"2021/03/28 18:59'44","44283.7914814815","  20.8000","","","","","","","",
"2021/03/28 19:00'44","44283.7921759259","  20.9000","","","","","","","",
"2021/03/28 19:01'44","44283.7928703704","  20.9000","","","","","","","",
"2021/03/28 19:02'44","44283.7935648148","  20.8000","","","","","","","",
"2021/03/28 19:03'44","44283.7942592593","  20.7000","","","","","","","",
"2021/03/28 19:04'44","44283.7949537037","  20.5000","","","","","","","",
"2021/03/28 19:05'44","44283.7956481481","  20.3000","","","","","","","",
"2021/03/28 19:06'44","44283.7963425926","  20.1000","","","","","","","",
"2021/03/28 19:07'44","44283.7970370370","  20.0000","","","","","","","",
"2021/03/28 19:08'44","44283.7977314815","  20.0000","","","","","","","",
"2021/03/28 19:09'44","44283.7984259259","  19.9000","","","","","","","",
"2021/03/28 19:10'44","44283.7991203704","  19.8000","","","","","","","",
"2021/03/28 19:11'44","44283.7998148148","  19.8000","","","","","","","",
"2021/03/28 19:12'44","44283.8005092593","  19.7000","","","","","","","",
"2021/03/28 19:13'44","44283.8012037037","  19.7000","","","","","","","",
"2021/03/28 19:14'44","44283.8018981481","  19.7000","","","","","","","",
"2021/03/28 19:15'44","44283.8025925926","  19.7000","","","","","","","",
"2021/03/28 19:16'44","44283.8032870370","  19.6000","","","","","","","",
"2021/03/28 19:17'44","44283.8039814815","  19.5000","","","","","","","",
"2021/03/28 19:18'44","44283.8046759259","  19.4000","","","","","","","",
"2021/03/28 19:19'44","44283.8053703704","  19.2000","","","","","","","",
"2021/03/28 19:20'44","44283.8060648148","  19.0000","","","","","","","",
"2021/03/28 19:21'44","44283.8067592593","  18.9000","","","","","","","",
"2021/03/28 19:22'44","44283.8074537037","  18.8000","","","","","","","",
"2021/03/28 19:23'44","44283.8081481481","  18.7000","","","","","","","",
"2021/03/28 19:24'44","44283.8088425926","  18.7000","","","","","","","",
"2021/03/28 19:25'44","44283.8095370370","  18.6000","","","","","","","",
"2021/03/28 19:26'44","44283.8102314815","  18.6000","","","","","","","",
"2021/03/28 19:27'44","44283.8109259259","  18.5000","","","","","","","",
"2021/03/28 19:28'44","44283.8116203704","  18.4000","","","","","","","",
"2021/03/28 19:29'44","44283.8123148148","  18.4000","","","","","","","",
"2021/03/28 19:30'44","44283.8130092593","  18.2000","","","","","","","",
"2021/03/28 19:31'44","44283.8137037037","  18.2000","","","","","","","",
"2021/03/28 19:32'44","44283.8143981481","  18.1000","","","","","","","",
"2021/03/28 19:33'44","44283.8150925926","  18.1000","","","","","","","",
"2021/03/28 19:34'44","44283.8157870370","  18.0000","","","","","","","",
"2021/03/28 19:35'44","44283.8164814815","  18.0000","","","","","","","",
"2021/03/28 19:36'44","44283.8171759259","  18.0000","","","","","","","",
"2021/03/28 19:37'44","44283.8178703704","  18.0000","","","","","","","",
"2021/03/28 19:38'44","44283.8185648148","  18.0000","","","","","","","",
"2021/03/28 19:39'44","44283.8192592593","  17.9000","","","","","","","",
"2021/03/28 19:40'44","44283.8199537037","  17.7000","","","","","","","",
"2021/03/28 19:41'44","44283.8206481481","  17.4000","","","","","","","",
"2021/03/28 19:42'44","44283.8213425926","  17.0000","","","","","","","",
"2021/03/28 19:43'44","44283.8220370370","  16.4000","","","","","","","",
"2021/03/28 19:44'44","44283.8227314815","  15.9000","","","","","","","",
"2021/03/28 19:45'44","44283.8234259259","  15.4000","","","","","","","",
"2021/03/28 19:46'44","44283.8241203704","  15.0000","","","","","","","",
"2021/03/28 19:47'44","44283.8248148148","  14.7000","","","","","","","",
"2021/03/28 19:48'44","44283.8255092593","  14.4000","","","","","","","",
"2021/03/28 19:49'44","44283.8262037037","  14.2000","","","","","","","",
"2021/03/28 19:50'44","44283.8268981481","  14.2000","","","","","","","",
"2021/03/28 19:51'44","44283.8275925926","  14.1000","","","","","","","",
"2021/03/28 19:52'44","44283.8282870370","  13.9000","","","","","","","",
"2021/03/28 19:53'44","44283.8289814815","  13.9000","","","","","","","",
"2021/03/28 19:54'44","44283.8296759259","  13.9000","","","","","","","",
"2021/03/28 19:55'44","44283.8303703704","  13.8000","","","","","","","",
"2021/03/28 19:56'44","44283.8310648148","  13.9000","","","","","","","",
"2021/03/28 19:57'44","44283.8317592593","  13.9000","","","","","","","",
"2021/03/28 19:58'44","44283.8324537037","  13.9000","","","","","","","",
"2021/03/28 19:59'44","44283.8331481481","  13.9000","","","","","","","",
"2021/03/28 20:00'44","44283.8338425926","  13.7000","","","","","","","",
"2021/03/28 20:01'44","44283.8345370370","  13.7000","","","","","","","",
"2021/03/28 20:02'44","44283.8352314815","  13.7000","","","","","","","",
"2021/03/28 20:03'44","44283.8359259259","  13.7000","","","","","","","",
"2021/03/28 20:04'44","44283.8366203704","  13.7000","","","","","","","",
"2021/03/28 20:05'44","44283.8373148148","  13.8000","","","","","","","",
"2021/03/28 20:06'44","44283.8380092593","  13.8000","","","","","","","",
"2021/03/28 20:07'44","44283.8387037037","  13.7000","","","","","","","",
"2021/03/28 20:08'44","44283.8393981481","  13.8000","","","","","","","",
"2021/03/28 20:09'44","44283.8400925926","  13.8000","","","","","","","",
"2021/03/28 20:10'44","44283.8407870370","  13.9000","","","","","","","",
"2021/03/28 20:11'44","44283.8414814815","  14.0000","","","","","","","",
"2021/03/28 20:12'44","44283.8421759259","  14.2000","","","","","","","",
"2021/03/28 20:13'44","44283.8428703704","  14.6000","","","","","","","",
"2021/03/28 20:14'44","44283.8435648148","  14.9000","","","","","","","",
"2021/03/28 20:15'44","44283.8442592593","  15.2000","","","","","","","",
"2021/03/28 20:16'44","44283.8449537037","  15.4000","","","","","","","",
"2021/03/28 20:17'44","44283.8456481481","  15.4000","","","","","","","",
"2021/03/28 20:18'44","44283.8463425926","  15.3000","","","","","","","",
"2021/03/28 20:19'44","44283.8470370370","  15.0000","","","","","","","",
"2021/03/28 20:20'44","44283.8477314815","  14.7000","","","","","","","",
"2021/03/28 20:21'44","44283.8484259259","  14.5000","","","","","","","",
"2021/03/28 20:22'44","44283.8491203704","  14.4000","","","","","","","",
"2021/03/28 20:23'44","44283.8498148148","  14.3000","","","","","","","",
"2021/03/28 20:24'44","44283.8505092593","  14.1000","","","","","","","",
"2021/03/28 20:25'44","44283.8512037037","  14.2000","","","","","","","",
"2021/03/28 20:26'44","44283.8518981481","  14.5000","","","","","","","",
"2021/03/28 20:27'44","44283.8525925926","  14.8000","","","","","","","",
"2021/03/28 20:28'44","44283.8532870370","  15.3000","","","","","","","",
"2021/03/28 20:29'44","44283.8539814815","  15.8000","","","","","","","",
"2021/03/28 20:30'44","44283.8546759259","  16.2000","","","","","","","",
"2021/03/28 20:31'44","44283.8553703704","  16.4000","","","","","","","",
"2021/03/28 20:32'44","44283.8560648148","  16.5000","","","","","","","",
"2021/03/28 20:33'44","44283.8567592593","  16.4000","","","","","","","",
"2021/03/28 20:34'44","44283.8574537037","  16.1000","","","","","","","",
"2021/03/28 20:35'44","44283.8581481481","  15.7000","","","","","","","",
"2021/03/28 20:36'44","44283.8588425926","  15.4000","","","","","","","",
"2021/03/28 20:37'44","44283.8595370370","  15.0000","","","","","","","",
"2021/03/28 20:38'44","44283.8602314815","  14.7000","","","","","","","",
"2021/03/28 20:39'44","44283.8609259259","  14.4000","","","","","","","",
"2021/03/28 20:40'44","44283.8616203704","  14.2000","","","","","","","",
"2021/03/28 20:41'44","44283.8623148148","  14.1000","","","","","","","",
"2021/03/28 20:42'44","44283.8630092593","  14.0000","","","","","","","",
"2021/03/28 20:43'44","44283.8637037037","  14.0000","","","","","","","",
"2021/03/28 20:44'44","44283.8643981481","  14.0000","","","","","","","",
