reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,6,0.5612,0.7492,0.5614,0.569319,0.399522,-0.2066,0.4535,0.2057,1.159674,1.132828,0,0.01,0.0,6,0,0.9999999999999998,0.9999999999999996,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.0018141352785429957,4.056653967228625e-06,1.0,1.0,0.0025018528595311673,5.272488007067305e-06
Tetrahymena Reservoir,6,0.5772,0.7598,0.5773,0.5576,0.383621,-0.2474,0.4303,0.1852,1.177648,1.169556,0,0.0,0.0,6,1,0.9972461652889587,0.9944999141835331,0.9975136768393554,0.99503353548157,0.9975136768393554,0.060458095578003974,0.0045098913991305,0.9972461652889579,0.9944999141835316,0.07952665690156549,0.005333538392374402
Tetrahymena Reservoir,6,0.591,0.7688,0.5911,0.546799,0.37016,-0.2818,0.408,0.1664,1.193745,1.201747,0,0.0,0.0,6,2,0.9895294474844211,0.9791685274388237,0.9906558108709592,0.9813989356123978,0.9906558108709592,0.11661726763698506,0.016836800206741998,0.9895294474844207,0.979168527438823,0.15496684037489675,0.020251981863096822
Tetrahymena Reservoir,6,0.6001,0.7748,0.6002,0.539105,0.360971,-0.3137,0.3859,0.1489,1.208515,1.231669,0,0.0,0.0,6,3,0.9773842424221351,0.9552799573350909,0.9797151384540546,0.9598417525160473,0.9797151384540546,0.17084581717191966,0.03625209931983098,0.9773842424221354,0.9552799573350915,0.2276175684007161,0.04369196049356604
Tetrahymena Reservoir,6,0.6048,0.7778,0.605,0.534774,0.355393,-0.3499,0.3635,0.1321,1.223487,1.263831,0,0.0,0.0,6,4,0.9616215610843328,0.9247160267422693,0.965516415202698,0.9322219480258688,0.965516415202698,0.22147800474682525,0.06095781111300979,0.9616215610843325,0.9247160267422686,0.2958676301254004,0.07390688790475743
Tetrahymena Reservoir,6,0.6055,0.7782,0.6057,0.533251,0.353493,-0.3827,0.3413,0.1165,1.236772,1.292746,0,0.0,0.0,6,5,0.9432658555746813,0.8897504742930356,0.9488583782463919,0.9003322219683728,0.9488583782463919,0.26804228922404827,0.08931479515892642,0.9432658555746811,0.8897504742930352,0.3588310768621035,0.1088213187337792
Tetrahymena Reservoir,6,0.6015,0.7757,0.6016,0.534736,0.356245,-0.4053,0.3202,0.1025,1.246855,1.313911,0,0.0,0.0,6,6,0.9237048091393911,0.853230574427239,0.9303966182685923,0.8656378672856327,0.9303966182685923,0.3105044204433699,0.12011717249182456,0.9237048091393916,0.8532305744272398,0.41549553664817157,0.14590380346558685
Tetrahymena Reservoir,6,0.5958,0.772,0.5959,0.537444,0.360519,-0.428,0.2976,0.0886,1.256866,1.335095,0,0.0,0.0,6,7,0.9036846271438037,0.8166459053360355,0.9109455456319415,0.8298217871066756,0.9109455456319415,0.3487275329318648,0.15178718056530374,0.9036846271438034,0.816645905336035,0.4661200164858625,0.1836239789744382
Tetrahymena Reservoir,6,0.5875,0.7665,0.5876,0.542245,0.36669,-0.4518,0.2769,0.0767,1.265662,1.355419,0,0.0,0.0,6,8,0.88350234022259,0.7805763851787931,0.8913721670600477,0.7945443402093256,0.8913721670600477,0.38266686152948526,0.18262097996971174,0.8835023402225902,0.7805763851787936,0.5112907083004609,0.2211942723787852
Tetrahymena Reservoir,6,0.5769,0.7596,0.577,0.548485,0.374818,-0.4751,0.2558,0.0654,1.274208,1.375203,0,0.0,0.0,6,9,0.8640799165900265,0.7466341022542271,0.871944285626422,0.7602868372365714,0.871944285626422,0.4128487659565306,0.21235976700309378,0.8640799165900255,0.7466341022542253,0.5509674419257325,0.25712108710023207
