2021-03-16_16-07-07.jpg; date_time: 2021-03-16 16:07:07; grid_n: 1; count: 102; total_area: 16871; mean_area: 165.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-08-07.jpg; date_time: 2021-03-16 16:08:07; grid_n: 1; count: 106; total_area: 17771; mean_area: 167.65; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-09-07.jpg; date_time: 2021-03-16 16:09:07; grid_n: 1; count: 104; total_area: 16799; mean_area: 161.53; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-10-07.jpg; date_time: 2021-03-16 16:10:07; grid_n: 1; count: 105; total_area: 17492; mean_area: 166.59; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-11-07.jpg; date_time: 2021-03-16 16:11:07; grid_n: 1; count: 97; total_area: 15615; mean_area: 160.98; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-12-07.jpg; date_time: 2021-03-16 16:12:07; grid_n: 1; count: 106; total_area: 18383; mean_area: 173.42; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-13-07.jpg; date_time: 2021-03-16 16:13:07; grid_n: 1; count: 85; total_area: 14928; mean_area: 175.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-14-07.jpg; date_time: 2021-03-16 16:14:07; grid_n: 1; count: 70; total_area: 12187; mean_area: 174.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-15-07.jpg; date_time: 2021-03-16 16:15:07; grid_n: 1; count: 59; total_area: 9669; mean_area: 163.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-16-07.jpg; date_time: 2021-03-16 16:16:07; grid_n: 1; count: 42; total_area: 7510; mean_area: 178.81; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-17-07.jpg; date_time: 2021-03-16 16:17:07; grid_n: 1; count: 28; total_area: 4357; mean_area: 155.61; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-18-07.jpg; date_time: 2021-03-16 16:18:07; grid_n: 1; count: 33; total_area: 5135; mean_area: 155.61; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-19-07.jpg; date_time: 2021-03-16 16:19:07; grid_n: 1; count: 28; total_area: 4768; mean_area: 170.29; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-20-07.jpg; date_time: 2021-03-16 16:20:07; grid_n: 1; count: 20; total_area: 2890; mean_area: 144.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-21-07.jpg; date_time: 2021-03-16 16:21:07; grid_n: 1; count: 25; total_area: 3795; mean_area: 151.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-22-07.jpg; date_time: 2021-03-16 16:22:07; grid_n: 1; count: 33; total_area: 5425; mean_area: 164.39; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-23-07.jpg; date_time: 2021-03-16 16:23:07; grid_n: 1; count: 34; total_area: 5252; mean_area: 154.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-24-07.jpg; date_time: 2021-03-16 16:24:07; grid_n: 1; count: 41; total_area: 6443; mean_area: 157.15; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-25-07.jpg; date_time: 2021-03-16 16:25:07; grid_n: 1; count: 39; total_area: 5687; mean_area: 145.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-26-07.jpg; date_time: 2021-03-16 16:26:07; grid_n: 1; count: 44; total_area: 6359; mean_area: 144.52; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-27-07.jpg; date_time: 2021-03-16 16:27:07; grid_n: 1; count: 52; total_area: 7534; mean_area: 144.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-28-07.jpg; date_time: 2021-03-16 16:28:07; grid_n: 1; count: 55; total_area: 7636; mean_area: 138.84; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-29-07.jpg; date_time: 2021-03-16 16:29:07; grid_n: 1; count: 56; total_area: 7510; mean_area: 134.11; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-30-07.jpg; date_time: 2021-03-16 16:30:07; grid_n: 1; count: 60; total_area: 8123; mean_area: 135.38; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-31-07.jpg; date_time: 2021-03-16 16:31:07; grid_n: 1; count: 62; total_area: 8502; mean_area: 137.13; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-32-07.jpg; date_time: 2021-03-16 16:32:07; grid_n: 1; count: 64; total_area: 9146; mean_area: 142.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-33-07.jpg; date_time: 2021-03-16 16:33:07; grid_n: 1; count: 65; total_area: 8878; mean_area: 136.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-34-07.jpg; date_time: 2021-03-16 16:34:07; grid_n: 1; count: 66; total_area: 9087; mean_area: 137.68; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-35-07.jpg; date_time: 2021-03-16 16:35:07; grid_n: 1; count: 70; total_area: 9571; mean_area: 136.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-36-07.jpg; date_time: 2021-03-16 16:36:07; grid_n: 1; count: 74; total_area: 9832; mean_area: 132.86; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-37-07.jpg; date_time: 2021-03-16 16:37:07; grid_n: 1; count: 73; total_area: 9818; mean_area: 134.49; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-38-07.jpg; date_time: 2021-03-16 16:38:07; grid_n: 1; count: 75; total_area: 10727; mean_area: 143.03; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
