"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/06 16:29'00","44322.6868055556","  18.0000","","","","","","","",
"2021/05/06 16:30'00","44322.6875000000","  18.1000","","","","","","","",
"2021/05/06 16:31'00","44322.6881944444","  18.1000","","","","","","","",
"2021/05/06 16:32'00","44322.6888888889","  17.7000","","","","","","","",
"2021/05/06 16:33'00","44322.6895833333","  17.1000","","","","","","","",
"2021/05/06 16:34'00","44322.6902777778","  16.7000","","","","","","","",
"2021/05/06 16:35'00","44322.6909722222","  16.4000","","","","","","","",
"2021/05/06 16:36'00","44322.6916666667","  16.2000","","","","","","","",
"2021/05/06 16:37'00","44322.6923611111","  16.0000","","","","","","","",
"2021/05/06 16:38'00","44322.6930555556","  15.8000","","","","","","","",
"2021/05/06 16:39'00","44322.6937500000","  15.7000","","","","","","","",
"2021/05/06 16:40'00","44322.6944444444","  15.5000","","","","","","","",
"2021/05/06 16:41'00","44322.6951388889","  15.5000","","","","","","","",
"2021/05/06 16:42'00","44322.6958333333","  15.3000","","","","","","","",
"2021/05/06 16:43'00","44322.6965277778","  15.4000","","","","","","","",
"2021/05/06 16:44'00","44322.6972222222","  15.4000","","","","","","","",
"2021/05/06 16:45'00","44322.6979166667","  15.5000","","","","","","","",
"2021/05/06 16:46'00","44322.6986111111","  15.6000","","","","","","","",
"2021/05/06 16:47'00","44322.6993055556","  15.8000","","","","","","","",
"2021/05/06 16:48'00","44322.7000000000","  15.9000","","","","","","","",
"2021/05/06 16:49'00","44322.7006944444","  16.0000","","","","","","","",
"2021/05/06 16:50'00","44322.7013888889","  16.3000","","","","","","","",
"2021/05/06 16:51'00","44322.7020833333","  16.4000","","","","","","","",
"2021/05/06 16:52'00","44322.7027777778","  16.6000","","","","","","","",
"2021/05/06 16:53'00","44322.7034722222","  16.7000","","","","","","","",
"2021/05/06 16:54'00","44322.7041666667","  16.9000","","","","","","","",
"2021/05/06 16:55'00","44322.7048611111","  16.9000","","","","","","","",
"2021/05/06 16:56'00","44322.7055555556","  17.1000","","","","","","","",
"2021/05/06 16:57'00","44322.7062500000","  17.1000","","","","","","","",
"2021/05/06 16:58'00","44322.7069444444","  17.1000","","","","","","","",
"2021/05/06 16:59'00","44322.7076388889","  17.1000","","","","","","","",
"2021/05/06 17:00'00","44322.7083333333","  17.1000","","","","","","","",
"2021/05/06 17:01'00","44322.7090277778","  17.1000","","","","","","","",
"2021/05/06 17:02'00","44322.7097222222","  17.0000","","","","","","","",
"2021/05/06 17:03'00","44322.7104166667","  16.9000","","","","","","","",
"2021/05/06 17:04'00","44322.7111111111","  16.8000","","","","","","","",
"2021/05/06 17:05'00","44322.7118055556","  16.7000","","","","","","","",
"2021/05/06 17:06'00","44322.7125000000","  16.5000","","","","","","","",
"2021/05/06 17:07'00","44322.7131944444","  16.3000","","","","","","","",
"2021/05/06 17:08'00","44322.7138888889","  16.1000","","","","","","","",
"2021/05/06 17:09'00","44322.7145833333","  16.0000","","","","","","","",
"2021/05/06 17:10'00","44322.7152777778","  15.8000","","","","","","","",
"2021/05/06 17:11'00","44322.7159722222","  15.6000","","","","","","","",
"2021/05/06 17:12'00","44322.7166666667","  15.5000","","","","","","","",
"2021/05/06 17:13'00","44322.7173611111","  15.4000","","","","","","","",
"2021/05/06 17:14'00","44322.7180555556","  15.4000","","","","","","","",
"2021/05/06 17:15'00","44322.7187500000","  15.3000","","","","","","","",
"2021/05/06 17:16'00","44322.7194444444","  15.3000","","","","","","","",
"2021/05/06 17:17'00","44322.7201388889","  15.4000","","","","","","","",
"2021/05/06 17:18'00","44322.7208333333","  15.5000","","","","","","","",
"2021/05/06 17:19'00","44322.7215277778","  15.6000","","","","","","","",
"2021/05/06 17:20'00","44322.7222222222","  15.8000","","","","","","","",
"2021/05/06 17:21'00","44322.7229166667","  16.0000","","","","","","","",
"2021/05/06 17:22'00","44322.7236111111","  16.2000","","","","","","","",
"2021/05/06 17:23'00","44322.7243055556","  16.4000","","","","","","","",
"2021/05/06 17:24'00","44322.7250000000","  16.5000","","","","","","","",
"2021/05/06 17:25'00","44322.7256944444","  16.8000","","","","","","","",
"2021/05/06 17:26'00","44322.7263888889","  16.9000","","","","","","","",
"2021/05/06 17:27'00","44322.7270833333","  17.0000","","","","","","","",
"2021/05/06 17:28'00","44322.7277777778","  17.1000","","","","","","","",
"2021/05/06 17:29'00","44322.7284722222","  17.2000","","","","","","","",
"2021/05/06 17:30'00","44322.7291666667","  17.3000","","","","","","","",
"2021/05/06 17:31'00","44322.7298611111","  17.3000","","","","","","","",
"2021/05/06 17:32'00","44322.7305555556","  17.3000","","","","","","","",
"2021/05/06 17:33'00","44322.7312500000","  17.2000","","","","","","","",
