reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,30,0.4,0.6398,0.4093,0.781781,0.592375,0.1848,0.4365,0.1905,0.904655,0.771126,0,0.01,0.0,30,0,1.0,1.0,1.0,1.0,1.0,0.004787011837686887,2.2210379177188518e-05,1.0,1.0,0.004789199857061039,2.1611518967731592e-05
Tetrahymena Reservoir,30,0.3461,0.5962,0.3554,0.815938,0.646931,0.1337,0.3752,0.1407,0.932608,0.819516,0,0.0,0.0,30,1,0.8622022244447252,0.7433926758374322,0.8614080243505441,0.7420237844155075,0.8614080243505441,0.5125221976865137,0.2552519889391425,0.8622022244447254,0.7433926758374326,0.5094062376894234,0.2445050806261533
Tetrahymena Reservoir,30,0.3535,0.5994,0.3593,0.794853,0.641623,0.0767,0.3158,0.0997,0.967475,0.873847,0,0.0,0.0,30,2,0.5807184258559792,0.3372338901286464,0.5820439352700071,0.3387751425845962,0.5820439352700071,0.8038766452443885,0.6562733079496722,0.5807184258559789,0.337233890128646,0.8263334717459174,0.6374801819026092
Tetrahymena Reservoir,30,0.3765,0.6177,0.3816,0.769831,0.620075,0.0219,0.2705,0.0732,1.000628,0.926765,0,0.0,0.0,30,3,0.34036513110104016,0.11584842246942825,0.33932358799404905,0.11514049736915515,0.33932358799404905,0.9171034140811465,0.8800166239266067,0.34036513110104033,0.11584842246942838,0.9616955073345236,0.8560505956578776
Tetrahymena Reservoir,30,0.3422,0.5917,0.3501,0.794049,0.654583,-0.1114,0.1293,0.0167,1.066615,1.053027,0,0.0,0.0,30,4,0.1953325324231783,0.038154798222852004,0.19075954888235766,0.036389205489800604,0.19075954888235766,0.9610626576098694,0.9589002336647777,0.19533253242317822,0.03815479822285197,1.004394177562571,0.933754337704428
Tetrahymena Reservoir,30,0.2542,0.5152,0.2654,0.849567,0.742002,-0.124,0.0516,0.0027,1.072659,1.064994,0,0.0,0.0,30,5,0.11918135107346699,0.01420419444369699,0.11120042109543571,0.012365533651802223,0.11120042109543571,0.9776457985415513,0.9825909636971988,0.11918135107346693,0.014204194443696977,1.0170434913771396,0.9574217938378615
Tetrahymena Reservoir,30,0.2572,0.5313,0.2822,0.848618,0.737789,-0.09,0.0673,0.0045,1.060449,1.035292,0,0.0,0.0,30,6,0.08889947389379889,0.00790311645859423,0.0848302094154888,0.007196164429475685,0.0848302094154888,0.9810574660902859,0.9860445567706119,0.08889947389379896,0.007903116458594242,1.0220498416688095,0.9616733043276012
Tetrahymena Reservoir,30,0.3463,0.637,0.4058,0.801112,0.646648,-0.1354,0.0457,0.0021,1.079504,1.083807,0,0.0,0.0,30,7,0.09920961542963697,0.009842547793696461,0.11520844913127341,0.013272986751233213,0.11520844913127341,0.9842300657866144,0.9760564421675617,0.09920961542963694,0.009842547793696456,1.0138445545537162,0.9559740059961837
Tetrahymena Reservoir,30,0.3252,0.6229,0.388,0.810326,0.66541,-0.1976,-0.0311,0.001,1.108674,1.143171,0,0.0,0.0,30,8,0.1420318397907448,0.0201730435143438,0.14967365212797487,0.022402202141326037,0.14967365212797487,0.9753245849201235,0.9639817058088911,0.1420318397907447,0.020173043514343774,1.0064790076566223,0.9421342234750155
Tetrahymena Reservoir,30,0.2716,0.5579,0.3112,0.834836,0.715122,-0.195,-0.105,0.011,1.107505,1.140761,0,0.0,0.0,30,9,0.14834013298780188,0.02200479505483875,0.1361256730957103,0.018530198875760188,0.1361256730957103,0.9690391409293324,0.963518904271544,0.148340132987802,0.02200479505483878,1.00411155337188,0.9377072330904225
Tetrahymena Reservoir,30,0.2284,0.5083,0.2584,0.872754,0.750552,-0.1173,-0.0469,0.0022,1.05473,1.073872,0,0.0,0.0,30,10,0.07196691714201021,0.005179237162924964,0.10813940365628835,0.01169413062313767,0.10813940365628835,0.9877586743352995,0.9613871932214278,0.0719669171420102,0.0051792371629249614,0.9958630204826816,0.9573458792098531
Tetrahymena Reservoir,30,0.2147,0.4974,0.2474,0.884149,0.759524,-0.0531,0.1291,0.0167,1.023138,1.016326,0,0.0,0.0,30,11,0.0001602870928304774,2.5691952128046074e-08,0.058438678299762147,0.0034150791214230913,0.058438678299762147,0.9960111869389622,0.9638698995988955,0.0001602870928304883,2.5691952128049578e-08,0.9986320808139106,0.968222617794678
Tetrahymena Reservoir,30,0.2291,0.5215,0.272,0.879435,0.744427,0.0226,0.2307,0.0532,0.985682,0.943274,0,0.0,0.0,30,12,-0.048867022834662495,0.002387985920723426,0.0013158187933266926,1.7313790968717134e-06,0.0013158187933266926,1.001645578745911,0.9657014243980024,-0.04886702283466197,0.0023879859207233743,0.9970913809774905,0.9652373548109214
Tetrahymena Reservoir,30,0.2726,0.5663,0.3207,0.857016,0.700925,0.0851,0.3057,0.0935,0.953681,0.88302,0,0.0,0.0,30,13,-0.09888867906873566,0.009778970847959399,0.04051732190249707,0.001641653374150569,0.04051732190249707,1.0040536996369347,0.9620712870587943,0.0988886790687356,0.009778970847959385,0.9939064241944879,0.9590807890673402
Tetrahymena Reservoir,30,0.3207,0.5951,0.3542,0.824061,0.65166,0.0895,0.3259,0.1062,0.956271,0.879186,0,0.0,0.0,30,14,-0.13525711122528927,0.018294486137010273,0.06252698123908854,0.0039096233828733295,0.06252698123908854,0.9978908097986964,0.9555839324008595,0.13525711122528938,0.018294486137010305,0.9957764130554283,0.9533295379102675
Tetrahymena Reservoir,30,0.3057,0.571,0.326,0.823003,0.661899,0.089,0.3325,0.1105,0.96102,0.878872,0,0.0,0.0,30,15,-0.12831082399058802,0.016463667553143657,0.066631557336467,0.0044397644330828896,0.066631557336467,0.9855346231685241,0.9491452786080514,0.12831082399058813,0.016463667553143685,1.0006826591401867,0.9529123660425505
Tetrahymena Reservoir,30,0.3082,0.5788,0.335,0.81251,0.65344,-0.0056,0.2528,0.0639,1.009703,0.970169,0,0.0,0.0,30,16,-0.06928290187412943,0.0048001204921002474,0.04073654613622083,0.0016594661911084484,0.04073654613622083,0.9760962374773664,0.9430481906801197,0.06928290187412932,0.004800120492100232,1.0054785150067524,0.9620680787887181
Tetrahymena Reservoir,30,0.3482,0.6203,0.3848,0.787552,0.612185,-0.2627,0.1443,0.0208,1.1314,1.218126,0,0.0,0.0,30,17,-0.0038457981843547625,1.4790163674786387e-05,0.005865199147121316,3.440056103539261e-05,0.005865199147121316,0.9754512608013668,0.939150229102295,0.0038457981843544654,1.4790163674784103e-05,1.0083143432709354,0.967502520538584
Tetrahymena Reservoir,30,0.34,0.6053,0.3664,0.792637,0.619995,-0.3832,0.0923,0.0085,1.188475,1.331841,0,0.0,0.0,30,18,0.0006456780574955587,4.16900153931238e-07,0.0070846201606669275,5.0191842820928284e-05,0.0070846201606669275,0.9756140322803156,0.9392809534169458,-0.0006456780574953873,4.169001539310166e-07,1.0116386925219856,0.964990810717611
Tetrahymena Reservoir,30,0.3244,0.5878,0.3455,0.805788,0.636876,-0.4217,0.0757,0.0057,1.205164,1.363353,0,0.0,0.0,30,19,-0.0496381376015299,0.0024639447045484166,0.043600835293685844,0.0019010328383071212,0.043600835293685844,0.9794209150318317,0.9409187083149632,0.04963813760152986,0.0024639447045484127,1.0097250156465418,0.957023643395732
Tetrahymena Reservoir,30,0.3401,0.597,0.3565,0.799371,0.620675,-0.4032,0.1034,0.0107,1.197283,1.345581,0,0.0,0.0,30,20,-0.10393422903349725,0.010802323964787463,0.07481270115449641,0.005596940254031989,0.07481270115449641,0.981253226744507,0.9352541151260809,0.10393422903349722,0.010802323964787457,1.006056289750644,0.9500817951760901
Tetrahymena Reservoir,30,0.3658,0.6197,0.384,0.784255,0.593668,-0.1702,0.1423,0.0202,1.093381,1.122172,0,0.0,0.0,30,21,-0.13288430967705075,0.017658239758346326,0.07268409890883566,0.0052829782341894055,0.07268409890883566,0.982195638515795,0.9311617988085232,0.13288430967705078,0.017658239758346333,1.0044045108928443,0.9469646003397416
Tetrahymena Reservoir,30,0.3784,0.638,0.407,0.777124,0.58209,-0.1358,0.1252,0.0157,1.068969,1.080952,0,0.0,0.0,30,22,-0.1749180207935803,0.030596313998343387,0.02667113343801258,0.0007113493588682728,0.02667113343801258,0.9853450750342,0.9358084491247748,0.1749180207935804,0.030596313998343425,0.9992560010510593,0.9445591394986178
Tetrahymena Reservoir,30,0.3747,0.6478,0.4196,0.776967,0.584838,-0.0926,0.1836,0.0337,1.036797,1.02974,0,0.0,0.0,30,23,-0.19884385759434908,0.03953887970300178,0.009017708121355241,8.131905976195627e-05,0.009017708121355241,0.9825288892581928,0.9352372639200816,0.19884385759434903,0.03953887970300175,0.9903349689827091,0.9395159668264829
