"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/02/25 16:08'00","44252.6722222222","  18.0000","","","","","","","",
"2021/02/25 16:09'00","44252.6729166667","  18.2000","","","","","","","",
"2021/02/25 16:10'00","44252.6736111111","  18.5000","","","","","","","",
"2021/02/25 16:11'00","44252.6743055556","  18.8000","","","","","","","",
"2021/02/25 16:12'00","44252.6750000000","  19.8000","","","","","","","",
"2021/02/25 16:13'00","44252.6756944444","  20.5000","","","","","","","",
"2021/02/25 16:14'00","44252.6763888889","  21.1000","","","","","","","",
"2021/02/25 16:15'00","44252.6770833333","  21.3000","","","","","","","",
"2021/02/25 16:16'00","44252.6777777778","  21.4000","","","","","","","",
"2021/02/25 16:17'00","44252.6784722222","  21.5000","","","","","","","",
"2021/02/25 16:18'00","44252.6791666667","  21.6000","","","","","","","",
"2021/02/25 16:19'00","44252.6798611111","  21.7000","","","","","","","",
"2021/02/25 16:20'00","44252.6805555556","  21.7000","","","","","","","",
"2021/02/25 16:21'00","44252.6812500000","  21.7000","","","","","","","",
"2021/02/25 16:22'00","44252.6819444444","  21.6000","","","","","","","",
"2021/02/25 16:23'00","44252.6826388889","  21.2000","","","","","","","",
"2021/02/25 16:24'00","44252.6833333333","  20.8000","","","","","","","",
"2021/02/25 16:25'00","44252.6840277778","  20.2000","","","","","","","",
"2021/02/25 16:26'00","44252.6847222222","  19.6000","","","","","","","",
"2021/02/25 16:27'00","44252.6854166667","  19.1000","","","","","","","",
"2021/02/25 16:28'00","44252.6861111111","  18.7000","","","","","","","",
"2021/02/25 16:29'00","44252.6868055556","  18.4000","","","","","","","",
"2021/02/25 16:30'00","44252.6875000000","  18.1000","","","","","","","",
"2021/02/25 16:31'00","44252.6881944444","  17.9000","","","","","","","",
"2021/02/25 16:32'00","44252.6888888889","  17.6000","","","","","","","",
"2021/02/25 16:33'00","44252.6895833333","  17.6000","","","","","","","",
"2021/02/25 16:34'00","44252.6902777778","  17.6000","","","","","","","",
"2021/02/25 16:35'00","44252.6909722222","  17.5000","","","","","","","",
"2021/02/25 16:36'00","44252.6916666667","  17.4000","","","","","","","",
"2021/02/25 16:37'00","44252.6923611111","  17.4000","","","","","","","",
"2021/02/25 16:38'00","44252.6930555556","  17.2000","","","","","","","",
"2021/02/25 16:39'00","44252.6937500000","  17.0000","","","","","","","",
"2021/02/25 16:40'00","44252.6944444444","  16.7000","","","","","","","",
"2021/02/25 16:41'00","44252.6951388889","  16.5000","","","","","","","",
"2021/02/25 16:42'00","44252.6958333333","  16.3000","","","","","","","",
"2021/02/25 16:43'00","44252.6965277778","  16.4000","","","","","","","",
"2021/02/25 16:44'00","44252.6972222222","  16.6000","","","","","","","",
"2021/02/25 16:45'00","44252.6979166667","  17.0000","","","","","","","",
"2021/02/25 16:46'00","44252.6986111111","  17.6000","","","","","","","",
"2021/02/25 16:47'00","44252.6993055556","  17.9000","","","","","","","",
"2021/02/25 16:48'00","44252.7000000000","  17.9000","","","","","","","",
"2021/02/25 16:49'00","44252.7006944444","  17.6000","","","","","","","",
"2021/02/25 16:50'00","44252.7013888889","  17.0000","","","","","","","",
"2021/02/25 16:51'00","44252.7020833333","  16.5000","","","","","","","",
"2021/02/25 16:52'00","44252.7027777778","  16.4000","","","","","","","",
"2021/02/25 16:53'00","44252.7034722222","  17.0000","","","","","","","",
"2021/02/25 16:54'00","44252.7041666667","  17.7000","","","","","","","",
"2021/02/25 16:55'00","44252.7048611111","  18.8000","","","","","","","",
"2021/02/25 16:56'00","44252.7055555556","  20.3000","","","","","","","",
"2021/02/25 16:57'00","44252.7062500000","  21.3000","","","","","","","",
"2021/02/25 16:58'00","44252.7069444444","  21.3000","","","","","","","",
"2021/02/25 16:59'00","44252.7076388889","  20.7000","","","","","","","",
"2021/02/25 17:00'00","44252.7083333333","  19.8000","","","","","","","",
"2021/02/25 17:01'00","44252.7090277778","  18.8000","","","","","","","",
"2021/02/25 17:02'00","44252.7097222222","  18.3000","","","","","","","",
"2021/02/25 17:03'00","44252.7104166667","  18.3000","","","","","","","",
"2021/02/25 17:04'00","44252.7111111111","  18.6000","","","","","","","",
"2021/02/25 17:05'00","44252.7118055556","  19.2000","","","","","","","",
"2021/02/25 17:06'00","44252.7125000000","  20.0000","","","","","","","",
"2021/02/25 17:07'00","44252.7131944444","  20.5000","","","","","","","",
"2021/02/25 17:08'00","44252.7138888889","  20.7000","","","","","","","",
"2021/02/25 17:09'00","44252.7145833333","  20.9000","","","","","","","",
"2021/02/25 17:10'00","44252.7152777778","  20.7000","","","","","","","",
"2021/02/25 17:11'00","44252.7159722222","  20.6000","","","","","","","",
"2021/02/25 17:12'00","44252.7166666667","  20.5000","","","","","","","",
"2021/02/25 17:13'00","44252.7173611111","  20.7000","","","","","","","",
"2021/02/25 17:14'00","44252.7180555556","  21.1000","","","","","","","",
"2021/02/25 17:15'00","44252.7187500000","  21.6000","","","","","","","",
"2021/02/25 17:16'00","44252.7194444444","  22.0000","","","","","","","",
"2021/02/25 17:17'00","44252.7201388889","  22.5000","","","","","","","",
"2021/02/25 17:18'00","44252.7208333333","  22.7000","","","","","","","",
"2021/02/25 17:19'00","44252.7215277778","  23.0000","","","","","","","",
"2021/02/25 17:20'00","44252.7222222222","  23.1000","","","","","","","",
"2021/02/25 17:21'00","44252.7229166667","  23.2000","","","","","","","",
"2021/02/25 17:22'00","44252.7236111111","  23.3000","","","","","","","",
"2021/02/25 17:23'00","44252.7243055556","  23.5000","","","","","","","",
"2021/02/25 17:24'00","44252.7250000000","  23.7000","","","","","","","",
"2021/02/25 17:25'00","44252.7256944444","  23.8000","","","","","","","",
"2021/02/25 17:26'00","44252.7263888889","  24.1000","","","","","","","",
"2021/02/25 17:27'00","44252.7270833333","  24.1000","","","","","","","",
"2021/02/25 17:28'00","44252.7277777778","  24.2000","","","","","","","",
"2021/02/25 17:29'00","44252.7284722222","  24.1000","","","","","","","",
"2021/02/25 17:30'00","44252.7291666667","  23.9000","","","","","","","",
"2021/02/25 17:31'00","44252.7298611111","  23.7000","","","","","","","",
"2021/02/25 17:32'00","44252.7305555556","  23.5000","","","","","","","",
"2021/02/25 17:33'00","44252.7312500000","  23.4000","","","","","","","",
"2021/02/25 17:34'00","44252.7319444444","  23.3000","","","","","","","",
"2021/02/25 17:35'00","44252.7326388889","  23.1000","","","","","","","",
"2021/02/25 17:36'00","44252.7333333333","  23.0000","","","","","","","",
"2021/02/25 17:37'00","44252.7340277778","  22.7000","","","","","","","",
"2021/02/25 17:38'00","44252.7347222222","  22.0000","","","","","","","",
"2021/02/25 17:39'00","44252.7354166667","  21.2000","","","","","","","",
"2021/02/25 17:40'00","44252.7361111111","  20.3000","","","","","","","",
"2021/02/25 17:41'00","44252.7368055556","  19.3000","","","","","","","",
"2021/02/25 17:42'00","44252.7375000000","  18.4000","","","","","","","",
"2021/02/25 17:43'00","44252.7381944444","  17.9000","","","","","","","",
"2021/02/25 17:44'00","44252.7388888889","  17.4000","","","","","","","",
"2021/02/25 17:45'00","44252.7395833333","  17.3000","","","","","","","",
"2021/02/25 17:46'00","44252.7402777778","  17.3000","","","","","","","",
"2021/02/25 17:47'00","44252.7409722222","  17.5000","","","","","","","",
"2021/02/25 17:48'00","44252.7416666667","  17.7000","","","","","","","",
"2021/02/25 17:49'00","44252.7423611111","  18.4000","","","","","","","",
"2021/02/25 17:50'00","44252.7430555556","  19.2000","","","","","","","",
"2021/02/25 17:51'00","44252.7437500000","  19.9000","","","","","","","",
"2021/02/25 17:52'00","44252.7444444444","  20.1000","","","","","","","",
"2021/02/25 17:53'00","44252.7451388889","  20.0000","","","","","","","",
"2021/02/25 17:54'00","44252.7458333333","  19.5000","","","","","","","",
"2021/02/25 17:55'00","44252.7465277778","  18.9000","","","","","","","",
"2021/02/25 17:56'00","44252.7472222222","  18.1000","","","","","","","",
"2021/02/25 17:57'00","44252.7479166667","  17.4000","","","","","","","",
"2021/02/25 17:58'00","44252.7486111111","  16.9000","","","","","","","",
"2021/02/25 17:59'00","44252.7493055556","  16.4000","","","","","","","",
"2021/02/25 18:00'00","44252.7500000000","  15.9000","","","","","","","",
"2021/02/25 18:01'00","44252.7506944444","  15.5000","","","","","","","",
"2021/02/25 18:02'00","44252.7513888889","  15.3000","","","","","","","",
"2021/02/25 18:03'00","44252.7520833333","  15.1000","","","","","","","",
"2021/02/25 18:04'00","44252.7527777778","  15.1000","","","","","","","",
"2021/02/25 18:05'00","44252.7534722222","  15.0000","","","","","","","",
"2021/02/25 18:06'00","44252.7541666667","  15.0000","","","","","","","",
"2021/02/25 18:07'00","44252.7548611111","  15.1000","","","","","","","",
"2021/02/25 18:08'00","44252.7555555556","  15.2000","","","","","","","",
"2021/02/25 18:09'00","44252.7562500000","  15.3000","","","","","","","",
"2021/02/25 18:10'00","44252.7569444444","  15.2000","","","","","","","",
"2021/02/25 18:11'00","44252.7576388889","  15.3000","","","","","","","",
"2021/02/25 18:12'00","44252.7583333333","  15.6000","","","","","","","",
"2021/02/25 18:13'00","44252.7590277778","  15.9000","","","","","","","",
"2021/02/25 18:14'00","44252.7597222222","  16.3000","","","","","","","",
"2021/02/25 18:15'00","44252.7604166667","  16.7000","","","","","","","",
"2021/02/25 18:16'00","44252.7611111111","  17.1000","","","","","","","",
"2021/02/25 18:17'00","44252.7618055556","  17.5000","","","","","","","",
"2021/02/25 18:18'00","44252.7625000000","  17.9000","","","","","","","",
