2021-02-26_16-50-10.jpg; date_time: 2021-02-26 16:50:10; grid_n: 1; count: 16; total_area: 1874; mean_area: 117.12; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-51-10.jpg; date_time: 2021-02-26 16:51:10; grid_n: 1; count: 16; total_area: 1801; mean_area: 112.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-52-10.jpg; date_time: 2021-02-26 16:52:10; grid_n: 1; count: 14; total_area: 1700; mean_area: 121.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-53-10.jpg; date_time: 2021-02-26 16:53:10; grid_n: 1; count: 11; total_area: 1020; mean_area: 92.727; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-54-10.jpg; date_time: 2021-02-26 16:54:10; grid_n: 1; count: 15; total_area: 1566; mean_area: 104.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-55-10.jpg; date_time: 2021-02-26 16:55:10; grid_n: 1; count: 16; total_area: 1746; mean_area: 109.12; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-56-10.jpg; date_time: 2021-02-26 16:56:10; grid_n: 1; count: 12; total_area: 1265; mean_area: 105.42; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-57-10.jpg; date_time: 2021-02-26 16:57:10; grid_n: 1; count: 12; total_area: 1129; mean_area: 94.083; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-58-10.jpg; date_time: 2021-02-26 16:58:10; grid_n: 1; count: 11; total_area: 1294; mean_area: 117.64; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_16-59-10.jpg; date_time: 2021-02-26 16:59:10; grid_n: 1; count: 11; total_area: 1163; mean_area: 105.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-00-10.jpg; date_time: 2021-02-26 17:00:10; grid_n: 1; count: 12; total_area: 1413; mean_area: 117.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-01-10.jpg; date_time: 2021-02-26 17:01:10; grid_n: 1; count: 19; total_area: 1802; mean_area: 94.842; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-02-10.jpg; date_time: 2021-02-26 17:02:10; grid_n: 1; count: 12; total_area: 1458; mean_area: 121.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-03-10.jpg; date_time: 2021-02-26 17:03:10; grid_n: 1; count: 15; total_area: 1662; mean_area: 110.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-04-10.jpg; date_time: 2021-02-26 17:04:10; grid_n: 1; count: 12; total_area: 1511; mean_area: 125.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-05-10.jpg; date_time: 2021-02-26 17:05:10; grid_n: 1; count: 12; total_area: 1415; mean_area: 117.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-06-10.jpg; date_time: 2021-02-26 17:06:10; grid_n: 1; count: 14; total_area: 1568; mean_area: 112; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-26_17-07-10.jpg; date_time: 2021-02-26 17:07:10; grid_n: 1; count: 14; total_area: 1655; mean_area: 118.21; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
