"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/03/12 15:58'42","44267.6657638889","  23.2000","","","","","","","",
"2021/03/12 15:59'42","44267.6664583333","  23.2000","","","","","","","",
"2021/03/12 16:00'42","44267.6671527778","  22.5000","","","","","","","",
"2021/03/12 16:01'42","44267.6678472222","  21.2000","","","","","","","",
"2021/03/12 16:02'42","44267.6685416667","  19.8000","","","","","","","",
"2021/03/12 16:03'42","44267.6692361111","  18.6000","","","","","","","",
"2021/03/12 16:04'42","44267.6699305556","  17.5000","","","","","","","",
"2021/03/12 16:05'42","44267.6706250000","  17.0000","","","","","","","",
"2021/03/12 16:06'42","44267.6713194444","  17.9000","","","","","","","",
"2021/03/12 16:07'42","44267.6720138889","  18.8000","","","","","","","",
"2021/03/12 16:08'42","44267.6727083333","  20.0000","","","","","","","",
"2021/03/12 16:09'42","44267.6734027778","  21.5000","","","","","","","",
"2021/03/12 16:10'42","44267.6740972222","  22.4000","","","","","","","",
"2021/03/12 16:11'42","44267.6747916667","  22.3000","","","","","","","",
"2021/03/12 16:12'42","44267.6754861111","  22.4000","","","","","","","",
"2021/03/12 16:13'42","44267.6761805556","  21.9000","","","","","","","",
"2021/03/12 16:14'42","44267.6768750000","  21.7000","","","","","","","",
"2021/03/12 16:15'42","44267.6775694444","  21.3000","","","","","","","",
"2021/03/12 16:16'42","44267.6782638889","  21.0000","","","","","","","",
"2021/03/12 16:17'42","44267.6789583333","  21.0000","","","","","","","",
"2021/03/12 16:18'42","44267.6796527778","  20.6000","","","","","","","",
"2021/03/12 16:19'42","44267.6803472222","  20.5000","","","","","","","",
"2021/03/12 16:20'42","44267.6810416667","  20.5000","","","","","","","",
"2021/03/12 16:21'42","44267.6817361111","  20.1000","","","","","","","",
"2021/03/12 16:22'42","44267.6824305556","  20.1000","","","","","","","",
"2021/03/12 16:23'42","44267.6831250000","  20.0000","","","","","","","",
"2021/03/12 16:24'42","44267.6838194444","  19.7000","","","","","","","",
"2021/03/12 16:25'42","44267.6845138889","  19.8000","","","","","","","",
"2021/03/12 16:26'42","44267.6852083333","  20.1000","","","","","","","",
"2021/03/12 16:27'42","44267.6859027778","  20.4000","","","","","","","",
"2021/03/12 16:28'42","44267.6865972222","  20.7000","","","","","","","",
"2021/03/12 16:29'42","44267.6872916667","  21.0000","","","","","","","",
"2021/03/12 16:30'42","44267.6879861111","  21.0000","","","","","","","",
"2021/03/12 16:31'42","44267.6886805556","  20.3000","","","","","","","",
"2021/03/12 16:32'42","44267.6893750000","  19.6000","","","","","","","",
"2021/03/12 16:33'42","44267.6900694444","  18.8000","","","","","","","",
"2021/03/12 16:34'42","44267.6907638889","  17.8000","","","","","","","",
"2021/03/12 16:35'42","44267.6914583333","  17.1000","","","","","","","",
"2021/03/12 16:36'42","44267.6921527778","  17.6000","","","","","","","",
"2021/03/12 16:37'42","44267.6928472222","  18.4000","","","","","","","",
"2021/03/12 16:38'42","44267.6935416667","  19.7000","","","","","","","",
"2021/03/12 16:39'42","44267.6942361111","  20.8000","","","","","","","",
"2021/03/12 16:40'42","44267.6949305556","  22.0000","","","","","","","",
