reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,test_ridge_score,test_cor,test_r2,washout_data,learnmodel_time,testing_time,E,delay_tp,temporal_cor,temporal_r2
Tetrahymena Reservoir,15,0.3301,0.5934,0.3522,0.3086,0.5579,0.3113,0,0.0,0.0,3,0,1.0,1.0
Tetrahymena Reservoir,15,0.5986,0.782,0.6115,0.6653,0.8288,0.6869,0,0.0,0.0,3,1,-0.028562570504881774,0.0008158204338463423
Tetrahymena Reservoir,15,0.4118,0.6459,0.4172,0.414,0.6577,0.4326,0,0.0,0.0,3,2,-0.07130135317306856,0.0050838829643106535
Tetrahymena Reservoir,15,0.1997,0.4554,0.2074,0.1581,0.4047,0.1638,0,0.0,0.0,3,3,0.10170017051264331,0.010342924682300724
Tetrahymena Reservoir,15,0.1566,0.4038,0.1631,0.0167,0.189,0.0357,0,0.0,0.0,3,4,-0.08574850948636248,0.007352806879132796
Tetrahymena Reservoir,15,0.0617,0.2527,0.0639,0.0288,0.1714,0.0294,0,0.0,0.0,3,5,-0.15974666941514154,0.025518998389230517
Tetrahymena Reservoir,15,0.1048,0.3438,0.1182,0.0187,0.1593,0.0254,0,0.0,0.0,3,6,0.027419158690698987,0.0007518102633057338
Tetrahymena Reservoir,15,0.0613,0.2627,0.069,-0.0248,0.013,0.0002,0,0.0,0.0,3,7,0.00431249310679628,1.859759679616543e-05
Tetrahymena Reservoir,15,0.0507,0.2432,0.0591,0.0135,0.1181,0.014,0,0.0,0.0,3,8,-0.057568616431971704,0.0033141455978914825
Tetrahymena Reservoir,15,0.0435,0.2289,0.0524,0.0272,0.1685,0.0284,0,0.0,0.0,3,9,0.11556572118091125,0.013355435912064121
Tetrahymena Reservoir,15,0.0296,0.1848,0.0342,0.0195,0.1423,0.0202,0,0.0,0.0,3,10,0.06031141252208943,0.0036374664804096454
Tetrahymena Reservoir,15,0.1375,0.4074,0.1659,-0.0429,0.0656,0.0043,0,0.0,0.0,3,11,-0.1254438541244527,0.015736160537596966
Tetrahymena Reservoir,15,0.0857,0.3071,0.0943,0.034,0.1884,0.0355,0,0.0,0.0,3,12,0.09877153033215841,0.009755815204156488
Tetrahymena Reservoir,15,0.1227,0.4037,0.1629,-0.0351,-0.0079,0.0001,0,0.0,0.0,3,13,0.0818931854584225,0.0067064938245275825
Tetrahymena Reservoir,15,0.0864,0.3076,0.0946,0.0319,0.1812,0.0328,0,0.0,0.0,3,14,-0.1471390753814207,0.021649907504099404
Tetrahymena Reservoir,15,0.0851,0.3234,0.1046,0.01,0.1259,0.0159,0,0.0,0.0,3,15,-0.02070006183321163,0.0004284925598987848
Tetrahymena Reservoir,15,0.0663,0.2662,0.0709,0.0641,0.2587,0.0669,0,0.0,0.0,3,16,0.016057830904695734,0.0002578539333638014
Tetrahymena Reservoir,15,0.0419,0.2162,0.0467,0.0238,0.1564,0.0245,0,0.0,0.0,3,17,-0.03848286709042294,0.0014809310594991567
Tetrahymena Reservoir,15,0.0391,0.212,0.0449,-0.016,0.0264,0.0007,0,0.0,0.0,3,18,-0.017108570781418315,0.0002927031941828005
Tetrahymena Reservoir,15,0.0262,0.1722,0.0297,0.0081,0.093,0.0086,0,0.0,0.0,3,19,-0.06432896722181095,0.004138216023824827
Tetrahymena Reservoir,15,0.0506,0.2319,0.0538,-0.0052,0.0861,0.0074,0,0.0,0.0,3,20,0.04165699602317891,0.0017353053176751437
Tetrahymena Reservoir,15,0.0787,0.3059,0.0936,-0.0032,0.072,0.0052,0,0.0,0.0,3,21,-0.112121949363812,0.012571331529141224
Tetrahymena Reservoir,15,0.131,0.4107,0.1686,0.0353,0.1887,0.0356,0,0.0,0.0,3,22,-0.05128715784735499,0.0026303725600595068
Tetrahymena Reservoir,15,0.1006,0.3349,0.1121,0.0411,0.2065,0.0426,0,0.0,0.0,3,23,0.03825975313756149,0.0014638087101471464
Tetrahymena Reservoir,15,0.065,0.2722,0.0741,0.0023,0.086,0.0074,0,0.0,0.0,3,24,-0.028856222033790947,0.0008326815500634421
Tetrahymena Reservoir,15,0.0617,0.258,0.0666,-0.01,0.0625,0.0039,0,0.0,0.0,3,25,0.06362221884350598,0.004047786730570968
Tetrahymena Reservoir,15,0.062,0.2615,0.0684,-0.0035,0.077,0.0059,0,0.0,0.0,3,26,-0.04308970936490092,0.00185672305315163
Tetrahymena Reservoir,15,0.1017,0.3713,0.1378,-0.0352,0.0067,0.0,0,0.0,0.0,3,27,-0.030199314574512595,0.0009119986007703688
Tetrahymena Reservoir,15,0.0642,0.2727,0.0744,0.0274,0.1663,0.0277,0,0.0,0.0,3,28,-0.003239872066469434,1.0496771007088922e-05
Tetrahymena Reservoir,15,0.0943,0.3149,0.0992,0.0042,0.1152,0.0133,0,0.0,0.0,3,29,-0.006742610516580631,4.5462796578303725e-05
