"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/04/12 16:27'16","44298.6856018519","  19.3000","","","","","","","",
"2021/04/12 16:28'16","44298.6862962963","  20.9000","","","","","","","",
"2021/04/12 16:29'16","44298.6869907407","  22.3000","","","","","","","",
"2021/04/12 16:30'16","44298.6876851852","  23.2000","","","","","","","",
"2021/04/12 16:31'16","44298.6883796296","  23.4000","","","","","","","",
"2021/04/12 16:32'16","44298.6890740741","  24.1000","","","","","","","",
"2021/04/12 16:33'16","44298.6897685185","  24.0000","","","","","","","",
"2021/04/12 16:34'16","44298.6904629630","  24.5000","","","","","","","",
"2021/04/12 16:35'16","44298.6911574074","  24.3000","","","","","","","",
"2021/04/12 16:36'16","44298.6918518519","  24.7000","","","","","","","",
"2021/04/12 16:37'16","44298.6925462963","  24.5000","","","","","","","",
"2021/04/12 16:38'16","44298.6932407407","  24.8000","","","","","","","",
"2021/04/12 16:39'16","44298.6939351852","  24.8000","","","","","","","",
"2021/04/12 16:40'16","44298.6946296296","  24.9000","","","","","","","",
"2021/04/12 16:41'16","44298.6953240741","  25.0000","","","","","","","",
"2021/04/12 16:42'16","44298.6960185185","  24.9000","","","","","","","",
"2021/04/12 16:43'16","44298.6967129630","  25.1000","","","","","","","",
"2021/04/12 16:44'16","44298.6974074074","  25.0000","","","","","","","",
"2021/04/12 16:45'16","44298.6981018519","  25.2000","","","","","","","",
"2021/04/12 16:46'16","44298.6987962963","  25.0000","","","","","","","",
"2021/04/12 16:47'16","44298.6994907407","  25.3000","","","","","","","",
"2021/04/12 16:48'16","44298.7001851852","  25.0000","","","","","","","",
"2021/04/12 16:49'16","44298.7008796296","  25.4000","","","","","","","",
"2021/04/12 16:50'16","44298.7015740741","  25.0000","","","","","","","",
"2021/04/12 16:51'16","44298.7022685185","  25.4000","","","","","","","",
"2021/04/12 16:52'16","44298.7029629630","  25.0000","","","","","","","",
"2021/04/12 16:53'16","44298.7036574074","  25.4000","","","","","","","",
"2021/04/12 16:54'16","44298.7043518519","  25.1000","","","","","","","",
"2021/04/12 16:55'16","44298.7050462963","  25.4000","","","","","","","",
"2021/04/12 16:56'16","44298.7057407407","  25.1000","","","","","","","",
"2021/04/12 16:57'16","44298.7064351852","  25.4000","","","","","","","",
"2021/04/12 16:58'16","44298.7071296296","  25.2000","","","","","","","",
"2021/04/12 16:59'16","44298.7078240741","  25.4000","","","","","","","",
"2021/04/12 17:00'16","44298.7085185185","  25.3000","","","","","","","",
"2021/04/12 17:01'16","44298.7092129630","  25.4000","","","","","","","",
"2021/04/12 17:02'16","44298.7099074074","  25.3000","","","","","","","",
"2021/04/12 17:03'16","44298.7106018519","  25.4000","","","","","","","",
"2021/04/12 17:04'16","44298.7112962963","  25.4000","","","","","","","",
"2021/04/12 17:05'16","44298.7119907407","  25.3000","","","","","","","",
"2021/04/12 17:06'16","44298.7126851852","  25.5000","","","","","","","",
"2021/04/12 17:07'16","44298.7133796296","  25.3000","","","","","","","",
"2021/04/12 17:08'16","44298.7140740741","  25.6000","","","","","","","",
"2021/04/12 17:09'16","44298.7147685185","  25.3000","","","","","","","",
"2021/04/12 17:10'16","44298.7154629630","  25.6000","","","","","","","",
"2021/04/12 17:11'16","44298.7161574074","  25.3000","","","","","","","",
"2021/04/12 17:12'16","44298.7168518519","  25.6000","","","","","","","",
"2021/04/12 17:13'16","44298.7175462963","  25.3000","","","","","","","",
"2021/04/12 17:14'16","44298.7182407407","  25.6000","","","","","","","",
"2021/04/12 17:15'16","44298.7189351852","  25.3000","","","","","","","",
"2021/04/12 17:16'16","44298.7196296296","  25.7000","","","","","","","",
"2021/04/12 17:17'16","44298.7203240741","  25.3000","","","","","","","",
"2021/04/12 17:18'16","44298.7210185185","  25.7000","","","","","","","",
"2021/04/12 17:19'16","44298.7217129630","  25.3000","","","","","","","",
"2021/04/12 17:20'16","44298.7224074074","  25.7000","","","","","","","",
"2021/04/12 17:21'16","44298.7231018519","  25.3000","","","","","","","",
"2021/04/12 17:22'16","44298.7237962963","  25.7000","","","","","","","",
"2021/04/12 17:23'16","44298.7244907407","  25.3000","","","","","","","",
"2021/04/12 17:24'16","44298.7251851852","  25.7000","","","","","","","",
"2021/04/12 17:25'16","44298.7258796296","  25.3000","","","","","","","",
"2021/04/12 17:26'16","44298.7265740741","  25.7000","","","","","","","",
"2021/04/12 17:27'16","44298.7272685185","  25.3000","","","","","","","",
"2021/04/12 17:28'16","44298.7279629630","  25.7000","","","","","","","",
"2021/04/12 17:29'16","44298.7286574074","  25.3000","","","","","","","",
"2021/04/12 17:30'16","44298.7293518519","  25.1000","","","","","","","",
"2021/04/12 17:31'16","44298.7300462963","  25.0000","","","","","","","",
"2021/04/12 17:32'16","44298.7307407407","  24.9000","","","","","","","",
"2021/04/12 17:33'16","44298.7314351852","  24.7000","","","","","","","",
"2021/04/12 17:34'16","44298.7321296296","  25.3000","","","","","","","",
"2021/04/12 17:35'16","44298.7328240741","  25.0000","","","","","","","",
"2021/04/12 17:36'16","44298.7335185185","  25.5000","","","","","","","",
"2021/04/12 17:37'16","44298.7342129630","  25.2000","","","","","","","",
"2021/04/12 17:38'16","44298.7349074074","  25.6000","","","","","","","",
"2021/04/12 17:39'16","44298.7356018519","  25.2000","","","","","","","",
"2021/04/12 17:40'16","44298.7362962963","  25.6000","","","","","","","",
"2021/04/12 17:41'16","44298.7369907407","  25.3000","","","","","","","",
"2021/04/12 17:42'16","44298.7376851852","  25.7000","","","","","","","",
"2021/04/12 17:43'16","44298.7383796296","  25.4000","","","","","","","",
"2021/04/12 17:44'16","44298.7390740741","  25.7000","","","","","","","",
"2021/04/12 17:45'16","44298.7397685185","  25.4000","","","","","","","",
"2021/04/12 17:46'16","44298.7404629630","  25.7000","","","","","","","",
"2021/04/12 17:47'16","44298.7411574074","  25.2000","","","","","","","",
"2021/04/12 17:48'16","44298.7418518519","  25.1000","","","","","","","",
"2021/04/12 17:49'16","44298.7425462963","  25.0000","","","","","","","",
"2021/04/12 17:50'16","44298.7432407407","  24.9000","","","","","","","",
"2021/04/12 17:51'16","44298.7439351852","  24.8000","","","","","","","",
"2021/04/12 17:52'16","44298.7446296296","  24.8000","","","","","","","",
"2021/04/12 17:53'16","44298.7453240741","  25.3000","","","","","","","",
"2021/04/12 17:54'16","44298.7460185185","  25.2000","","","","","","","",
"2021/04/12 17:55'16","44298.7467129630","  25.5000","","","","","","","",
"2021/04/12 17:56'16","44298.7474074074","  25.4000","","","","","","","",
"2021/04/12 17:57'16","44298.7481018519","  25.6000","","","","","","","",
"2021/04/12 17:58'16","44298.7487962963","  25.4000","","","","","","","",
"2021/04/12 17:59'16","44298.7494907407","  25.6000","","","","","","","",
"2021/04/12 18:00'16","44298.7501851852","  25.5000","","","","","","","",
"2021/04/12 18:01'16","44298.7508796296","  25.6000","","","","","","","",
"2021/04/12 18:02'16","44298.7515740741","  25.5000","","","","","","","",
"2021/04/12 18:03'16","44298.7522685185","  25.6000","","","","","","","",
"2021/04/12 18:04'16","44298.7529629630","  25.5000","","","","","","","",
"2021/04/12 18:05'16","44298.7536574074","  25.7000","","","","","","","",
"2021/04/12 18:06'16","44298.7543518519","  25.2000","","","","","","","",
"2021/04/12 18:07'16","44298.7550462963","  25.1000","","","","","","","",
"2021/04/12 18:08'16","44298.7557407407","  25.0000","","","","","","","",
"2021/04/12 18:09'16","44298.7564351852","  24.9000","","","","","","","",
"2021/04/12 18:10'16","44298.7571296296","  24.8000","","","","","","","",
"2021/04/12 18:11'16","44298.7578240741","  24.9000","","","","","","","",
"2021/04/12 18:12'16","44298.7585185185","  25.3000","","","","","","","",
"2021/04/12 18:13'16","44298.7592129630","  25.4000","","","","","","","",
"2021/04/12 18:14'16","44298.7599074074","  25.5000","","","","","","","",
"2021/04/12 18:15'16","44298.7606018519","  25.1000","","","","","","","",
"2021/04/12 18:16'16","44298.7612962963","  25.0000","","","","","","","",
"2021/04/12 18:17'16","44298.7619907407","  25.0000","","","","","","","",
"2021/04/12 18:18'16","44298.7626851852","  24.9000","","","","","","","",
"2021/04/12 18:19'16","44298.7633796296","  24.8000","","","","","","","",
