2021-04-15_16-33-13.jpg; date_time: 2021-04-15 16:33:13; grid_n: 1; count: 3; total_area: 750; mean_area: 250; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-34-13.jpg; date_time: 2021-04-15 16:34:13; grid_n: 1; count: 3; total_area: 788; mean_area: 262.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-35-13.jpg; date_time: 2021-04-15 16:35:13; grid_n: 1; count: 3; total_area: 801; mean_area: 267; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-36-13.jpg; date_time: 2021-04-15 16:36:13; grid_n: 1; count: 3; total_area: 769; mean_area: 256.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-37-13.jpg; date_time: 2021-04-15 16:37:13; grid_n: 1; count: 3; total_area: 801; mean_area: 267; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-38-13.jpg; date_time: 2021-04-15 16:38:13; grid_n: 1; count: 4; total_area: 907; mean_area: 226.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-39-13.jpg; date_time: 2021-04-15 16:39:13; grid_n: 1; count: 4; total_area: 890; mean_area: 222.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-40-13.jpg; date_time: 2021-04-15 16:40:13; grid_n: 1; count: 3; total_area: 524; mean_area: 174.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-41-13.jpg; date_time: 2021-04-15 16:41:13; grid_n: 1; count: 4; total_area: 695; mean_area: 173.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-42-13.jpg; date_time: 2021-04-15 16:42:13; grid_n: 1; count: 4; total_area: 747; mean_area: 186.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-43-13.jpg; date_time: 2021-04-15 16:43:13; grid_n: 1; count: 3; total_area: 569; mean_area: 189.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-44-13.jpg; date_time: 2021-04-15 16:44:13; grid_n: 1; count: 3; total_area: 559; mean_area: 186.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-45-13.jpg; date_time: 2021-04-15 16:45:13; grid_n: 1; count: 6; total_area: 1160; mean_area: 193.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-46-13.jpg; date_time: 2021-04-15 16:46:13; grid_n: 1; count: 4; total_area: 797; mean_area: 199.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-47-13.jpg; date_time: 2021-04-15 16:47:13; grid_n: 1; count: 5; total_area: 1058; mean_area: 211.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-48-13.jpg; date_time: 2021-04-15 16:48:13; grid_n: 1; count: 4; total_area: 893; mean_area: 223.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-49-13.jpg; date_time: 2021-04-15 16:49:13; grid_n: 1; count: 3; total_area: 769; mean_area: 256.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-50-13.jpg; date_time: 2021-04-15 16:50:13; grid_n: 1; count: 4; total_area: 1017; mean_area: 254.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-51-13.jpg; date_time: 2021-04-15 16:51:13; grid_n: 1; count: 3; total_area: 711; mean_area: 237; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-52-13.jpg; date_time: 2021-04-15 16:52:13; grid_n: 1; count: 3; total_area: 743; mean_area: 247.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-53-13.jpg; date_time: 2021-04-15 16:53:13; grid_n: 1; count: 5; total_area: 1288; mean_area: 257.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-54-13.jpg; date_time: 2021-04-15 16:54:13; grid_n: 1; count: 3; total_area: 697; mean_area: 232.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-55-13.jpg; date_time: 2021-04-15 16:55:13; grid_n: 1; count: 5; total_area: 1078; mean_area: 215.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-56-13.jpg; date_time: 2021-04-15 16:56:13; grid_n: 1; count: 4; total_area: 876; mean_area: 219; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-57-13.jpg; date_time: 2021-04-15 16:57:13; grid_n: 1; count: 4; total_area: 902; mean_area: 225.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-58-13.jpg; date_time: 2021-04-15 16:58:13; grid_n: 1; count: 4; total_area: 938; mean_area: 234.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_16-59-13.jpg; date_time: 2021-04-15 16:59:13; grid_n: 1; count: 4; total_area: 875; mean_area: 218.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
