2021-04-16_15-37-52.jpg; date_time: 2021-04-16 15:37:52; grid_n: 1; count: 2; total_area: 605; mean_area: 302.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-38-52.jpg; date_time: 2021-04-16 15:38:52; grid_n: 1; count: 1; total_area: 348; mean_area: 348; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-39-52.jpg; date_time: 2021-04-16 15:39:52; grid_n: 1; count: 1; total_area: 352; mean_area: 352; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-40-52.jpg; date_time: 2021-04-16 15:40:52; grid_n: 1; count: 1; total_area: 345; mean_area: 345; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-41-52.jpg; date_time: 2021-04-16 15:41:52; grid_n: 1; count: 2; total_area: 529; mean_area: 264.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-42-52.jpg; date_time: 2021-04-16 15:42:52; grid_n: 1; count: 1; total_area: 321; mean_area: 321; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-43-52.jpg; date_time: 2021-04-16 15:43:52; grid_n: 1; count: 2; total_area: 673; mean_area: 336.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-44-52.jpg; date_time: 2021-04-16 15:44:52; grid_n: 1; count: 2; total_area: 509; mean_area: 254.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-45-52.jpg; date_time: 2021-04-16 15:45:52; grid_n: 1; count: 1; total_area: 342; mean_area: 342; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-46-52.jpg; date_time: 2021-04-16 15:46:52; grid_n: 1; count: 1; total_area: 328; mean_area: 328; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-47-52.jpg; date_time: 2021-04-16 15:47:52; grid_n: 1; count: 2; total_area: 444; mean_area: 222; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-48-52.jpg; date_time: 2021-04-16 15:48:52; grid_n: 1; count: 2; total_area: 507; mean_area: 253.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-49-52.jpg; date_time: 2021-04-16 15:49:52; grid_n: 1; count: 2; total_area: 527; mean_area: 263.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-16_15-50-52.jpg; date_time: 2021-04-16 15:50:52; grid_n: 1; count: 3; total_area: 813; mean_area: 271; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
