"time","value_original","value"
0,0.5,16.6
1,0,15
2,0,15
3,0.142857143,15.6
4,0,15
5,0,15
6,0,15
7,0,15
8,0,15
9,0,15
10,0,15
11,0,15
12,0,15
13,0,15
14,0,15
15,0,15
16,0,15
17,0,15
18,0,15
19,3.357142857,19.6
20,10.28571429,21.9
21,11.4,22.1
22,7.428571429,21.2
23,33.97142857,24.5
24,38.31428571,24.7
25,21.11428571,23.4
26,38.75714286,24.8
27,20.68571429,23.4
28,166.7714286,28
29,150.4714286,27.8
30,132.5428571,27.5
31,93.87142857,26.7
32,88.95714286,26.6
33,71.11428571,26.1
34,61.57142857,25.8
35,64.25714286,25.9
36,37.11428571,24.7
37,57.3,25.6
38,24.9,23.8
39,21.95714286,23.5
40,17.32857143,23
41,40.15714286,24.8
42,23.78571429,23.7
43,12,22.2
44,22.3,23.5
45,34.32857143,24.5
46,7.1,21.1
47,0,15
48,2.285714286,18.8
49,5.714285714,20.6
50,0,15
51,0,15
52,0.142857143,15.6
53,0.285714286,16
54,4.614285714,20.2
55,0.142857143,15.6
56,0,15
57,0,15
58,0,15
59,0,15
60,0,15
61,0,15
62,0,15
63,0,15
64,0,15
65,0,15
66,0,15
67,0,15
68,0,15
69,0.642857143,16.8
70,0,15
71,0.5,16.6
72,1.714285714,18.3
73,1.642857143,18.3
74,0.357142857,16.2
75,4.785714286,20.3
76,12.28571429,22.2
77,15.07142857,22.7
78,15.01428571,22.7
79,12.21428571,22.2
80,12.71428571,22.3
81,0,15
82,9.428571429,21.7
83,31.64285714,24.3
84,16.18571429,22.8
85,28.87142857,24.1
86,17.92857143,23.1
87,0,15
88,10.92857143,22
89,5.685714286,20.6
90,5.928571429,20.7
91,9.928571429,21.8
92,1.428571429,18
93,10.57142857,21.9
94,3.428571429,19.6
95,24.11428571,23.7
96,0,15
97,0,15
98,0.214285714,15.8
99,0.642857143,16.8
100,0,15
101,0,15
102,0,15
103,0,15
104,0,15
105,0,15
106,0,15
107,0.18,15.7
108,0.72,17
109,0.057142857,15.2
110,0,15
111,0,15
112,0.107142857,15.4
113,8.25,21.4
114,0,15
115,0,15
116,0,15
117,0,15
118,0,15
119,0,15
120,0,15
121,0,15
122,0,15
123,3.785714286,19.8
124,0,15
125,0,15
126,0.071428571,15.3
127,0,15
128,0,15
129,1.785714286,18.4
130,26.1,23.9
131,67.85714286,26
132,28.11428571,24.1
133,123.5857143,27.3
134,160.2285714,27.9
135,144.0285714,27.7
136,128.2571429,27.4
137,122.9714286,27.3
138,87.78571429,26.6
139,113.1714286,27.1
140,88.01428571,26.6
141,68.78571429,26
142,65.98571429,25.9
143,0,15
144,23.2,23.6
145,56.32857143,25.6
146,23.77142857,23.7
147,63.11428571,25.8
148,45.4,25.1
149,9.928571429,21.8
150,28.3,24.1
151,4.5,20.1
152,2.428571429,19
153,0,15
154,0,15
155,0.085714286,15.4
156,1.785714286,18.4
157,0,15
158,0,15
159,0,15
160,0,15
161,0,15
162,0.342857143,16.2
163,0.328571429,16.1
164,0.035714286,15.2
165,0,15
166,0,15
167,0.057142857,15.2
168,1.642857143,18.3
169,0.357142857,16.2
170,8.357142857,21.4
171,16.92857143,22.9
172,5,20.4
173,10.21428571,21.9
174,1.071428571,17.6
175,0,15
176,0,15
177,0,15
178,0,15
179,0,15
180,3.571428571,19.7
181,6.585714286,20.9
182,49.52857143,25.3
183,29.71428571,24.2
184,8.642857143,21.5
185,18.37142857,23.1
186,34.74285714,24.5
187,18.9,23.2
188,27.44285714,24
189,27.4,24
190,28.57142857,24.1
191,34.35714286,24.5
192,44,25
193,41.68571429,24.9
194,26.24285714,23.9
195,12.76428571,22.3
196,17.25714286,23
197,38.05714286,24.7
198,18.27142857,23.1
199,0,15
200,8.657142857,21.5
201,6.9,21
202,0.428571429,16.4
203,3.071428571,19.4
204,0,15
205,6.357142857,20.9
206,2.857142857,19.3
207,4.107142857,20
208,0.142857143,15.6
209,4.821428571,20.3
210,0.5,16.6
211,7,21.1
212,0,15
213,0,15
214,0,15
215,0,15
216,0,15
217,0,15
218,0,15
219,0,15
220,0,15
221,0,15
222,0,15
223,0,15
224,0,15
225,0,15
226,0,15
227,16.42857143,22.9
228,10.28571429,21.9
229,10.64285714,21.9
230,10.79285714,22
231,2.714285714,19.2
232,16.03571429,22.8
233,19.35714286,23.2
234,36.92857143,24.7
235,31.28571429,24.3
236,7.9,21.3
237,28.84285714,24.1
238,40.74285714,24.9
239,52.92857143,25.4
240,54.06428571,25.5
241,39.17142857,24.8
242,40.98571429,24.9
243,49.45714286,25.3
244,27.5,24
245,27.97142857,24
246,40.74285714,24.9
247,23.6,23.7
248,18.12857143,23.1
249,16.47142857,22.9
250,14.01428571,22.5
251,16.66428571,22.9
252,18.5,23.1
253,18,23.1
254,9.628571429,21.7
255,3.421428571,19.6
256,3.571428571,19.7
257,0,15
258,0,15
259,0.085714286,15.4
260,3.971428571,19.9
261,12.9,22.4
262,3.157142857,19.5
263,8.4,21.4
264,6.485714286,20.9
265,1.142857143,17.7
266,0,15
267,1,17.5
268,0.214285714,15.8
269,0,15
270,0,15
271,0,15
272,0,15
273,0,15
274,0,15
275,0,15
276,0,15
277,0,15
278,0,15
279,9.428571429,21.7
280,22.25,23.5
281,7.25,21.1
282,4.142857143,20
283,3.285714286,19.5
284,20.32857143,23.3
285,10.01428571,21.8
286,15.3,22.7
287,4.857142857,20.3
288,11.5,22.1
289,10.35714286,21.9
290,7.085714286,21.1
291,8.542857143,21.5
292,4.428571429,20.1
293,14.27142857,22.6
294,8.142857143,21.4
295,0,15
296,12.2,22.2
297,2.3,18.9
298,3.457142857,19.6
299,0.228571429,15.8
300,0,15
301,2.071428571,18.7
302,4.3,20.1
303,14.77142857,22.6
304,7.257142857,21.1
305,0.057142857,15.2
306,0.057142857,15.2
307,0,15
308,0.285714286,16
309,1.828571429,18.4
310,4.728571429,20.2
311,0.242857143,15.9
312,4.485714286,20.1
313,5.628571429,20.6
314,0,15
315,1.714285714,18.3
316,5.785714286,20.7
317,16.35714286,22.9
318,12.35714286,22.3
319,8.285714286,21.4
320,8.035714286,21.3
321,5.714285714,20.6
322,0,15
323,0,15
324,0,15
325,0,15
326,0,15
327,0,15
328,0,15
329,0,15
330,0,15
331,0,15
332,0,15
333,0,15
334,0,15
335,0,15
336,2.857142857,19.3
337,0.085714286,15.4
338,0,15
339,0,15
340,0,15
341,2.5,19
342,0,15
343,13.85714286,22.5
344,9.171428571,21.6
345,10.01428571,21.8
346,8.8,21.5
347,8.471428571,21.5
348,0.728571429,17
349,8.178571429,21.4
350,6.685714286,21
351,0.857142857,17.2
352,6.357142857,20.9
353,12.92857143,22.4
354,17.72857143,23
355,17.71428571,23
356,13,22.4
357,3.785714286,19.8
358,0,15
359,0,15
360,0.028571429,15.1
361,0.028571429,15.1
362,0.171428571,15.7
363,0.085714286,15.4
364,0,15
365,0,15
366,0,15
367,0,15
368,0,15
369,0,15
370,0,15
371,0,15
372,0,15
373,2.857142857,19.3
374,1.285714286,17.8
375,2.928571429,19.3
376,2.571428571,19.1
377,6.178571429,20.8
378,0,15
379,3.071428571,19.4
380,5.928571429,20.7
381,1.642857143,18.3
382,0,15
383,0,15
384,13.92857143,22.5
385,23.21428571,23.6
386,16,22.8
387,0,15
388,2.785714286,19.2
389,0,15
390,0,15
391,0,15
392,0.028571429,15.1
393,0,15
394,0.571428571,16.7
395,0,15
396,0,15
397,0,15
398,0.571428571,16.7
399,0.157142857,15.6
400,0.142857143,15.6
401,4.328571429,20.1
402,8.857142857,21.6
403,5.114285714,20.4
404,14.05,22.5
405,7.285714286,21.1
406,8.857142857,21.6
407,5.75,20.6
408,6.59047619,20.9
409,0.966666667,17.4
410,1.471428571,18.1
411,0.057142857,15.2
412,0.057142857,15.2
413,0.1,15.4
414,0.257142857,15.9
415,0.428571429,16.4
416,0.685714286,16.9
417,0.028571429,15.1
418,0.057142857,15.2
419,0.028571429,15.1
420,0,15
421,0,15
422,0,15
423,0.057142857,15.2
424,0.042857143,15.2
425,0,15
426,0,15
427,0,15
428,0,15
429,0,15
430,0,15
431,7.428571429,21.2
432,12.35714286,22.3
433,9.714285714,21.7
434,3.071428571,19.4
435,6.964285714,21
436,10.07142857,21.8
437,7,21.1
438,3.028571429,19.4
439,3.214285714,19.5
440,0,15
441,0,15
442,0,15
443,0,15
444,0,15
445,0,15
446,0.057142857,15.2
447,0.085714286,15.4
448,0.228571429,15.8
449,0,15
450,0.142857143,15.6
451,0.057142857,15.2
452,0.028571429,15.1
453,0,15
454,3.571428571,19.7
455,4.285714286,20.1
456,5,20.4
457,6.5,20.9
458,5.3,20.5
459,4.114285714,20
460,12.9,22.4
461,0,15
462,0.028571429,15.1
463,0.028571429,15.1
464,0,15
465,0.085714286,15.4
466,0,15
467,0,15
468,0,15
469,0,15
470,0,15
471,0,15
472,0.028571429,15.1
473,0,15
474,0,15
475,0,15
476,0,15
477,0,15
478,0,15
479,0,15
480,0,15
481,0.057142857,15.2
482,0.028571429,15.1
483,0,15
484,0,15
485,0.028571429,15.1
486,0,15
487,0.142857143,15.6
488,0,15
489,0,15
490,0,15
491,0,15
492,0,15
493,0,15
494,0,15
495,0,15
496,0,15
497,0,15
498,0.085714286,15.4
499,13.74285714,22.5
500,6.542857143,20.9
501,15.4,22.7
502,2.728571429,19.2
503,33.76428571,24.5
504,7.171428571,21.1
505,5.471428571,20.5
506,17.5,23
507,10.68571429,22
508,11.47142857,22.1
509,8.571428571,21.5
510,0,15
511,0.342857143,16.2
512,0,15
513,0,15
514,0.2,15.8
515,0.085714286,15.4
516,0,15
517,0.442857143,16.4
518,0.057142857,15.2
519,0,15
520,0,15
521,0,15
522,0,15
